Nome: SERIDO (CAICO)
Codigo Estacao: 82690
Latitude: -6.46749999
Longitude: -37.08499999
Altitude: 171.26
Situacao: Operante
Data Inicial: 1995-03-13
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1995-03-31;null;null;null;null;null;null;null;62.9;997.150847;35.11;28.029;22.275;68.75;10;null;null;null;
1995-04-30;5;117.2;null;null;172;6.766667;null;80.7;998.528889;33.246667;26.242667;18.02;75.075;7;3.224444;46.555556;null;
1995-05-31;14;148.5;null;null;192.1;6.655914;null;146.9;992.355914;32.980645;26.149677;19.558065;77.193548;7;3.333333;47.096774;null;
1995-06-30;14;132.7;null;null;139.3;6;null;13.5;994.135955;31.106667;25.845333;21.76;74.215517;9;4.04;45.333333;null;
1995-07-31;9;178.7;null;null;117.7;5.655914;null;24.7;994.032258;31.706452;25.812903;20.835484;67.701613;7.5;4.052688;45.483871;null;
1995-08-31;14;293.8;null;null;248.1;3.623656;null;0;994.175269;34.070968;27.023871;21.116129;51.362903;10;5.548387;46.666667;null;
1995-09-30;9;337.5;null;null;266.3;3.9;null;0;994.566667;35.013333;27.886667;21.876667;46.291667;10.6;5.916667;46.444444;null;
1995-10-31;9;354.8;null;null;306.2;4.268817;null;0;991.437634;36.777419;28.921935;22.987097;57.177419;10;4.874194;46.666667;null;
1995-11-30;9;323.4;null;null;230.2;6.177778;null;9;991.188889;35.833333;28.806667;23.493333;60.541667;10;4.887778;46.888889;null;
1995-12-31;5;320.9;null;null;183.1;4.774194;null;0;991.15914;36.86129;29.686452;23.841935;61.008065;7.6;3.83871;46.666667;null;
