Nome: LABREA
Codigo Estacao: 82723
Latitude: -7.26138888
Longitude: -64.78999999
Altitude: 62.23
Situacao: Operante
Data Inicial: 1972-11-29
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1972-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-01-31;0;37.8;null;null;null;5.304348;22;299.2;null;1004.306452;30.316129;25.68;22.883871;91.346774;6;1.532609;15.564516;
1973-02-28;5;30.3;null;null;null;5.142857;22;335;null;1004;30.121429;25.947857;23.289286;91.366071;10;2.035714;12.267857;
1973-03-31;5;41.7;null;null;null;5.064516;23;258.3;null;1003.645161;30.822581;26.430323;23.225806;90.419355;6;1.666667;11.112903;
1973-04-30;0;37.4;null;null;null;5.195402;19;312.5;null;1003.835955;30.803333;26.127333;23.373333;90.175;12;1.488636;11.431034;
1973-05-31;0;37.3;null;null;null;4.774194;14;199.1;null;1005.616129;29.648387;25.472258;22.383871;90.330645;10;1.989247;10.016129;
1973-06-30;0;41.4;null;null;null;4.644444;10;92.6;null;1005.198889;30.916667;25.572;22.033333;89.341667;9;1.4;12.216667;
1973-07-31;0;38.8;null;null;null;4.150538;10;85.6;null;1006.022581;30.132258;24.145161;20.270968;89.58871;6;1.451613;11.145161;
1973-08-31;0;48.1;null;null;null;3.849462;5;37.4;null;1005.977419;31.109677;25.016;20.493333;86.395161;5;1.053763;12.467742;
1973-09-30;0;55;null;null;null;4.533333;9;117.9;null;1005.273333;31.313333;25.789333;21.023333;86.725;5;1.388889;13.383333;
1973-10-31;0;47.9;null;null;null;3.956522;13;178.2;null;1002.456989;32.319355;26.796774;22.541935;88.596774;10;1.698925;15.262295;
1973-11-30;0;43.6;null;null;null;4.133333;18;159.6;null;1002.925556;31.083333;26.315333;22.68;90.216667;12;1.711111;10.916667;
1973-12-31;0;39.9;null;null;null;4.150538;22;378.6;null;1004.472043;30.190323;25.327742;22.093548;91.508065;6;1.698925;10.467742;
1974-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1974-02-28;0;28.4;null;null;null;3.481928;22;334.6;null;1002.964286;29.396429;24.959286;22.403571;92.741071;8;1;8.285714;
1974-03-31;0;40.6;null;null;null;3.817204;17;366.1;null;1001.909677;29.6;25.403226;22.112903;91.185484;8;1.075269;7.557377;
1974-04-30;0;33.6;null;null;null;3.411111;20;292.9;null;1002.888889;29.426667;25.144667;22.11;93.491667;8;.9;8.133333;
1974-05-31;0;34.2;null;null;null;4.451613;18;193;null;1003.418519;29.454839;24.782857;21.367857;91.040323;5;.763441;16.629032;
1974-06-30;0;37.8;null;null;171.7;3.911111;7;37;null;1003.464444;31.196667;24.562;20.486667;88.466667;5;.588889;26.883333;
1974-07-31;0;47.8;null;null;225.9;3.172043;5;40;null;1005.376344;31;23.905161;18.854839;85.935484;5;1.301075;30.33871;
1974-08-31;0;49.9;null;null;212.8;3.967742;11;142.3;null;1003.65914;31.919355;25.233548;21.419355;88.080645;7;1.010753;29.516129;
1974-09-30;0;43.9;null;null;152.2;3.011111;12;177.6;null;1002.487778;31.44;24.974;20.776667;89.466667;4;.655556;25.966667;
1974-10-31;0;44.7;null;null;139.2;3.774194;22;374.6;null;1002.132258;31.154839;25.432258;21.56129;88.41129;5;.860215;25.854839;
1974-11-30;0;42.4;null;null;143.3;3.211111;10;299.5;null;1000.347778;32.04;26.022667;21.853333;87.666667;8;.866667;28.55;
1974-12-31;0;35.4;null;null;80.9;3.064516;22;373.2;null;1001.529032;29.187097;25.473548;21.674194;93.604839;9;1.107527;13.983871;
1975-01-31;5;37.4;null;null;96.8;6.806452;14;396.9;null;null;null;null;null;88.072581;6;2.053763;18.451613;
1975-02-28;0;29;null;null;88.9;8.857143;20;503.2;null;null;28.139286;24.914286;21.385714;95.285714;7;.797619;12.357143;
1975-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1975-04-30;0;34.7;null;null;119;8.303371;15;249.5;null;null;29.816667;25.966;21.793333;95.2;5;.898876;14.566667;
1975-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1975-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1975-07-31;null;null;null;null;null;null;5;5.4;null;null;null;null;null;null;null;null;null;
1975-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1975-09-30;null;null;null;null;null;null;13;99.6;null;null;null;null;null;null;null;null;null;
1975-10-31;null;null;null;null;null;null;10;64.7;null;null;null;null;null;null;null;null;null;
1975-11-30;null;null;null;null;null;null;14;304.3;null;null;null;null;null;null;null;null;null;
1975-12-31;null;null;null;null;null;null;18;333;null;null;null;null;null;null;null;null;null;
1976-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-02-29;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-07-31;0;69.2;null;null;258.2;3.565217;5;5;null;null;32.825806;24.379355;18.225806;81.919355;7;1.554348;41.145161;
1976-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-09-30;0;54.5;null;null;177.5;4.674157;14;100.3;null;null;32.526667;25.651333;21.356667;82.341667;9;1.420455;36.116667;
1976-10-31;0;49.9;null;null;131.8;3.741935;11;69.3;null;null;32.780645;26.157419;22.041935;84.408333;9;1.827957;40.016129;
