Nome: ALTO TAPAJOS
Codigo Estacao: 82741
Latitude: -7.35
Longitude: -57.52
Altitude: 140
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 1977-01-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;0;32.8;null;null;100.2;8.903226;24;249.1;999.748387;31.029032;25.437419;22.264516;90.814516;9.3;1.145055;50;null;
1970-02-28;0;30.8;null;null;114;8.845238;22;330.3;999.62619;31.582143;25.747143;22.625;90.232143;6.7;1.234524;45.178571;null;
1970-03-31;5;32.1;null;null;125.1;7.215054;21;253.2;999.827957;31.845161;25.838065;22.674194;90.032258;12.3;2.633333;43.548387;null;
1970-04-30;0;29.2;null;null;124.1;8.6;24;355.8;1000.21;31.313333;25.797333;22.87;90.708333;6.7;1.025556;47;null;
1970-05-31;0;47.1;null;null;211.9;4.72043;11;63.6;1000.648387;32.516129;25.925806;21.854839;85.564516;6.7;2.037634;46.774194;null;
1970-06-30;0;73.1;null;null;224.5;3.811111;5;37.7;1001.661111;33.833333;25.507333;20.06;81.208333;6.7;1.315556;46.95;null;
1970-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-08-31;0;142.6;null;null;248.6;3.097826;2;64.3;1001.129348;35.558065;25.09871;17.177419;77.717742;6;.76087;47.822581;null;
1970-09-30;5;64.6;null;null;178.6;5.911111;20;109;999.727778;33.84;25.838667;20.733333;82.408333;4;1.09;48.5;null;
1970-10-31;0;56.8;null;null;170.7;8.537634;22;161.7;998.86129;33.693548;25.747097;21.096774;85.5;10;1.064516;48.064516;null;
1970-11-30;0;49.8;null;null;162.3;7.6;19;233.8;998.943333;32.856667;25.889333;21.446667;84.55;4;1.034444;49.5;null;
1970-12-31;0;56.1;null;null;150.7;8.11828;22;177.5;999.168817;32.53871;25.718065;21.483871;85.137097;2;.807527;48.548387;null;
1971-01-31;5;63.3;null;null;123.6;7.129032;25;293.1;998.563441;31.348387;24.996774;21.267742;86.919355;2;.817204;44.032258;null;
1971-02-28;5;40.3;null;null;103.1;8;25;337.6;999.684524;31.360714;24.575;20.95;87.910714;2;.892857;48.392857;null;
1971-03-31;5;46.3;null;null;128.8;7.989247;27;339.9;999.417204;31.993548;25.272903;21.580645;87.41129;4;.989247;46.451613;null;
1971-04-30;5;46.9;null;null;156.3;6.711111;23;318.8;1000.23;31.836667;25.128;20.97;86.85;3;.922222;48.833333;null;
1971-05-31;5;52;null;null;137.9;6.55914;21;150.7;1000.577419;31.454839;24.930968;20.925806;87.072581;3;.967742;46.290323;null;
1971-06-30;5;66.4;null;null;180.4;5.444444;14;101.9;1001.275556;32.12;24.522;19.736667;86.916667;2;1;39.6;null;
1971-07-31;14;124.3;null;null;259.3;4.16129;7;38.7;1001.4;33.009677;24.081935;17.780645;82.072581;10;1.354839;43.741935;null;
1971-08-31;5;81.5;null;null;248.4;4.494624;9;91.2;1000.648387;33.706452;24.785161;18.832258;83.177419;4;1.236559;34.564516;null;
