Nome: CAROLINA
Codigo Estacao: 82765
Latitude: -7.33722221
Longitude: -47.45972222
Altitude: 182.94
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;0;null;null;null;null;6.827957;21;497.3;null;991.26129;null;null;19.058065;86.701613;2;.086022;59.032258;
1970-02-28;0;null;null;null;null;6;null;213.4;null;990.522619;null;null;19.507143;83.410714;2;.190476;59.464286;
1970-03-31;0;null;null;null;null;6.397849;18;250.4;null;990.697849;null;null;19.325806;84.991935;2;.107527;59.516129;
1970-04-30;0;null;null;null;null;5.844444;16;244;null;990.995556;null;null;19.52;84.655172;2;.111111;59.166667;
1970-05-31;0;null;null;null;null;3.903226;7;32.8;null;991.54086;null;null;18.448387;71.791667;2;.236559;59.83871;
1970-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-09-30;null;null;null;null;201.2;null;6;52.8;null;null;33.42;null;21.317857;null;null;null;null;
1970-10-31;null;89.1;null;null;171.6;null;15;126.5;null;null;31.241935;null;21.9;null;null;null;null;
1970-11-30;null;71.6;null;null;152.9;null;19;362.2;null;null;30.413793;null;21.466667;null;null;null;null;
