Nome: CAMPOS SALES
Codigo Estacao: 82777
Latitude: -7.07666666
Longitude: -40.38999999
Altitude: 586.06
Situacao: Fechada
Data Inicial: 1970-01-01
Data Final: 2019-03-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-02-28;14;null;null;null;186.6;7.506024;6;62;948.059494;31.559259;25.426923;21.211111;64.913462;9;3.807229;46.375;null;
1970-03-31;14;94.6;null;null;197.8;8.387097;22;224.6;948.437634;28.925806;23.714194;20.116129;82.056452;7;2.849462;45.913978;null;
1970-04-30;14;124.4;null;null;219.6;7.3;9;50.2;948.59;29.863333;24.237333;20.343333;78.316667;9;3.2;46.444444;null;
1970-05-31;14;206;null;null;301.7;5.666667;2;1.6;949.221505;30.780645;23.903871;18.93871;64.701613;9;3.793548;45.698925;null;
1970-06-30;14;159.4;null;null;266.9;4.977778;1;4.6;950.813333;30.44;24.347333;19.566667;64.416667;9;3.955556;46.666667;null;
1970-07-31;null;null;null;null;null;null;null;0;950.812766;30.175;24.044;18.69375;57.166667;9;null;null;null;
1970-08-31;14;310;null;null;310.7;4.698925;0;0;950.113978;30.690323;24.536774;19.509677;55.306452;9;4.353763;46.666667;null;
1970-09-30;14;285.8;null;null;286.7;4.822222;2;2.4;948.976667;32.696667;25.953333;20.626667;49.125;7;3.333333;46.666667;null;
1970-10-31;14;316.4;null;null;273.3;4.817204;3;24.5;947.676344;33.264516;26.225806;20.93871;54.91129;7;1.913978;46.666667;null;
1970-11-30;14;206.3;null;null;207.3;6.494253;1;68.4;946.854651;31.624138;25.597143;21.193103;66.741071;7;3.402299;42.643678;null;
1970-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
