Nome: TRIUNFO
Codigo Estacao: 82789
Latitude: -7.82972221
Longitude: -38.12222221
Altitude: 1105
Situacao: Fechada
Data Inicial: 1970-01-01
Data Final: 2018-03-28
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;18;149;null;null;242.5;6.365591;11;135.9;null;27.806452;22.507097;17.645161;70.637097;8;2.72043;51.763441;null;
1970-02-28;18;135.5;null;null;256.1;5.214286;7;149.1;null;27.678571;22.33;17.592857;70.732143;8;2.940476;55.071429;null;
1970-03-31;18;97.3;null;null;198.3;7;14;123.5;null;25.387097;20.984516;17.548387;80.540323;8;2.634409;48.956989;null;
1970-04-30;18;129.6;null;null;217.6;6;9;98.9;null;26.82;21.629333;17.36;74.225;8;2.711111;53.177778;null;
1970-05-31;14;134;null;null;236;5.150538;8;26.4;null;25.754839;20.483871;16.122581;71.024194;10;2.924731;54.655914;null;
1970-06-30;18;125.6;null;null;206.8;5.488889;13;26.6;null;24.933333;19.810667;15.726667;74.6;8;2.355556;53.377778;null;
1970-07-31;18;137.6;null;null;195.2;5.376344;12;117;null;23.645161;18.299355;14.458065;77.419355;8;3.494624;53.833333;null;
1970-08-31;18;151.9;null;null;245.5;4.870968;11;42.7;null;24.677419;18.832258;14.548387;72.846774;8;2.956989;54.956989;null;
1970-09-30;18;214.5;null;null;284.4;2.911111;2;4.1;null;27.833333;21.330667;15.46;58.975;8;2.855556;56;null;
1970-10-31;18;226.9;null;null;311;3.16129;2;18.6;null;29.322581;23.10129;16.929032;55.629032;8;3.043011;55.741935;null;
1970-11-30;null;null;null;null;null;null;3;9.7;null;null;null;null;null;null;null;null;null;
1970-12-31;null;null;null;null;null;null;1;11.6;null;29.610526;23.802105;17.631579;54.618421;8;null;null;null;
1971-01-31;14;180.5;null;null;256.6;5.83871;10;70.8;899.278313;28.580645;22.872258;17.825806;64.556452;8;2.806452;56;null;
1971-02-28;18;133.3;null;null;231.3;5.25;14;194;898.77619;27.642857;22.197143;17.775;73.571429;8;2.678571;56;null;
1971-03-31;18;107.5;null;null;225.6;6.473118;16;227.5;899.170652;26.445161;21.491613;17.690323;81.596774;8;2.591398;52.193548;null;
1971-04-30;18;58.7;null;null;192.6;7;19;262.6;899.714444;25.16;20.970667;17.803333;87.8;8;2.822222;54.6;null;
1971-05-31;18;57.4;null;null;null;6.870968;19;205.7;901.130108;22.916129;19.262581;16.63871;90.701613;8;2.849462;43.88172;null;
1971-06-30;18;65.1;null;null;208;5.6;15;136.2;902.031111;23.38;19.002667;16.073333;87.625;8;2.555556;48.233333;null;
1971-07-31;18;81.6;null;null;216.5;5.989247;10;138.5;902.476344;23.212903;18.24;14.845161;84.266129;12;3.827957;51.043011;null;
1971-08-31;18;152.9;null;null;256.7;3.827957;4;7.4;902.53871;24.922581;19.194839;14.83871;72.566667;9;3.505376;52.301075;null;
1971-09-30;18;169.3;null;null;258.1;3.733333;7;33.4;901.885556;26.933333;20.666;15.52;66.975;9;3.888889;54.288889;null;
1971-10-31;18;167;null;null;254;4.075269;8;29;900.943011;27.670968;21.689677;16.454839;65.919355;9;3.086022;54.83871;null;
1971-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-12-31;18;194;null;null;298.9;4.217391;6;21.2;899.375;28.858065;22.923871;17.019355;56.637097;9;3.086957;55.217391;null;
1972-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-02-29;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
