Nome: PATOS
Codigo Estacao: 82791
Latitude: -7.05361111
Longitude: -37.27388888
Altitude: 251.65
Situacao: Operante
Data Inicial: 1975-10-16
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1975-10-31;null;null;null;null;null;null;null;0;null;null;null;null;null;null;null;null;null;
1975-11-30;9;449.1;null;null;276.3;4.211111;null;1.4;null;null;35.506667;28.466;22.233333;44.225;10;4.532222;46;
1975-12-31;9;382.2;null;null;242.9;5.913978;null;14.8;null;null;34.06129;27.631613;22.645161;54.451613;8.3;4.404301;45.247312;
1976-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-02-29;9;167.9;null;null;251.8;6.755814;null;160.8;null;null;32.058621;26.577895;22.484211;66.396552;5.8;2.64186;45.813953;
1976-03-31;9;140.6;null;null;277.6;7.430108;19;266.3;null;980.503614;31.580645;25.850323;22.125806;73.25;5.1;2.496774;45.698925;
1976-04-30;9;148;null;null;292.9;6.177778;null;57.9;null;982.126667;31.41;25.718333;21.9;69.291667;5.3;2.852222;50.422222;
1976-05-31;14;263.8;null;null;276.4;5.634409;null;9;null;982.858065;32.958065;null;null;56.846774;6;3.423656;55.290323;
1976-06-30;14;299.4;null;null;276.4;4.377778;null;9.2;null;983.835556;32.18;null;null;54.591667;10.3;4.635556;55.533333;
1976-07-31;14;337.4;null;null;253.9;4.774194;null;4.6;null;985.824731;32.077419;null;null;50.83871;8.5;4.593548;54.473118;
1976-08-31;9;403.3;null;null;316.3;3.268817;null;0;null;984.755914;33.16129;26.265333;20.46;46.887097;9.3;4.974194;55.591398;
1976-09-30;9;393.1;null;null;294.7;4.244444;null;13.2;null;983.368889;33.916667;27.414667;21.543333;46.45;10;4.916667;54.755556;
1976-10-31;9;321.8;null;null;266.1;5.892473;null;20.4;null;981.691398;33.445161;27.438;22.8;56.258065;8.8;4.452688;54.903226;
1976-11-30;9;316.7;null;null;276.3;5.844444;null;43.6;null;980.917778;34.413333;27.828148;22.603704;54.1;9.6;4.23;54.733333;
1976-12-31;9;379.3;null;null;302.2;5.150538;null;77.5;null;980.587097;34.987097;28.249677;22.509677;54.008065;10.1;5.294624;55.698925;
1977-01-31;9;240.1;null;null;199.6;7.698925;16;86.4;null;981.203226;32.322581;26.68129;22.603226;65.814516;10.5;3.929032;50.053763;
1977-02-28;9;188.4;null;null;238;7.369048;8;158.1;null;981.971429;32.9;null;null;65.901786;8.8;3.558333;54.166667;
1977-03-31;9;136.4;null;null;289.8;7.688172;22;331.9;null;981.31087;32.729032;null;null;74.316667;6.3;2.808602;50.301075;
1977-04-30;9;81.1;null;null;235.3;7.511111;19;331.9;null;981.616667;30.616667;null;null;80.741667;6;1.954444;50.688889;
