Nome: MONTEIRO
Codigo Estacao: 82792
Latitude: -7.89444444
Longitude: -37.12472221
Altitude: 606.41
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;0;242.6;null;null;258.1;6.376344;7;189.4;944.253763;32.148387;25.274194;19.66129;62.693548;9;2.72043;40;null;
1970-02-28;0;196.4;null;null;262.2;4.583333;3;106.5;944.033333;31.942857;24.901429;18.792857;63.866071;7;2.119048;40;null;
1970-03-31;0;111.6;null;null;231;6.548387;11;105.7;944.206522;29.748387;23.713333;18.809677;75.425;5;.989247;40;null;
1970-04-30;0;140;null;null;208.2;6.544444;9;110.2;944.571111;30.373333;23.864667;18.683333;72.916667;5;1.5;40;null;
1970-05-31;0;136.4;null;null;236.3;5.075269;7;17.9;945.616129;29.332258;22.123871;15.622581;71.193548;7;1.677419;40;null;
1970-06-30;14;118;null;null;192.6;6.066667;7;34.8;946.945556;28.926667;21.974;15.883333;71.666667;7;1.855556;39.333333;null;
1970-07-31;14;166.8;null;null;197.4;5.505376;5;22.7;947.867742;28.109677;21.103871;14.487097;68.040323;9;2.956989;40;null;
1970-08-31;14;200.5;null;null;224.5;4.612903;6;13.2;946.754839;28.967742;21.978065;15.670968;63.443548;9;3.204301;39.354839;null;
1970-09-30;14;244.5;null;null;283.5;2.188889;null;0;945.644444;31.423333;23.383333;15.946667;56.35;9;3.877778;40;null;
1970-10-31;14;221.6;null;null;303.5;2.376344;1;26;943.680645;33;25.270323;18.7;53.443548;9;2.247312;39.354839;null;
1970-11-30;5;224.7;null;null;273.4;3.377778;2;8.4;942.755556;33.206667;25.526667;19.366667;53.166667;9;3.433333;40;null;
1970-12-31;9;303.4;null;null;320.8;2.333333;2;46.7;942.915054;33.535484;25.820645;19.206452;52.266129;9;3.752688;40;null;
1971-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-05-31;14;105;null;null;202.5;4.576087;10;70.1;945.102174;28.254839;22.366452;17.719355;78.825;5;1.01087;40.434783;null;
1971-06-30;0;106.6;null;null;209.4;4.033333;10;71.7;946.073333;27.943333;21.370345;16.296552;78.308333;7;1.211111;39.333333;null;
1971-07-31;0;148.6;null;null;182.5;4.591398;12;102.6;946.755914;27.63871;21.007742;15.567742;74.209677;7;1.516129;39.354839;null;
