Nome: SURUBIM
Codigo Estacao: 82797
Latitude: -7.839628
Longitude: -35.801056
Altitude: 421.44
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;9;null;null;null;null;6.774194;2;10;null;31.141935;24.312258;20.335484;70.733871;6;2.27957;null;null;
1970-02-28;18;null;null;null;null;6.190476;null;38.1;null;31.5;24.394286;20.4;70.651786;6;2.619048;null;null;
1970-03-31;18;null;null;null;null;7.172043;6;105.6;null;30.064516;23.783226;19.980645;70.467742;6;2.247312;null;null;
1970-04-30;18;null;null;null;null;7.188889;6;101.3;null;28.973333;23.393333;19.853333;70.791667;5;2.288889;null;null;
1970-05-31;18;null;null;null;null;6.505376;4;27;null;29.329032;23.601333;19.926667;72.612903;6;2.258065;null;null;
1970-06-30;18;null;null;null;null;6.966667;10;125.6;null;28.14;22.854667;19.366667;72.125;6;2.333333;null;null;
1970-07-31;18;null;null;null;null;7.215054;9;191.2;null;27.670968;22.623226;19.103226;72.879032;6;2.344086;null;null;
1970-08-31;18;null;null;null;null;6.860215;6;83.8;null;27.412903;22.730323;19.096774;71.516129;6;2.774194;null;null;
1970-09-30;18;null;null;null;null;6.033333;2;7.2;null;28.446667;23.248;19.753333;73.366667;6;3.022222;null;null;
1970-10-31;18;null;null;null;null;5.268817;0;0;null;30.63871;24.27871;20.348387;71.064516;6;2.451613;null;null;
1970-11-30;9;null;null;null;null;5.3;0;0;null;31.413333;24.548;20.46;70.675;6;2.244444;null;null;
1970-12-31;14;null;null;null;null;5.655914;0;0;null;32.458065;24.784516;20.432258;68.620968;6;2.526882;null;null;
1971-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
