Nome: JOAO PESSOA
Codigo Estacao: 82798
Latitude: -7.09527777
Longitude: -34.8486111
Altitude: 9.67
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;14;145;null;null;null;5.817204;3;5.5;1007.87957;30.473333;27.421333;24.541935;73.346774;3;1.924731;32.043011;null;
1970-02-28;14;133.5;null;null;null;5.75;5;71.6;1007.57381;30.237037;27.285185;24.271429;74.758929;3;2;30.833333;null;
1970-03-31;14;105.7;null;null;null;5.784946;19;385.7;1007.239785;29.2;26.425161;23.332258;84.532258;3;1.688172;27.978495;null;
1970-04-30;14;77.2;null;null;209.2;6.333333;11;517.9;1007.743333;28.713333;25.944667;23.226667;89.141667;3;1.577778;28.666667;null;
1970-05-31;14;113.1;null;null;null;5.387097;14;199.9;1008.735484;28.383871;25.230323;21.929032;91.943548;3;1.870968;30.236559;null;
1970-06-30;14;92.1;null;null;213.9;5.677778;12;351.7;1009.846667;28.933333;26.1808;21.213333;84.708333;5;1.844444;31.133333;null;
1970-07-31;14;102.7;null;null;223;5.537634;17;327.7;1011.321505;26.8;23.760645;20.845161;94.379032;3;1.946237;29.301075;null;
1970-08-31;14;112.2;null;null;193.5;5.827957;20;536.4;1010.615054;26.574194;23.62;20.790323;96.282258;5;2.111828;28.27957;null;
1970-09-30;14;99;null;null;269.6;4.411111;9;74.6;1009.808889;28.023333;25.285333;22.526667;84.875;5;2.066667;32;null;
1970-10-31;14;118.6;null;null;298.5;4.064516;1;1;1008.039785;29.312903;26.264516;23.374194;72.741935;3;1.301075;32.795699;null;
1970-11-30;14;59.7;null;null;299;4.7;3;21;1007.004444;29.75;26.794667;24.13;72.658333;3;1.244444;33.333333;null;
1970-12-31;14;157;null;null;309;4.634409;2;12.1;1007.002151;29.883871;27.086897;24.510345;72.540323;5;1.602151;33.333333;null;
1971-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-02-29;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-01-31;14;136.5;null;null;266.6;5.663043;12;77.1;1009.025;30.56129;27.632258;23.958065;75.887097;7;1.836957;30;null;
1973-02-28;14;117.9;null;null;null;6.345238;14;71.4;1008.304762;30.525;27.591429;24.217857;75.526786;7;1.428571;31.904762;null;
1973-03-31;14;109.1;null;null;224.8;6.182796;17;193.4;1007.949462;30.832258;27.82;24.351613;77.064516;3;1.129032;31.075269;null;
1973-04-30;14;78.6;null;null;159.7;6.766667;22;549.5;1008.034444;29.82;27.129412;23.363333;78.220588;7;1.288889;26.666667;null;
1973-05-31;14;83.8;null;null;210.1;6.344086;24;393.1;1008.925806;29.267742;25.366667;22.654839;84.583333;5;1.290323;29.462366;null;
1973-06-30;14;68.1;null;null;164.3;6.733333;24;624.9;1009.454444;27.9875;25.145;22.353333;86.225;3;.933333;26.444444;null;
1973-07-31;14;103.9;null;null;196;6.16129;21;269.7;1010.623656;null;null;22.009677;82.25;7;1.44086;29.462366;null;
1973-08-31;14;139.5;null;null;284.3;5.032258;10;115.3;1010.734409;null;null;21.316129;78.016129;7;2.903226;32.365591;null;
1973-09-30;14;115.3;null;null;234.7;5.3;17;147.4;1010.242697;null;null;22.186667;80.068966;7;2.466667;29.777778;null;
1973-10-31;14;134.4;null;null;273.9;5.150538;9;38.8;1008.424731;29.9;27.047826;23.929032;75.387097;7;1.645161;31.935484;null;
1973-11-30;14;147.6;null;null;304.8;5.633333;6;13.7;1008.587778;30.066667;27.349333;24.873333;71.666667;7;1.3;32.666667;null;
1973-12-31;14;146.1;null;null;278.9;5.430108;9;24.2;1008.391398;30.3;27.51871;24.806452;71.556452;5;1.032258;33.010753;null;
1974-01-31;14;128.3;null;null;235.9;6.387097;19;260.6;1007.46129;29.841935;26.795484;23.419355;75.58871;3;1.086022;30.107527;null;
1974-02-28;14;84.3;null;null;220.2;6.261905;16;112.4;1006.614286;29.732143;26.775714;23.235714;78.25;10;1.042857;31.369048;null;
1974-03-31;14;87.7;null;null;187.3;6.129032;16;277.7;1006.309677;30.232258;27.087097;23.312903;79.33871;7;1.593548;28.494624;null;
1974-04-30;14;58.6;null;null;145.6;6.611111;15;236.4;1006.132222;30.263333;27.086667;22.64;78.633333;5;1.578889;25.3;null;
1974-05-31;14;63.7;null;null;173.3;6.989247;16;434;1008.427957;30.232258;26.820645;21.290323;77.75;8.1;2.094624;25.956989;null;
1974-06-30;14;69;null;null;180.7;5.733333;10;226.9;null;29.996667;26.536;20.426667;77.625;7;1.8;30;null;
1974-07-31;14;72.5;null;null;161.4;6.784946;23;308.5;null;27.280645;24.131613;20.880645;84.112903;7;1.580645;26.55914;null;
1974-08-31;14;113.8;null;null;227.7;6.569892;17;189.5;null;27.167742;24.068387;20.93871;80.169355;3.6;1.705376;31.075269;null;
1974-09-30;14;61.6;null;null;218.6;6.422222;16;132.9;null;27.53;24.620667;21.666667;80.475;3;1.322222;30.666667;null;
1974-10-31;14;84.8;null;null;284.3;6.032258;5;11.1;null;29.135484;26.346452;23.66129;74.427419;3;1;33.010753;null;
1974-11-30;14;84.4;null;null;258;6.333333;11;24.7;null;29.906667;26.749333;23.706667;72.975;3;1.055556;32;null;
1974-12-31;14;69.2;null;null;258.8;5.505376;4;25.3;1008.397826;29.877419;26.88129;23.73871;80.717742;5;1.516129;31.849462;null;
1975-01-31;14;86.5;null;null;285.3;6.290323;18;87.2;1008.519355;30.267742;27.27871;24.367742;74.774194;3;1.365591;31.505376;null;
1975-02-28;14;74.4;null;null;229.9;6.154762;8;43.7;1008.403571;30.521429;27.38;23.664286;72.330357;3;1.178571;32.261905;null;
1975-03-31;null;null;null;null;null;null;11;147.2;1008.123333;30.05;27.121053;23.768421;75.5625;3;null;null;null;
1975-04-30;14;78.8;null;null;241.2;6.2;20;108.1;1007.856667;30.363333;27.267333;23.406667;74.041667;3;.811111;31.666667;null;
1975-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1975-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1975-07-31;0;58.7;null;null;133.8;7.663043;null;null;1011.03913;26.76129;23.720645;21.096774;85.806452;7;1.326087;25.543478;null;
1975-08-31;14;61.7;null;null;190.8;6.139785;null;null;1011.890323;28.158065;24.935484;20.635484;78.725806;7;2.27957;31.505376;null;
1975-09-30;14;120.3;null;null;224.6;5.833333;null;null;1012.224444;28.143333;24.799333;21.553333;77.891667;5;1.277778;31.888889;null;
1975-10-31;14;46.8;null;null;279.2;5.913978;null;null;1010.603226;30.06129;26.559355;23.619355;73.169355;3;.817204;31.72043;null;
1975-11-30;14;105.7;null;null;296.2;5.622222;null;0;1009.316667;30.173333;26.968667;24.116667;75.016667;3;1.166667;32.333333;null;
1975-12-31;14;null;null;null;null;5.955224;null;null;1008.413636;29.257143;26.526667;23.686364;76.285714;5;1.059701;31.044776;null;
1976-01-31;14;144.4;null;null;237.1;5.5625;8;15.2;null;29.807407;26.811;23.338095;74.048077;5.4;2.155;32.25;null;
1976-02-29;14;101.9;null;null;218.6;6.068966;20;249.6;1008.869444;29.45;null;null;76.875;3;1.077011;27.816092;null;
1976-03-31;14;99.7;null;null;211.6;7.021505;6;123.5;1008.627957;29.409677;null;null;81.233871;3;.817204;26.989247;null;
1976-04-30;14;118.5;null;null;225.3;5.855556;21;248.7;1010.004444;29.186667;26.093333;22.673333;79.916667;5;1.34;28.888889;null;
1976-05-31;14;114.9;null;null;256.7;5.731183;18;244.7;1011.023656;28.854839;25.622581;21.409677;80.620968;5;1.350538;30.645161;null;
1976-06-30;14;112.1;null;null;203.4;6.555556;23;142.7;1012.083333;28.093333;24.910667;21.613333;81.683333;7;2.355556;27;null;
1976-07-31;14;110.9;null;null;187.5;6.258065;22;330;1014.209677;27.077419;23.589677;20.103226;81.862903;12;2.44086;27.419355;null;
1976-08-31;14;141.5;null;null;257.2;5.387097;17;81.8;1013.761957;27.580645;24.162;19.883333;77.225;9;2.139785;29.247312;null;
1976-09-30;14;156.5;null;null;282.6;4.977778;6;21.7;1012.713333;28.463333;25.279333;21.486667;76.216667;7;2.422222;31.888889;null;
1976-10-31;14;151.4;null;null;255.6;5.397849;16;94.7;1010.647826;28.274194;25.602667;22.477419;74.75;7;2.045161;30.860215;null;
1976-11-30;14;167.8;null;null;303.5;5.077778;6;10.3;1010.076667;29.263333;26.319333;22.89;72.491667;7;1.9;33.777778;null;
1976-12-31;14;147.1;null;null;306.4;5.311828;20;96.3;1009.408602;29.551613;26.602581;22.883871;74.5;9;2.225806;33.655914;null;
1977-01-31;14;134.5;null;null;192.2;6.387097;18;122.9;1009.249462;29.406452;26.444516;23.483871;77.395161;9;1.903226;28.387097;null;
1977-02-28;14;123.1;null;null;244.8;5.77381;21;110.2;1010.220238;29.735714;26.846429;23.842857;74.669643;5.8;2.85;31.071429;null;
1977-03-31;14;148.4;null;null;266.1;5.956989;16;66.8;1009.204301;30.570968;27.556129;23.977419;73.120968;6.6;3.665591;32.043011;null;
1977-04-30;9;53.2;null;null;231.8;6.177778;20;206.7;1008.888889;29.973333;26.83;23.476667;78.875;6.6;2.75;30.555556;null;
1977-05-31;null;68.1;null;null;235.5;5.870968;21;245.7;1010.151613;29.174194;25.808387;22.641935;82.782258;6.3;null;31.075269;null;
1977-06-30;18;76.8;null;null;173.9;6.7;24;458.6;1011.57;28.053333;24.695333;22.356667;87.566667;5.3;2.582022;26.755556;null;
1977-07-31;18;104.8;null;null;187.7;6.827957;25;299.2;1012.506452;27.764516;24.394839;21.270968;84.104839;6.6;2.262366;28.086022;null;
1977-08-31;18;125.8;null;null;258.5;5.827957;15;71.9;1012.255914;28.154839;24.768387;21.006452;77.435484;7.3;3.346237;30.258065;null;
1977-09-30;14;169.4;null;null;278.5;5.222222;11;84;1012.177778;28.446667;25.496;22.22;75.425;6.6;3.517778;30.577778;null;
1977-10-31;14;185.8;null;null;284.2;5.451613;14;23.4;1011.882796;29.164516;26.247742;23.729032;72.798387;5.8;3.762366;32.688172;null;
1977-11-30;14;159.2;null;null;287.9;5.655556;10;15.2;1010.571111;29.84;26.797333;24.18;74.316667;7;3.155556;32;null;
1977-12-31;14;189.5;null;null;286.6;5.354839;12;18.7;1009.893548;30.103226;27.209677;24.767742;73.395161;7;1.795699;32.365591;null;
1978-01-31;14;146.2;null;null;null;5.333333;6;27.5;1010.751613;30.303226;27.409032;24.8;72.443548;7;2.175269;32.688172;null;
1978-02-28;9;153.2;null;null;195.9;6.178571;18;123.3;1009.902381;29.917857;27.167143;24.628571;76.714286;5;3.470238;28.690476;null;
1978-03-31;14;122.4;null;null;166.7;6.548387;19;250.4;1010.109677;29.225806;26.225806;23.16129;78.669355;5.6;2.893548;27.204301;null;
1978-04-30;14;117.7;null;null;null;6.388889;20;456.8;1009.193333;29.556667;26.428667;23.28;80.266667;6.3;3.065556;28.833333;null;
1978-05-31;14;104.8;null;null;null;6.096774;20;251.7;1009.908791;28.922581;25.901333;23.225806;83.25;5;2.530108;28.709677;null;
1978-06-30;18;111.9;null;null;null;6.377778;23;241.1;1012.651111;28.373333;24.573333;21.67;83.258333;6.1;3.238889;29.222222;null;
1978-07-31;18;93.4;null;null;null;6.763441;23;517.1;1011.882796;27.616129;24.367097;21.922581;86.83871;6.6;2.936559;27.204301;null;
1978-08-31;18;133.4;null;null;null;6.526882;23;171.8;1013.729032;27.883871;24.403226;21.351613;84.612903;6.6;3.732258;29.032258;null;
1978-09-30;14;149.2;null;null;199.6;5.8;20;136.7;1013.075;28.203448;24.973103;22.32;83.043103;6.6;3.87;29.666667;null;
1978-10-31;14;166.9;null;null;250.7;5.11828;10;58.2;1011.550538;29.016129;25.943226;23.23871;78.467742;7.1;4.515054;30.752688;null;
1978-11-30;14;168;null;null;257.3;5.388889;10;99.8;1010.826667;29.533333;26.366667;23.42;76.2;6.3;3.067778;29.333333;null;
1978-12-31;9;null;null;null;260.2;5.634409;11;58.3;1010.243529;29.35;26.598519;24.267857;76.788462;5;1.494624;27.471264;null;
1979-01-31;9;138.3;null;null;null;5.275862;8;16.7;1009.271264;30.086207;27.268966;24.617241;75.758621;5;2.551724;44.135593;null;
1979-02-28;14;null;null;null;null;6.057971;11;83.1;1009.87971;30.208696;27.23913;24.013043;74.152174;5.6;2.82029;44.565217;null;
1979-03-31;14;157;null;null;234.7;5.533333;16;100.1;1009.672222;30.23;27.265333;23.686667;75.391667;5.8;3.403333;44.833333;null;
1979-04-30;14;null;null;null;null;5.294872;15;161.9;1009.984615;30.095833;27.035;23.3;75.71875;7.1;3.171795;43.076923;null;
