Nome: CONCEICAO DO ARAGUAIA
Codigo Estacao: 82861
Latitude: -8.25916666
Longitude: -49.26388888
Altitude: 179.02
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;0;55.2;null;null;null;.615217;19;266.3;993.368478;32.26129;25.624516;21.309677;87.419355;7;.66129;20;null;
1970-02-28;0;62.3;null;null;null;.604762;17;186.5;992.85119;33.646429;26.365;21.889286;86.169643;7;.892857;20;null;
1970-03-31;0;71.9;null;null;null;.648387;23;271.4;993.351613;34.083871;26.663871;21.912903;87.524194;3;.435484;20;null;
1970-04-30;0;72;null;null;null;.518889;12;189.1;993.598889;34.313333;27.058;21.97;85.15;5;.383333;20;null;
1970-05-31;0;103.1;null;null;null;.511828;6;39.4;993.863441;34.151613;25.94129;20.977419;79.41129;7;.580645;20;null;
1970-06-30;0;138.6;null;null;null;.301111;2;6.2;994.882222;34.61;25.491333;19.793333;74.316667;5;.733333;20;null;
1970-07-31;0;198.2;null;null;null;.223656;0;0;995.663441;34.806452;24.57871;16.13871;67.806452;5;1.032258;20;null;
1970-08-31;0;220.8;null;null;null;.250538;0;0;993.58172;36.035484;25.170968;14.380645;62.983871;5;.790323;20;null;
1970-09-30;0;136.5;null;null;null;.594444;10;49.3;993.081111;34.3;25.469167;16.626667;73.55;9;.9;20;null;
1970-10-31;0;89.5;null;null;null;.58172;13;193.1;992.476344;33.332258;25.590323;17.987097;79.41129;5;.870968;20;null;
1970-11-30;0;83.8;null;null;null;.611111;11;197.8;992.035556;32.963333;25.373333;17.696667;80.541667;5;.8;20;null;
1970-12-31;0;97.7;null;null;null;.582796;14;104.8;991.850538;33.648387;26.209677;20.529032;79.790323;5;.790323;20;null;
1971-01-31;0;63.7;null;null;153.3;.608602;19;188.6;973.039785;32.92;25.457333;20.648387;83.025;3;.548387;20;null;
1971-02-28;0;54.9;null;null;163;.546988;17;175.6;992.279518;32.782143;25.275714;20.357143;83.625;7;.545455;20;null;
1971-03-31;0;67.6;null;null;156.7;.669892;16;290;992.241935;32.835484;25.576774;20.951613;81.548387;9;.790323;20;null;
1971-04-30;0;65.2;null;null;190;.651111;14;103.2;983.041111;32.246667;25.260667;20.136667;83.2;5;.466667;20;null;
1971-05-31;0;93.8;null;null;269.5;.488172;null;49.8;993.958065;33.83871;26.015484;20.522581;78.451613;5;.483871;20.806452;null;
1971-06-30;0;104.3;null;null;271.6;.345556;null;12.8;994.55;34.213333;25.43;18.983333;75.583333;5;.933333;19.310345;null;
1971-07-31;0;155.5;null;null;290.7;.231183;null;0;985.530108;34.616129;24.563871;16.822581;70.08871;5;1.483871;20;null;
1971-08-31;0;178.1;null;null;277.1;.305376;null;0;994.626882;35.790323;25.865806;17.941935;66.201613;5;.983871;20;null;
1971-09-30;0;128.9;null;null;210.6;.448889;null;74.4;994.728889;34.363333;25.849333;19.356667;74.833333;9;1.35;20;null;
1971-10-31;0;88;null;null;153.9;.539785;null;279.3;984.768817;32.948387;25.49871;20.33871;82.387097;9;.951613;20;null;
1971-11-30;0;66.9;null;null;141.9;.524444;17;286.5;993.434444;32.446667;25.607333;21.136667;83.108333;5;1.133333;20;null;
1971-12-31;0;64.9;null;null;152.3;.505376;null;167.6;993.665591;32.241935;25.567097;20.93871;85.032258;3;.33871;19.435484;null;
