Nome: CABROBO
Codigo Estacao: 82886
Latitude: -8.50388888
Longitude: -39.31527777
Altitude: 342.78
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;14;259.7;null;null;220.6;6.010753;9;199.8;null;31.241935;26.598065;22.6;64.798387;7;1.741935;33.333333;null;
1970-02-28;14;298.5;null;null;254.2;5.27381;5;22.6;null;31.507143;27.027143;22.542857;61.4375;5;1.904762;33.333333;null;
1970-03-31;14;225.4;null;null;231.1;6.473118;6;59;null;30.829032;26.230323;22.283871;63.887097;7;2.44086;33.333333;null;
1970-04-30;14;355.4;null;null;257.2;4.922222;1;.1;null;32.43;27.340667;22.953333;55.891667;5;2.1;33.333333;null;
1970-05-31;14;353.6;null;null;264.2;3.612903;0;0;null;31.709677;25.874194;21.445161;56.25;5;2.526882;33.333333;null;
1970-06-30;14;302.5;null;null;228;5.033333;6;2.9;null;30.633333;25.107333;21.2;58.108333;5;2.166667;32.142857;null;
1970-07-31;14;293.1;null;null;219.2;5.655914;8;4.5;null;29.583871;23.893548;19.632258;60.104839;5;2.44086;33.333333;null;
1970-08-31;14;346.9;null;null;270.9;5.494624;5;2.3;null;29.735484;25.091613;20.570968;57.975806;6;2.365591;33.333333;null;
1970-09-30;14;359;null;null;291;3.144444;1;.4;null;32.09;26.550667;22.05;51.883333;5;2.322222;33.333333;null;
1970-10-31;14;370.9;null;null;273.6;2.83871;4;21.3;null;33.316129;27.794194;23.674194;49.83871;5;1.83871;32.795699;null;
1970-11-30;14;296.4;null;null;224.1;5.1;11;82.7;null;32.486667;27.100667;22.17;53.175;6;1.833333;32.777778;null;
1970-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-02-28;14;265.6;null;null;252.2;6.650602;4;81.2;null;32.446429;27.296429;22.557143;59.848214;5;1.156627;null;null;
1971-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-04-30;null;null;null;null;null;null;null;0;null;null;null;null;null;null;null;null;null;
1971-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-06-30;14;null;null;null;null;5.140845;4;20.3;null;29.8125;24.58;20.06087;64.554348;7;2.338028;38.732394;null;
1971-07-31;14;284.1;null;null;199.4;5.903226;5;4.8;null;29.07619;23.924762;19.912903;61.95;7;3.107527;39.354839;null;
1971-08-31;14;336.2;null;null;273.3;4.645161;2;9.7;null;30.74;24.7248;19.270968;55.290323;7;3.88172;40;null;
1971-09-30;14;338.8;null;null;236.9;4.45977;2;4.5;null;32.443333;26.269333;20.776667;51.658333;7;3.577778;39.08046;null;
