Nome: SENA MADUREIRA
Codigo Estacao: 82913
Latitude: -9.07
Longitude: -68.67
Altitude: 153
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 1972-07-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;36;42.5;null;null;126.9;6.483871;15;179.5;1009.935484;31.125806;null;null;87.879032;2.4;1;47.741935;null;
1970-02-28;18;30.4;null;null;115.4;6.75;18;159.1;1010.088095;30.607143;null;null;88.660714;2.4;1.078571;41.285714;null;
1970-03-31;36;28.4;null;null;113;7.387097;28;214.8;1010.423656;30.577419;null;null;88.072581;2.4;1.132258;46.854839;null;
1970-04-30;36;29.7;null;null;135.9;6.511111;23;230;1011.038889;30.644828;null;null;88.775;4.4;1.238889;37.7;null;
1970-05-31;36;38.2;null;null;168;6.354839;14;145.6;1011.834409;30.533333;null;null;86.653226;4.4;1.294624;44.516129;null;
1970-06-30;36;47.9;null;null;184.2;6.111111;8;34.8;1013.191111;30.39;null;null;86.941667;4.4;1.183333;40.083333;null;
1970-07-31;36;45.3;null;null;236.2;5.16129;4;4.8;1014.575269;30.503226;null;null;81.935484;4.4;1.42043;46;null;
1970-08-31;36;60.7;null;null;257.7;4.494624;8;25.3;1011.841935;33.158065;null;null;75.943548;4.4;1.195699;47.5;null;
1970-09-30;18;52.4;null;null;234.9;5.077778;9;101;1011.062921;33.493333;null;null;77.066667;4.4;1.428889;48.166667;null;
1970-10-31;18;44.4;null;null;185.4;5.322581;17;123.1;1009.532258;32.948387;null;null;81.806452;4.4;1.513978;49.83871;null;
1970-11-30;36;57.6;null;null;207.9;4.866667;9;157.8;1008.685556;32.56;null;null;81.741667;2.4;1.376667;52.7;null;
1970-12-31;18;40.6;null;null;119.6;5.698925;23;245.7;1008.995699;31.067742;null;null;85.959677;2.4;1.2;48.548387;null;
1971-01-31;36;34.3;null;null;100;5.924731;25;339.8;1009.750538;30.151613;null;null;87.975806;2.4;1.180645;46.209677;null;
1971-02-28;36;31.1;null;null;null;6.059524;24;380.6;1010.028571;29.767857;null;null;88.821429;4.4;1.35119;46.696429;null;
1971-03-31;36;32;null;null;104.3;5.935484;24;234.1;1009.882796;30.509677;null;null;87.241935;2.4;1.451613;51.774194;null;
1971-04-30;18;31.5;null;null;121.6;5.877778;20;169.6;1011.162222;29.963333;null;null;87.191667;4.4;1.416667;51;null;
1971-05-31;18;35.6;null;null;114.3;5.913978;17;73.6;1012.934409;28.867742;null;null;87.209677;4.4;1.497849;49.596774;null;
1971-06-30;18;41.2;null;null;152.1;5.366667;4;3.4;1013.462222;29.086667;null;null;85.566667;2.4;1.216667;51.666667;null;
1971-07-31;18;45.1;null;null;223.1;4.290323;2;16.6;1013.089247;31.08;null;null;81.25;2.4;1.022581;54.193548;null;
1971-08-31;18;58.7;null;null;239.3;3.634409;6;52.6;1012.692473;31.86129;null;null;79.620968;2.4;1.041935;52.096774;null;
1971-09-30;18;40.5;null;null;176.1;4.477778;12;42.3;1011.402222;32.33;null;null;80.275;2.4;1.043333;54.5;null;
1971-10-31;18;28.6;null;null;154.4;5.548387;17;168.9;1010.776344;31.251613;null;null;83.653226;4.4;1.11828;49.467742;null;
1971-11-30;18;23.7;null;null;140.3;5.688889;20;319.2;1009.873333;31.43;null;null;85.875;2.4;1.263333;52;null;
1971-12-31;18;42;null;null;173.5;5.096774;15;306.8;1009.323656;31.203226;null;null;85.427419;2.4;.758065;57.903226;null;
1972-01-31;18;32.6;null;null;116.4;6.236559;25;257.8;1009.826882;30.454839;23.598462;15.230769;88.120968;2.4;.832258;55;null;
1972-02-29;18;30.8;null;null;105.2;5.747126;22;274.2;1010.498851;29.77931;23.442069;14.527586;89.017241;2.4;.948276;55.862069;null;
1972-03-31;18;39.2;null;null;132.5;4.645161;22;375;1010.275269;30.864516;23.542581;14.048387;87.233871;2.4;.958065;56.774194;null;
1972-04-30;18;27.8;null;null;108.7;5.111111;21;119.6;1011.296667;30.12;23.119333;13.633333;87.775;2.4;.806667;58;null;
1972-05-31;18;26.3;null;null;157.8;4.870968;16;181;1013.087097;30.416129;23.257419;13.354839;83.862903;2.4;.754839;56.612903;null;
1972-06-30;18;27.2;null;null;198.2;4.055556;4;27.8;1016.351111;30.943333;23.255333;11.933333;82.575;2.4;.783333;58;null;
1972-07-31;18;37.7;null;null;184.2;4.623656;4;56.1;1016.576344;29.890323;22.123871;11.722581;85.879032;2.4;.751613;52.580645;null;

