Nome: RIO BRANCO
Codigo Estacao: 82915
Latitude: -9.95916666
Longitude: -67.86888888
Altitude: 160.71
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;0;42.6;null;null;132;6.526882;19;135.4;null;992.71828;31.503226;25.464516;22.416129;88.008065;5;.795699;14.419355;
1970-02-28;0;36.5;null;null;121.5;6.821429;14;208.9;null;993.635714;32.217857;25.403571;21.964286;89.008929;7;.690476;14.928571;
1970-03-31;0;41;null;null;114.1;6.892473;21;197.2;null;994.434409;31.293548;24.783871;21.680645;91.258065;3;.526882;15.387097;
1970-04-30;0;41.8;null;null;141.6;6.511111;22;187.3;null;994.123333;32.446667;25.422667;22.08;89.775;7;.644444;12.433333;
1970-05-31;0;57.2;null;null;169.5;6.16129;14;135.2;null;993.529032;32.219355;24.700645;20.551613;87.379032;7;.55914;13.177419;
1970-06-30;0;46.2;null;null;205.9;5.444444;5;22.2;null;994.761111;31.326667;23.726;18.85;85.108333;7;.611111;14.816667;
1970-07-31;0;61.6;null;null;239.7;4.892473;3;17;null;996.878495;31.487097;22.716129;16.883871;80.201613;5;.784946;29.451613;
1970-08-31;0;86.2;null;null;262.2;4.505376;4;18.5;null;994.375269;34.129032;24.658065;18.345161;75.419355;5;.698925;31.532258;
1970-09-30;0;70;null;null;225.3;5.5;8;72.5;null;993.105556;34.273333;25.624667;20.156667;76.675;8;.677778;30.9;
1970-10-31;0;52;null;null;194.4;6.032258;13;161.2;null;989.477419;33.129032;25.996129;21.741935;82.048387;9;.677419;33.790323;
