Nome: ALTO PARNAIBA
Codigo Estacao: 82970
Latitude: -9.10833333
Longitude: -45.9486111
Altitude: 285.05
Situacao: Fechada
Data Inicial: 1976-08-20
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1976-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-09-30;5;199.2;null;null;241.7;4.977528;null;51.1;977.966292;34.286667;24.701333;18.111538;61.158333;4.8;1.622472;null;null;
1976-10-31;14;163.8;null;null;209.6;6.387097;null;70.6;976.678495;32.63871;25.684516;20.762069;69.75;4.8;1.709677;null;null;
1976-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-12-31;5;93.5;null;null;196.2;6.130435;17;163.3;976.190217;30.948387;24.105161;20.18;81.620968;5;1.401087;48.967742;null;
1977-01-31;5;94.2;null;null;162.8;8.086022;21;248;977.045161;30.535484;24.579355;20.887097;81.669355;5.1;1.703226;40.516129;null;
1977-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1977-03-31;18;96.4;null;null;191;7.413043;17;127.8;977.203261;32.135484;25.276774;20.970968;84.024194;3.3;1.28375;41.951613;null;
1977-04-30;14;88.4;null;null;153.6;7.355556;19;381;977.438889;31.323333;25.002;20.996667;83.041667;6;1.62987;43.466667;null;
1977-05-31;14;137.8;null;null;234.6;6.397849;6;18.8;978.419355;31.612903;24.639355;19.674194;75.685484;4.6;1.582051;62.741935;null;
1977-06-30;14;173.3;null;null;264.3;4.3;3;9.1;979.394444;32.036667;23.524;17.35;70.983333;5.3;1.678652;63.166667;null;
1977-07-31;14;237.4;null;null;301.8;2.709677;1;.3;979.630108;32.496774;22.840645;15.590323;61.935484;5;2.011688;64.193548;null;
1977-08-31;14;243.5;null;null;312.4;3.204301;2;5.1;978.473118;34.587097;24.136129;15.851613;56.58871;6.6;1.685542;61.229508;null;
1977-09-30;14;241.5;null;null;228;5.377778;8;113.6;978.069318;34.613333;25.297241;18.23;58.857143;6.5;2.188406;49.983333;null;
1977-10-31;18;157.8;null;null;187.3;6.956989;19;180.3;977.421505;32.845161;26.15871;21.425806;71.104839;4.5;1.81413;57.983871;null;
1977-11-30;14;122.4;null;null;170.2;6.862069;13;103.7;976.396512;32.365517;25.87;21.2;76.101852;5.3;1.577193;50.758621;null;
1977-12-31;18;102.2;null;null;153.6;7.075269;17;316.6;976.978495;31.270968;25.37871;21.406452;82.669355;4.6;1.322581;49.322581;null;
1978-01-31;14;116.3;null;null;182;6.139785;17;161.1;978.036559;31.964516;25.386452;20.877419;81.709677;7;1.408602;57.370968;null;
1978-02-28;null;101.4;null;null;104.7;7.474359;20;342;977.126316;31.222222;25.4216;21.860714;83.572917;4.5;null;56.038462;null;
1978-03-31;14;105.3;null;null;133.2;7.903226;16;289;978.18587;30.56129;24.854194;20.712903;82.391667;4.6;1.609524;56.305085;null;
1978-04-30;14;112.3;null;null;194.2;6.177778;12;86.5;977.335556;31.6;25.078;20.346667;79.016667;5.5;1.603333;58.366667;null;
1978-05-31;14;135.3;null;null;192.9;5.645161;8;89.9;978.108602;31.332258;24.810323;20.254839;78.169355;5.5;1.377174;60.080645;null;
1978-06-30;14;203.2;null;null;243.2;3.877778;1;.3;980.822222;31.176667;23.634;17.286667;67.233333;8.1;2.165823;63.666667;null;
1978-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1978-08-31;14;284.7;null;null;305.2;2.521739;null;0;980.265217;33.670968;23.496129;15.609677;56.983871;6;1.915217;60.983871;null;
1978-09-30;14;278.2;null;null;228.5;5.438202;4;16.6;978.1625;34.593103;26.144828;19.686667;54.663793;4.8;2.087778;60.833333;null;
1978-10-31;14;191.7;null;null;161.4;6.648352;11;68.6;977.063736;33.280645;26.055484;20.987097;66.25;4.6;1.72967;57.377049;null;
1978-11-30;14;148.6;null;null;160.4;6.597701;11;135;976.682759;32.182759;25.864828;20.824138;71.612069;4.1;1.456322;57.931034;null;
1978-12-31;14;106.6;null;null;151.6;7.537634;20;229.7;977.393548;31.180645;25.226452;21.058065;79.580645;5.3;1.641935;53.629032;null;
1979-01-31;36;67.8;null;null;97.6;8.024691;21;460.8;976.746341;30.103448;24.962143;21.475862;84.1875;4.6;1.415854;53.981481;null;
1979-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1979-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1979-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1979-05-31;14;null;null;null;196.3;4.55;null;17.2;978.675;32.268;25.214;19.296;71.4375;6.6;1.535088;null;null;
1979-06-30;14;207.9;null;null;263.8;2.402597;null;0;981.344156;31.15;23.302963;16.414815;64.333333;5.5;2.374026;65.384615;null;
1979-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1979-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1979-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1979-10-31;14;null;null;null;null;5.964286;null;94.6;976.539286;33.995;26.701053;21.305;69.986842;7.1;1.6;null;null;
1979-11-30;14;102.2;null;null;133.3;6.761905;16;126.5;976.12619;31.203571;25.825714;21.789286;78.6875;5.1;1.677381;57.410714;null;
1979-12-31;14;140;null;null;150;6.850575;15;137.8;976.503409;32.906897;26.132414;21.616667;77.783333;5.5;1.602299;58.559322;null;
1980-01-31;18;null;null;null;105;7.5;16;213.4;977.291667;31.680769;25.22;21.888462;84.475;4.8;1.555;null;null;
1980-02-29;null;null;null;null;null;null;20;272.3;976.544186;29.8;null;21.747619;null;4.1;null;null;null;
1980-03-31;null;128.6;null;null;178.9;null;null;49;null;32.453571;null;20.792857;null;null;null;null;null;
1980-04-30;null;null;null;null;null;null;null;47.6;977.512195;32.1;null;20.738889;null;3.5;null;null;null;
1980-05-31;14;null;null;null;236;3.444444;null;0;978.829167;33.6;25.580833;18.848;63.010417;4.6;1.6125;67.5;null;
1980-06-30;null;141.8;null;null;272.6;null;null;0;null;33.056667;null;17.713333;null;null;null;null;null;
1980-07-31;null;246.8;null;null;299.9;null;null;0;null;33.309677;null;15.56129;null;null;null;null;null;
1980-08-31;null;288.5;null;null;262.1;null;null;0;979.220513;34.828571;null;16.325;null;4.6;null;null;null;
1980-09-30;null;null;null;null;183.4;null;null;57.8;978.230556;34.873077;null;20.196154;null;6.1;null;null;null;
1980-10-31;null;null;null;null;null;null;null;16.4;977.474359;34.973913;null;21.091304;null;4.6;null;null;null;
1980-11-30;18;null;null;null;86;7.148649;17;127.8;976.801351;30.776;25.6288;22.256;80.93;4.6;1.374324;56.8;null;
1980-12-31;18;null;null;null;null;6.842105;null;126.1;976.561404;30.304545;25.355789;21.895455;82.315789;6.3;1.698246;null;null;
1981-01-31;null;85;null;null;144.2;null;23;224.7;null;30.741935;null;21.3;null;null;null;null;null;
1981-02-28;null;124.7;null;null;205.2;null;null;83.4;null;32.346429;null;20.628571;null;null;null;null;null;
1981-03-31;null;67.9;null;null;87.3;null;22;381;null;30.729032;null;22.041935;null;null;null;null;null;
1981-04-30;null;126.5;null;null;242.4;null;null;151.3;null;31.63;null;20.363333;null;null;null;null;null;
1981-05-31;null;167.8;null;null;286.3;null;null;0;null;32.170968;null;17.419355;null;null;null;null;null;
1981-06-30;null;212.4;null;null;283.6;null;null;0;null;32.193333;null;16.99;null;null;null;null;null;
1981-07-31;null;261;null;null;304.2;null;null;0;null;32.274194;null;15.935484;null;null;null;null;null;
1981-08-31;null;258.7;null;null;290.6;null;null;0;null;33.719355;null;16.629032;null;null;null;null;null;
1981-09-30;null;287.9;null;null;268.6;null;null;0;null;35.853333;null;17.456667;null;null;null;null;null;
1981-10-31;null;147.6;null;null;157.6;null;17;132.9;null;33.325806;null;20.551613;null;null;null;null;null;
1981-11-30;null;108.2;null;null;122.8;null;20;242;null;31.356667;null;21.523333;null;null;null;null;null;
1981-12-31;null;117.7;null;null;182;null;15;102.2;null;32.245161;null;21.648387;null;null;null;null;null;
1982-01-31;null;null;null;null;null;null;null;259.3;976.420833;29.96875;24.97375;21.7625;85.21875;4.6;null;null;null;
1982-02-28;null;null;null;null;null;null;null;108;976.5;null;null;null;null;2.5;null;null;null;
1982-03-31;null;null;null;null;null;null;null;83.7;976.906452;null;null;null;null;5.1;null;null;null;
1982-04-30;null;null;null;null;null;null;null;.7;976.894286;null;null;null;null;4;null;null;null;
1982-05-31;null;null;null;null;null;null;null;0;978.726667;32.453333;25.194667;19.72;67.8;5.5;null;null;null;
1982-06-30;null;100.2;null;null;267.6;null;null;0;null;33.003333;null;17.56;null;null;null;null;null;
1982-07-31;null;156.1;null;null;280.7;null;null;0;null;33.058065;null;15.774194;null;null;null;null;null;
1982-08-31;null;null;null;null;null;null;null;0;null;null;null;null;null;null;null;null;null;
1982-09-30;null;null;null;null;null;null;null;18.1;null;null;null;null;null;null;null;null;null;
1982-10-31;null;null;null;null;null;null;null;56.3;976.78125;null;null;null;null;5;null;null;null;
1982-11-30;5;null;null;null;153.5;5.082192;null;75.4;975.961644;33.208333;26.501667;21.441667;72.6875;3.5;1.152055;68.416667;null;
1982-12-31;null;null;null;null;null;null;null;41.9;976.010638;32.5;25.995;21.44375;75.15625;8.7;null;null;null;
1983-01-31;null;78.5;null;null;124.1;null;22;332.4;null;31.025806;null;22.135484;null;null;null;null;null;
1983-02-28;null;131.1;null;null;166.8;null;null;182.1;null;31.846429;null;21.964286;null;null;null;null;null;
