Nome: BOM JESUS DO PIAUI
Codigo Estacao: 82975
Latitude: -9.06611111
Longitude: -44.36527777
Altitude: 330.6
Situacao: Operante
Data Inicial: 1971-04-18
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1971-04-30;null;null;null;null;null;null;null;48.2;null;null;null;null;null;null;null;null;null;
1971-05-31;0;169.4;null;null;288.2;4.473118;null;.1;null;31.345161;null;null;75.16129;10;2.408602;41.505376;null;
1971-06-30;0;220.2;null;null;297;3.3;null;3.7;null;32.456667;null;null;73.791667;10;2.322222;46;null;
1971-07-31;14;303.3;null;null;328.6;2.989247;null;0;null;33.080645;25.962581;19.754839;71.137097;9;2.731183;46.666667;null;
1971-08-31;23;363.7;null;null;324.7;4.064516;null;23.2;null;33.854839;26.767742;20.251613;46.306452;8;3.086022;46.091954;null;
1971-09-30;14;376;null;null;268.1;6.177778;null;4.5;null;35.41;28.528667;22.073333;44.958333;8;3.322222;44.252874;null;
1971-10-31;32;310.2;null;null;222.5;7.774194;null;75.4;null;34.367742;27.816129;22.73871;59.16129;8;3.516129;45.376344;null;
1971-11-30;0;151.8;null;null;191.8;8.055556;17;106.4;null;31.689655;25.993103;21.57;79.116667;7;2.1;40.4;null;
1971-12-31;32;162.8;null;null;229.6;7.408602;null;83.6;null;32.193333;26.060667;20.926667;78.048387;12;2.709677;42.956989;null;
1972-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-02-29;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
