Nome: CARACOL
Codigo Estacao: 82976
Latitude: -9.28583333
Longitude: -43.32444443
Altitude: 515.3
Situacao: Fechada
Data Inicial: 1975-10-02
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1975-10-31;9;251.5;null;null;217;4.918605;null;71.5;950.82093;32.624138;25.32069;18.07931;58.836207;7.6;2.482558;39.790698;null;
1975-11-30;9;234;null;null;247.7;5.077778;null;43.5;950.671111;32.066667;24.909333;18.6;62.433333;7.5;2.491111;39.455556;null;
1975-12-31;9;198.8;null;null;213.7;6.301075;null;89.2;950.193548;31.619355;24.843871;20.048387;67.16129;5.1;2.347312;40;null;
1976-01-31;9;249.4;null;null;239.6;6.655914;null;29.6;950.24086;32.922581;null;null;59.274194;5.6;2.562366;39.354839;null;
1976-02-29;9;107.4;null;null;192.1;7.091954;null;99.5;951.33908;29.031034;null;null;79.896552;4.6;1.832184;40;null;
1976-03-31;9;209.8;null;null;261.4;6.333333;null;54.8;950.489247;31.816129;null;null;65.532258;5.5;2.502151;40;null;
1976-04-30;9;177.8;null;null;264;5.488889;null;96.5;951.805556;31.63;null;null;68.5;6.3;2.194444;40;null;
1976-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1977-01-31;14;169.7;null;null;144.9;8.630435;20;153.4;950.990217;29.470968;24.155333;20.33;72.798387;11.1;2.861957;40.434783;null;
