Nome: PAULO AFONSO
Codigo Estacao: 82986
Latitude: -9.378106
Longitude: -38.226771
Altitude: 255.04
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 2015-04-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;5;241.2;null;null;259.9;5.301075;10;111.8;982.913978;33.277419;26.905161;21.825806;71.943548;5;1.462366;82.419355;null;
1970-02-28;5;218;null;null;242.8;4.952381;5;5.8;982.817857;33.817857;27.147143;21.935714;70.3125;7;1.880952;82.285714;null;
1970-03-31;5;212.6;null;null;238;5.494624;8;61.6;982.958065;32.596774;26.638065;22.029032;74.241935;5;1.72043;82.258065;null;
1970-04-30;9;252.8;null;null;255.2;5.044444;2;4;983.236667;33.813333;27.176667;22.16;70.05;7;1.822222;81.833333;null;
1970-05-31;9;282.9;null;null;null;4.430108;4;1.5;984.651613;32.319355;25.843226;20.248387;67.983871;7;2.053763;82.806452;null;
1970-06-30;5;197.3;null;null;196.5;5.433333;12;27.8;986.263333;30.28;24.514667;20.11;74.583333;5;1.611111;81.233333;null;
1970-07-31;9;162;null;null;209.9;6.086022;16;45;987.701075;28.045161;23.067097;18.754839;76.790323;6;1.817204;81.064516;null;
1970-08-31;9;176.1;null;null;233.5;5.60241;15;21.9;986.645783;29.114286;23.498519;19.151852;75.546296;6;1.915663;83.236364;null;
1970-09-30;5;295.8;null;null;259.7;4.433333;5;8.1;984.98;32.296667;25.424667;20.24;69.241667;7;1.977778;82.966667;null;
1970-10-31;0;307.3;null;null;302.4;4.150538;5;36;981.653763;34.925806;27.809032;21.548387;64.66129;9;1.752688;83.774194;null;
