Nome: ALTO DA BOA VISTA
Codigo Estacao: 83007
Latitude: -22.96583333
Longitude: -43.27916666
Altitude: 347.1
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;null;75.4;null;null;null;7.258065;13;295.6;null;28.393548;23.899355;20.274194;80.508065;null;null;null;null;
1970-02-28;null;90.3;null;null;null;7.130952;6;25.6;null;29.45;24.892857;21.425;76.330357;null;null;null;null;
1970-03-31;null;91.8;null;null;null;4.924731;6;124.2;null;28.793548;24.003871;20.493548;78.33871;null;null;null;null;
1970-04-30;null;64.2;null;null;null;4.42623;10;102.9;null;25.856667;null;18.146667;null;null;null;null;null;
1970-05-31;null;71.6;null;null;null;4.274194;8;86.8;null;25.806452;null;17.551613;null;null;null;null;null;
1970-06-30;null;79.1;null;null;null;4.066667;7;127.3;null;24.316667;null;17.023333;null;null;null;null;null;
1970-07-31;null;60.7;null;null;null;5.177419;11;141.3;null;21.822581;null;14.816129;null;null;null;null;null;
1970-08-31;null;88.7;null;null;null;4;8;151.3;null;22.458065;null;14.180645;null;null;null;null;null;
1970-09-30;null;40.1;null;null;null;7.9;15;123.3;null;21.576667;null;16.033333;null;null;null;null;null;
1970-10-31;null;42.4;null;null;null;7.983871;17;194.5;null;22.277419;null;16.493548;null;null;null;null;null;
1970-11-30;null;52.5;null;null;null;7.416667;16;387.5;null;23.053333;null;16.663333;null;null;null;null;null;
1970-12-31;null;98.4;null;null;null;5.129032;11;137.3;null;29.577419;null;20.429032;null;null;null;null;null;
1971-01-31;null;124.4;null;null;null;3.741935;9;210.6;null;30.716129;null;21.032258;null;null;null;null;null;
1971-02-28;null;103.4;null;null;null;3.517857;6;510.7;null;30.607143;null;21.292857;null;null;null;null;null;
1971-03-31;null;62.3;null;null;null;5.112903;16;221.9;null;28.670968;null;20.825806;null;null;null;null;null;
1971-04-30;null;53.6;null;null;null;6.512821;17;343.6;null;25.436667;21.24;18.633333;86.657895;null;null;null;null;
1971-05-31;null;51.9;null;null;null;5.569892;12;284.3;null;23.419355;19.588387;16.651613;85.830645;null;null;null;null;
1971-06-30;null;49.6;null;null;null;5.311111;12;159.2;null;21.58;18.043333;15.203333;83.908333;null;null;null;null;
1971-07-31;null;69.7;null;null;null;3.763441;5;57.3;null;22.987097;18.61871;15.383871;82.354839;null;null;null;null;
1971-08-31;null;60.1;null;null;null;5.430108;10;164.4;null;22.441935;18.6;15.603226;84.854839;null;null;null;null;
1971-09-30;null;64;null;null;null;6.022222;13;158.3;null;23.226667;18.992;15.56;83.2;null;null;null;null;
1971-10-31;null;62.2;null;null;null;7.376344;14;281.1;null;23.222581;19.311613;16.154839;84.048387;null;null;null;null;
1971-11-30;null;57.9;null;null;null;7.233333;20;234.1;null;23.77;20.026;16.973333;85.316667;null;null;null;null;
1971-12-31;null;76;null;null;null;6.774194;15;379.1;null;27.312903;22.744516;19.364516;81.427419;null;null;null;null;
1972-01-31;null;112.1;null;null;null;4.763441;14;133.4;null;29.632258;24.561935;20.374194;75.137097;null;null;null;null;
1972-02-29;null;73.5;null;null;null;6.206897;17;341.8;null;28.248276;23.829655;20.510345;82.413793;null;null;null;null;
1972-03-31;null;55.7;null;null;null;5.064516;11;280.6;null;28.503226;23.645806;20.054839;85.16129;null;null;null;null;
1972-04-30;null;52.8;null;null;null;6.244444;21;412.5;null;24.476667;20.530667;17.35;84.708333;null;null;null;null;
1972-05-31;null;58.4;null;null;null;3.354839;8;101.3;null;24.787097;19.929677;16.564516;82.66129;null;null;null;null;
1972-06-30;null;82.1;null;null;null;1.9;3;18.2;null;26.07;20.240667;16.4;76.058333;null;null;null;null;
1972-07-31;null;63.6;null;null;null;5.096774;11;56.7;null;22.867742;18.638065;15.496774;82.25;null;null;null;null;
1972-08-31;null;82.1;null;null;null;5.365591;13;204.8;null;24.2;19.245806;15.867742;79.725806;null;null;null;null;
1972-09-30;null;75;null;null;null;6.466667;15;136.2;null;23.85;19.76;16.686667;79.925;null;null;null;null;
1972-10-31;null;64.6;null;null;null;6.946237;15;200.5;null;24.851613;20.665806;17.658065;82.967742;null;null;null;null;
1972-11-30;null;52.7;null;null;null;8.377778;18;244.9;null;25.283333;21.596;18.923333;86.583333;null;null;null;null;
1972-12-31;null;68;null;null;null;7.483871;21;129;null;27.458065;23.074194;19.745161;81.919355;null;null;null;null;
1973-01-31;null;97.3;null;null;null;5.663043;17;305.2;null;30.590323;25.432258;21.7;77.608333;null;null;null;null;
1973-02-28;null;75.9;null;null;null;4.416667;7;131.6;null;30.664286;25.525;21.492857;78.919643;null;null;null;null;
1973-03-31;null;52.2;null;null;null;7.131868;15;225.6;null;26.351613;23.085161;20.019355;85.308333;null;null;null;null;
1973-04-30;null;47.4;null;null;null;5.890411;4;6.6;null;28.013333;23.758;20.473333;83.4;null;null;null;null;
1973-05-31;null;null;null;null;null;5.515625;16;208;null;24.23871;19.910968;16.774194;null;null;null;null;null;
1973-06-30;null;50.8;null;null;null;4.4;4;21.3;null;24.77;19.977333;16.683333;null;null;null;null;null;
1973-07-31;null;55.5;null;null;null;5.164835;11;395.2;null;23.970968;19.552903;16.545161;81.425;null;null;null;null;
1973-08-31;null;46.3;null;null;null;6.966292;17;72.2;null;22.141935;18.315484;15.345161;85.827586;null;null;null;null;
1973-09-30;null;54.4;null;null;null;6.162791;15;232.8;null;23.516667;19.094667;15.933333;84.555556;null;null;null;null;
1973-10-31;null;67.6;null;null;null;7.247312;15;160;null;24.009677;19.813548;16.358065;81.790323;null;null;null;null;
1973-11-30;null;54.2;null;null;null;7.127907;16;221.9;null;24.506667;20.281333;16.966667;84.178571;null;null;null;null;
1973-12-31;null;82.8;null;null;null;7.619565;16;196;null;28.458065;23.679355;20.122581;80.216667;null;null;null;null;
1974-01-31;null;73.5;null;null;null;6.337079;13;186.8;null;29.529032;24.531613;20.764516;80.198276;null;null;null;null;
1974-02-28;null;null;null;null;null;4.278481;4;16.5;null;29.755556;24.691852;20.632143;76.25;null;null;null;null;
1974-03-31;null;67.6;null;null;null;6.113636;6;32.6;null;28.396774;24.083871;20.593548;79.071429;null;null;null;null;
1974-04-30;null;41.2;null;null;null;7.5;19;218;null;25.107143;21.098571;18.116667;84.766667;null;null;null;null;
1974-05-31;null;null;null;null;null;5.61039;10;98.6;null;24.529032;19.77037;16.603333;84.15625;null;null;null;null;
1974-06-30;null;55.2;null;null;null;6.255814;16;161.7;null;22.136667;18.341333;15.363333;81.723214;null;null;null;null;
1974-07-31;null;null;null;null;null;3.302632;4;13.2;null;24.22;18.63931;14.896774;77.84375;null;null;null;null;
1974-08-31;null;96.3;null;null;null;4.771739;5;52.9;null;25.351613;19.352258;15.564516;74.25;null;null;null;null;
1974-09-30;null;52.3;null;null;null;5.642857;10;209.3;null;24.116667;19.914667;16.71;81.555556;null;null;null;null;
1974-10-31;null;44.3;null;null;null;8.215054;16;221.9;null;23.68;19.977333;17.183871;85.66129;null;null;null;null;
1974-11-30;null;87.1;null;null;null;6.366667;13;126.3;null;26.653333;21.785333;17.91;77.083333;null;null;null;null;
1974-12-31;null;68;null;null;null;7.892473;20;319.3;null;26.616667;22.188667;18.790323;82.548387;null;null;null;null;
1975-01-31;null;70.5;null;null;null;7.870968;16;441.5;null;27.612903;23.23871;19.874194;81.080645;null;null;null;null;
1975-02-28;null;65.4;null;null;null;6.107143;14;247.8;null;29.642857;24.190714;20.728571;78.116071;null;null;null;null;
1975-03-31;null;61.1;null;null;null;5.774194;9;131.1;null;28.496667;23.745333;20.183871;81.145161;null;null;null;null;
1975-04-30;null;47.7;null;null;null;5.155556;9;141.6;null;25.273333;20.467333;16.9;81.125;null;null;null;null;
1975-05-31;null;42.1;null;null;null;5.946237;19;272.2;null;22.770968;18.768387;15.687097;85;null;null;null;null;
1975-06-30;null;43.9;null;null;null;5.944444;13;68.7;null;22.083333;17.782667;14.153333;86.05;null;null;null;null;
1975-07-31;null;58.2;null;null;null;3.752688;9;107.4;null;21.696774;16.4;12.183871;82.120968;null;null;null;null;
1975-08-31;null;78.3;null;null;null;3.619565;7;21.2;null;25.896774;20.451333;16.36;78.33871;null;null;null;null;
1975-09-30;null;66.7;null;null;null;6.388889;12;161.1;null;24.363333;19.66;16.546667;81.016667;null;null;null;null;
