Nome: BRASILEIA
Codigo Estacao: 83010
Latitude: -11.02
Longitude: -68.73
Altitude: 260
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 1974-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-05-31;null;56.3;null;null;null;5.987952;5;48.8;1007.396386;31.296429;24.150714;18.8;90.964286;null;null;29.267857;null;
1970-06-30;null;65.3;null;null;null;5.966667;8;127.7;1008.674444;31.603333;22.710667;15.813333;89.333333;null;null;30.5;null;
1970-07-31;null;93.8;null;null;null;5.903226;5;57.8;1010.588172;31.213333;21.324667;13.419355;null;null;null;43.064516;null;
1970-08-31;null;124.3;null;null;null;5.827957;1;14;1007.652688;32.358065;22.390323;13.635484;83.008065;null;null;44.032258;null;
1970-09-30;null;103;null;null;null;5.822222;7;107.7;1006.368182;32.713333;23.456;15.1;82.808333;null;null;42;null;
1970-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-03-31;0;null;null;null;null;4.717391;14;80.1;999.63956;31.346154;25.266667;21.870833;81.024194;1.2;.215217;20.564516;null;
