Nome: LAVRAS-ESAL.
Codigo Estacao: 83023
Latitude: -21.23
Longitude: -45
Altitude: 842
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 1984-04-24
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;5;64.3;null;null;143.3;7.666667;21;333.4;null;27.935484;21.727742;16.587097;81.451613;5;1.172043;44.33871;null;
1970-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-03-31;5;73.6;null;null;205.2;5.347826;13;153.8;null;29.219355;21.783871;16.029032;78.637097;3;1.065217;47.419355;null;
1970-04-30;5;70.5;null;null;202.4;4.344444;6;88.4;null;27.266667;19.502;13.256667;77.916667;5.9;1.165556;47.083333;null;
1970-05-31;5;77.7;null;null;209.8;3.655914;2;6;null;26.845161;18.14;11.532258;74.137097;5;1.236559;48.548387;null;
1970-06-30;5;74.8;null;null;189.4;4.277778;7;24;null;25.28;17.002667;10.413333;75.783333;5;1.266667;47.166667;null;
1970-07-31;5;81;null;null;176.6;4.473118;6;28.4;null;23.422581;15.328387;9.006452;74.564516;7;1.709677;48.064516;null;
1970-08-31;5;109.8;null;null;232.6;3.430108;5;60.5;null;25.219355;16.569677;9.241935;68.451613;5;1.903226;47.983871;null;
1970-09-30;5;85.5;null;null;151.3;6;7;36.6;null;26.006667;18.514667;12.486667;76.308333;5;1.4;36.166667;null;
1970-10-31;5;84.2;null;null;159.1;6.655914;12;141.6;null;27.33871;19.832903;13.909677;77.233871;5;1.301075;47.903226;null;
1970-11-30;5;85.4;null;null;175.2;5.433333;11;205;null;26.94;19.647333;13.326667;75.8;3;1.244444;46.7;null;
1970-12-31;5;101.3;null;null;239.8;4.419355;11;103;null;31.274194;22.977419;15.767742;72.370968;3;1.043011;48.870968;null;
1971-01-31;5;76.4;null;null;220.7;4.612903;13;219.4;null;30.193548;22.206452;15.212903;72.467742;5;1.086022;47.419355;null;
1971-02-28;5;94.5;null;null;235.9;4.22619;9;90.2;null;31.4;22.863571;15.510714;70.008929;3;1.309524;50;null;
1971-03-31;5;88.4;null;null;null;4.688172;10;153;null;29.941935;22.06129;15.603226;75.645161;3;1.301075;48.852459;null;
1971-04-30;5;81.6;null;null;212.3;4.344444;7;64.6;null;28.226667;20.114;13.65;76.516667;3;1.333333;47.75;null;
1971-05-31;5;75.7;null;null;208.3;3.935484;2;9;null;26.496774;17.134839;10.390323;75.540323;5;1.301075;45.83871;null;
1971-06-30;5;56.7;null;null;154.7;4.5;8;110.2;null;23.64;15.480667;8.916667;78.741667;3;1.311111;42.8;null;
1971-07-31;5;77.8;null;null;195.1;3.387097;1;1;null;24.516129;15.285161;8.425806;73.556452;3;1.150538;45.403226;null;
