Nome: CORONEL PACHECO
Codigo Estacao: 83037
Latitude: -21.546686
Longitude: -43.261045
Altitude: 411.03
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 2009-04-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;0;58.8;null;null;143.5;7.408602;13;94;964.280645;29.890323;23.296774;16.335484;80.524194;5;.774194;49.032258;null;
1970-02-28;0;64.2;null;null;158.4;6.488095;9;96.7;965.886905;30.414286;23.143571;15.832143;78.607143;3;.892857;48.928571;null;
1970-03-31;0;59.9;null;null;211.3;5.924731;7;126.8;966.663441;29.996774;23.174194;16.06129;81.032258;5;.698925;50;null;
1970-04-30;0;46;null;null;178;6.1;8;89.9;967.598889;28.023333;20.440667;13.056667;82.216667;3;.411111;47.966102;null;
1970-05-31;0;50.3;null;null;215.2;3.736264;1;.9;968.119355;27.73871;19.163871;12.009677;81.362903;3;.268817;49.516129;null;
1970-06-30;0;46.8;null;null;177.1;4.404494;5;71.7;969.763333;26.503333;17.502;10.233333;81.675;5;.533333;46.949153;null;
1970-07-31;0;50;null;null;142.7;5.892473;4;14.6;972.577419;23.987097;16.58;10.012903;82.072581;5;.806452;49.096774;null;
1970-08-31;0;65.8;null;null;157.3;5.096774;9;60.4;970.670968;25.370968;16.947742;9.774194;81.120968;5;.88172;47.096774;null;
1970-09-30;0;45.5;null;null;100.9;7.633333;8;60.4;967.782222;25.043333;18.983333;12.623333;82.65;3;.666667;31.4;null;
1970-10-31;0;58.1;null;null;104.9;8.182796;15;140.5;964.926882;26.483333;20.784;16.143333;81.166667;5;1.107527;43.419355;null;
1970-11-30;0;66;null;null;141.4;7.111111;12;174.1;963.096667;27.34;21.624;17.343333;77.15;6;1.077778;48.5;null;
1970-12-31;0;87.4;null;null;254.7;5.333333;10;93.5;962.332258;32.348387;24.470323;18.677419;75.629032;9;.989247;50;null;
1971-01-31;0;78.3;null;null;256.6;4.956522;8;173.2;963.630108;31.845161;24.357419;18.174194;75.524194;10;.709677;50;null;
1971-02-28;0;78.9;null;null;244.8;4.642857;5;55.6;963.278571;33.675;24.697857;18.278571;72.821429;3;.404762;49.285714;null;
1971-03-31;0;49.9;null;null;222.5;6.27957;11;192;964.049462;31.174194;23.869032;18.854839;79.016129;5;.548387;45.16129;null;
1971-04-30;0;44.8;null;null;201.6;6.311111;8;51.8;965.196667;28.383333;22;17.673333;80.8;3;.7;49.5;null;
1971-05-31;0;47.2;null;null;207.1;5.107527;6;43.1;968.376344;26.664516;19.112258;13.419355;80.129032;5;.709677;48.870968;null;
