Nome: VENDA NOVA
Codigo Estacao: 83045
Latitude: -20.38532
Longitude: -41.189474
Altitude: 720.46
Situacao: Desativada
Data Inicial: 1976-03-31
Data Final: 2006-03-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1976-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-04-30;null;59.8;null;null;229.5;3.955056;10;66;null;26.34;20.52;16.99;78.783333;null;null;35.516667;null;
1976-05-31;null;41.8;null;null;156;5.258065;13;95.3;null;null;19.020968;null;84.975806;null;null;28.790323;null;
1976-06-30;null;57;null;null;224.1;3.111111;4;1.8;null;null;18.040833;null;78.916667;null;null;36.316667;null;
1976-07-31;null;44;null;null;156.1;5.51087;10;39.1;null;null;16.69569;null;83.241379;null;null;27.47541;null;
1976-08-31;null;66.5;null;null;187.1;4.903226;9;15.9;null;null;18.36371;null;77.233871;null;null;37.790323;null;
1976-09-30;null;44.1;null;null;108.2;6.966667;19;160.9;null;23.27;18.755833;null;83.608333;null;null;29.2;null;
1976-10-31;null;49.1;null;null;125.9;6.582418;18;142.7;null;23.745161;18.934167;null;83.016667;null;null;31.966667;null;
1976-11-30;null;53.2;null;null;100.9;6.6;20;284;null;26.193333;21.120833;null;82.766667;null;null;39.5;null;
1976-12-31;null;55.6;null;null;114.5;6.795699;20;236.5;null;28.103226;22.391129;null;81.983871;null;null;40.677419;null;
1977-01-31;null;63.4;null;null;180.5;6.258065;16;101.9;null;27.219355;21.610323;15.819355;80.790323;null;null;46.129032;null;
1977-02-28;null;71.5;null;null;205.7;3.345238;8;136.2;null;28.657143;21.942857;16.660714;76.723214;null;null;49.125;null;
1977-03-31;null;73.4;null;null;218.6;4.505376;11;81;null;29.377419;22.172903;15.846667;79.33871;null;null;49.516129;null;
1977-04-30;null;43.6;null;null;131.3;6.588889;15;136.2;null;25.316667;19.558667;12.875862;85.533333;null;null;39;null;
1977-05-31;null;43.1;null;null;195.2;4.913978;8;74;null;23.522581;17.531613;13.96129;84.5;null;null;35.709677;null;
1977-06-30;null;41.8;null;null;170.5;4.233333;3;8;null;23.503333;17.465333;14.826667;86.008333;null;null;40.033333;null;
1977-07-31;null;58.2;null;null;209.1;3.182796;3;3.5;null;24.451613;17.448387;14.074194;80.491935;null;null;46.031746;null;
1977-08-31;null;71;null;null;197.3;3.83871;7;8.2;null;25.129032;18.12;14.709677;76.701613;null;null;42.629032;null;
1977-09-30;null;62.9;null;null;138.5;6.411111;7;78.4;null;23.856667;18.809333;16.253333;79.966667;null;null;41.866667;null;
1977-10-31;null;61.7;null;null;150.2;5.913978;12;145.4;null;25.541935;20.365161;17.883871;79.370968;null;null;47.096774;null;
1977-11-30;null;47.6;null;null;76.8;8.111111;21;251.9;null;26.03;21.435333;19.203333;84.625;null;null;43.833333;null;
1977-12-31;null;53.9;null;null;80.3;7.075269;20;257.3;null;25.693548;20.933548;18.367742;83.580645;null;null;42.258065;null;
1978-01-31;null;64.5;null;null;168.3;5.053763;11;176.4;null;27.683871;22.47871;19.96129;80.080645;null;null;45.645161;null;
1978-02-28;null;51.9;null;null;88.7;7.337349;18;166.6;null;26.532143;21.870714;19.692857;83.232143;null;null;39.107143;null;
1978-03-31;null;60.3;null;null;184;4.655914;10;62.8;null;27.919355;22.208387;19.535484;79.975806;null;null;47.903226;null;
1978-04-30;null;41.2;null;null;150.8;5.444444;16;119;null;24.976667;19.860667;17.393333;84.2;null;null;43.666667;null;
1978-05-31;null;38.1;null;null;134.2;6.043011;11;85.1;null;23.316129;18.08129;15.458065;86.870968;null;null;44;null;
1978-06-30;null;35.2;null;null;130.2;5.744444;6;13;null;22.016667;16.480667;14;85.625;null;null;41.916667;null;
1978-07-31;null;41.4;null;null;140.5;5.322581;13;131.2;null;23.003226;17.733548;15.36129;85.58871;null;null;42.258065;null;
1978-08-31;null;53.1;null;null;185.1;4.010753;5;23.4;null;24.132258;16.711613;11.877419;82.104839;null;null;47.096774;null;
1978-09-30;null;44.4;null;null;82.6;7.4;14;84.5;null;22.913333;17.492;13.2;83.283333;null;null;47;null;
1978-10-31;null;63;null;null;144.7;5.462366;8;172.6;null;25.896774;19.985806;15.490323;79.83871;null;null;42.419355;null;
1978-11-30;0;71.3;null;null;67.5;6.555556;10;136.1;null;25.66;20.778667;16.946667;79.466667;5;1.011236;47.931034;null;
1978-12-31;0;65.9;null;null;120.1;6.043011;12;149.1;null;26.990323;21.365806;17.406452;81.354839;5;.956989;45.16129;null;
1979-01-31;0;37.5;null;null;37.1;8.827586;22;451.4;null;24.286207;20.051724;17.096552;87.836207;4;.54023;38.275862;null;
1979-02-28;0;null;null;null;114.6;6.04;11;192.1;null;26.508;21.356;17.592;83.94;3;.986667;44.4;null;
1979-03-31;0;45.6;null;null;138.8;6.233333;14;220.4;null;25.96;20.362333;16.358621;85.22;5;.511111;44.310345;null;
