Nome: MACAE-PESAGRO
Codigo Estacao: 83057
Latitude: -22.38
Longitude: -41.77
Altitude: 0
Situacao: Desativada
Data Inicial: 1979-04-03
Data Final: 1997-01-12
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1979-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1979-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1979-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1979-07-31;0;61.3;null;null;167.4;4.767442;10;53.1;null;24.941379;19.666897;15.651724;81.301724;10.1;2.228235;null;null;
1979-08-31;5;73;null;null;195;2.761905;5;2.5;null;27.853571;21.951429;17.582143;80.178571;4.6;1.861905;null;null;
1979-09-30;5;71.6;null;null;116.3;6.511905;10;71.1;null;26.017857;21.394286;17.721429;81.366071;4.1;1.95119;null;null;
1979-10-31;5;77;null;null;148.3;6.222222;8;44.4;null;27.974074;23.343704;19.559259;79.796296;4.6;2.21358;null;null;
1979-11-30;5;68.9;null;null;173.7;6.02381;13;113.8;null;27.85;23.530714;19.839286;83.660714;4.1;1.82619;null;null;
1979-12-31;5;67.1;null;null;144.6;6.45977;12;179.1;null;29.565517;24.889655;21.275862;84.758621;3.6;1.578161;null;null;
1980-01-31;0;61.5;null;null;137.7;7.47619;16;172.8;null;29.171429;24.818571;21.385714;85.160714;3.6;1.317857;null;null;
1980-02-29;5;83.8;null;null;218.2;4.758621;10;40.3;null;31.131034;25.731034;21.758621;82.344828;7;2.903448;null;null;
1980-03-31;5;112.1;null;null;268.5;2.043011;2;12.2;null;32.103226;26.065806;21.36129;76.822581;9;3.430108;null;null;
1980-04-30;0;null;null;null;131.7;5.884615;8;81;null;28.9;23.92;20.061538;85.076923;3;.909091;null;null;
1980-05-31;0;68.5;null;null;199.6;3.397849;5;63.3;null;28.225806;22.783226;18.445161;83.314516;5;1.44086;null;null;
