Nome: PARAGUACU PAULISTA
Codigo Estacao: 83060
Latitude: -22.4
Longitude: -50.57
Altitude: 505
Situacao: Desativada
Data Inicial: 1978-02-28
Data Final: 1987-01-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1978-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1978-03-31;0;123.2;null;null;216.1;3.597826;9;181.2;null;null;null;19.845161;72.580645;7;1.206522;57.419355;null;
1978-04-30;0;166.9;null;null;265.2;1.811111;1;3.6;null;null;null;16.14;60.133333;5;1.044444;46.25;null;
1978-05-31;0;141.1;null;null;226.4;2.774194;11;112.7;null;null;null;13.412903;64.33871;3;.849462;49.322581;null;
1978-06-30;0;125.2;null;null;207.5;3.288889;3;6.6;null;null;null;12.85;66.525;5;.944444;58;null;
1978-07-31;9;141.3;null;null;223.2;2.903226;7;127.1;null;null;null;14.56129;66.870968;5;1.172043;57.580645;null;
1978-08-31;9;192;null;null;213.2;2.494624;1;1.3;null;null;null;12.93871;56.879032;7;1.548387;54.83871;null;
1978-09-30;9;139;null;null;188.1;3.911111;8;101.3;null;null;null;15.073333;63.891667;5;1.588889;58.5;null;
1978-10-31;9;215.2;null;null;226.6;3.483871;9;74.2;null;null;null;17.806452;56.056452;5;1.537634;60;null;
1978-11-30;9;153.2;null;null;232.5;4.822222;10;53.6;null;null;null;18.596667;68.525;5;1.666667;59.5;null;
1978-12-31;9;156.5;null;null;237.1;4.709677;10;128.9;null;null;null;19.441935;70.33871;5;1.569892;59.677419;null;
1979-01-31;9;144.1;null;null;215.4;4.047619;9;76.4;null;29.424;23.584;17.828571;65.416667;7;2.357143;59.821429;null;
1979-02-28;9;null;null;null;186.4;3.930556;7;36.5;null;30.7375;24.96;19.920833;64.916667;5;1.569444;60;null;
1979-03-31;9;null;null;null;181.9;3.615385;6;92.5;null;29.730769;23.703846;18.692308;68.538462;5;1.615385;60;null;
1979-04-30;9;null;null;null;null;3.528571;3;12.2;null;27.530435;21.04;15.473913;66.293478;5;1.854286;60;null;
1979-05-31;0;null;null;null;null;4.205882;8;67.2;null;25.854545;20.055455;14.956522;75.75;9;1.323529;60;null;
1979-06-30;0;null;null;null;null;1.615385;null;0;null;25.9;18.656471;12.676471;62.573529;5;1.038462;null;null;
1979-07-31;null;null;null;null;null;null;1;23;null;null;null;null;null;null;null;null;null;
1979-08-31;null;null;null;null;null;null;4;36;null;null;null;null;null;null;null;null;null;
1979-09-30;null;null;null;null;null;null;3;84.8;null;null;null;null;null;null;null;null;null;
1979-10-31;null;null;null;null;null;null;4;48.1;null;null;null;null;null;9;null;null;null;
1979-11-30;null;null;null;null;null;null;5;60.3;null;null;null;null;null;5;null;null;null;
1979-12-31;0;null;null;null;90.7;6.346667;18;142.8;null;28.14;23.6504;19.812;81.352273;7;1.44;60;null;
1980-01-31;null;null;null;null;null;null;4;21.5;null;null;null;null;null;9;null;null;null;
1980-02-29;null;null;null;null;null;null;5;103.4;null;null;null;null;null;5;null;null;null;
1980-03-31;null;null;null;null;null;null;5;22.8;null;null;null;null;null;3;null;null;null;
1980-04-30;null;null;null;null;null;null;2;21.3;null;null;null;null;null;null;null;null;null;
1980-05-31;null;null;null;null;null;null;2;19.6;null;null;null;null;null;null;null;null;null;
1980-06-30;null;null;null;null;null;null;3;42.4;null;null;null;null;null;null;null;null;null;
1980-07-31;null;null;null;null;null;null;1;1.6;null;null;null;null;null;9;null;null;null;
1980-08-31;null;null;null;null;null;null;2;9.5;null;null;null;null;null;7;null;null;null;
1980-09-30;0;null;null;null;null;3.882353;6;69.5;null;26.405882;19.394118;13.241176;64.897059;9;1.823529;null;null;
1980-10-31;null;null;null;null;null;null;2;2.3;null;30.04;23.474667;17.4;61.783333;7;null;null;null;
1980-11-30;null;null;null;null;null;null;1;16;null;null;null;null;null;null;null;null;null;
1980-12-31;null;null;null;null;null;null;8;99.9;null;null;null;null;null;5;null;null;null;
1981-01-31;null;null;null;null;null;null;1;.2;null;null;null;null;null;null;null;null;null;
1981-02-28;null;null;null;null;null;null;null;0;null;null;null;null;null;null;null;null;null;
1981-03-31;null;null;null;null;null;null;4;19.4;null;30.326667;24.510667;19.693333;72.4;7;null;null;null;
1981-04-30;9;null;null;null;null;2.716981;2;19.3;null;28.605556;21.885556;16.377778;67.555556;5;1.490566;null;null;
1981-05-31;null;null;null;null;null;null;null;0;null;null;null;null;null;5;null;null;null;
1981-06-30;null;null;null;null;null;null;4;35.6;null;null;null;null;null;7;null;null;null;
1981-07-31;null;null;null;null;null;null;2;4.6;null;null;null;null;null;7;null;null;null;
1981-08-31;0;null;null;null;null;.784314;null;0;null;28.558824;20.877647;15.094118;48.073529;7;1.529412;null;null;
1981-09-30;null;null;null;null;null;null;null;0;null;null;null;null;null;9;null;null;null;
1981-10-31;9;null;null;null;null;5.166667;8;92.5;null;26.525;20.69625;15.4875;71.609375;7;1.51875;null;null;
1981-11-30;0;null;null;null;null;4.125;4;68.9;null;30.56875;24.41625;19.6;71.21875;3;1.229167;null;null;
1981-12-31;null;null;null;null;null;null;1;.3;null;null;null;null;null;null;null;null;null;
1982-01-31;null;null;null;null;null;null;3;66.9;null;null;null;null;null;5;null;null;null;
1982-02-28;null;null;null;null;null;null;6;89.4;null;null;null;null;null;null;null;null;null;
1982-03-31;0;null;null;null;null;5.170732;7;53.5;null;null;null;null;null;6;1.47619;null;null;
1982-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1982-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1982-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1982-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1982-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1982-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1982-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1982-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1982-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1983-01-31;0;92.6;null;null;180.1;7.456522;19;246.1;null;29.390323;24.46;20.577419;82.298387;5;1.076087;59.032258;null;
1983-02-28;0;null;null;null;163.5;7.650602;13;136.5;null;30.485714;24.751852;20.521429;80.490741;9;1.433735;57.636364;null;
1983-03-31;0;106.8;null;null;222.4;5.634409;12;170;null;29;23.216774;18.83871;78.951613;9;1.849462;59.354839;null;
1983-04-30;0;92.5;null;null;179.6;6.633333;13;109.1;null;28.306667;22.561333;18.276667;83.191667;5;1.344444;52.7;null;
1983-05-31;0;81;null;null;134.9;6.55914;13;248.1;null;25.93871;20.859355;17.4;82.112903;9;1.602151;55.080645;null;
1983-06-30;0;72.9;null;null;null;6.622222;11;157.1;null;22.436667;17.165333;13.516667;81.816667;5;1.266667;51.366667;null;
1983-07-31;0;168.6;null;null;null;4.784946;6;14.4;null;26.480645;20.164516;15.467742;65.201613;7;1.623656;60;null;
1983-08-31;0;199;null;null;null;2.526882;null;0;null;27.758065;19.863226;14.03871;58.870968;9;1.989247;57.741935;null;
1983-09-30;14;102.7;null;null;115.4;7.377778;17;284.6;null;24.306667;18.784667;14.456667;80.633333;7;2.122222;52.666667;null;
1983-10-31;14;137;null;null;169.8;6.182796;10;152.8;null;27.483871;21.602581;16.551613;77.104839;7;1.978495;57.741935;null;
1983-11-30;0;140.4;null;null;222.7;6.088889;10;133.4;null;29.09;23.222667;18.32;71.691667;5;.877778;57.333333;null;
