Nome: SANTA BARBARA
Codigo Estacao: 83072
Latitude: -20.15
Longitude: -43.4
Altitude: 721
Situacao: Desativada
Data Inicial: 1980-12-31
Data Final: 1987-05-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1980-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1981-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1981-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1981-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1981-04-30;null;null;null;null;null;5.089888;6;10.3;null;26.493333;18.176667;12.526667;86.016667;null;null;48;null;
1981-05-31;null;null;null;null;null;4.688889;4;30;null;24.826667;16.536;10.95;86.4;null;null;44.583333;null;
1981-06-30;null;null;null;null;null;5.657895;5;20.8;null;23.288;15.0088;9.74;88.76;null;null;42.5;null;
1981-07-31;null;null;null;null;null;4.067568;null;0;null;23.32;12.7896;5.204;81.47;null;null;46.12;null;
1981-08-31;null;64.8;null;null;null;4.377778;2;26.1;null;24.78;14.31;6.86;84.358333;null;null;47;null;
1981-09-30;null;94.2;null;null;null;3.586207;1;11.8;null;27.8;16.991724;8.582759;78.534483;null;null;47.142857;null;
1981-10-31;null;null;null;null;null;7.618421;13;93.4;null;24.944;19.268;14.612;86.8;null;null;48.2;null;
1981-11-30;null;56.6;null;null;null;7.77907;20;382.8;null;28.096552;21.444828;16.234483;87.646552;null;null;49.482759;null;
1981-12-31;null;67.7;null;null;null;7.137931;18;213.5;null;27.689655;21.144828;15.558621;84.508621;null;null;48.448276;null;
1982-01-31;null;52.6;null;null;null;7.777778;15;299;null;26.896296;20.955556;16.155556;84.981481;null;null;50;null;
1982-02-28;null;null;null;null;null;5.186667;3;78.4;null;29.712;20.6784;13.8;80.46;null;null;50;null;
1982-03-31;null;46.8;null;null;null;8.466667;23;472.9;null;28.06;21.716;16.483333;87.35;null;null;48.5;null;
1982-04-30;null;57.7;null;null;null;6.287356;7;54;null;25.786207;17.705517;11.534483;85.37931;null;null;48.965517;null;
1982-05-31;null;46;null;null;null;6.211111;5;39.1;null;23.783333;15.636;9.696667;87.316667;null;null;46;null;
1982-06-30;null;48.7;null;null;null;4.455556;null;0;null;25.466667;15.297333;8.606667;88.941667;null;null;36.45;null;
1982-07-31;null;66.2;null;null;null;3.322581;2;4.7;null;25.03871;13.899355;6.316129;85.564516;null;null;45.548387;null;
1982-08-31;null;71.7;null;null;null;4.7;2;7.4;null;26.013333;16.152;8.443333;83.841667;null;null;49;null;
1982-09-30;null;92;null;null;null;4.654762;5;13.6;null;26.121429;16.331429;8.3;79.25;null;null;48.392857;null;
