Nome: GUARULHOS
Codigo Estacao: 83075
Latitude: -23.470981
Longitude: -46.533559
Altitude: 746.51
Situacao: Desativada
Data Inicial: 1983-09-02
Data Final: 2014-12-08
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1983-09-30;14;60.4;null;null;57.2;8.1;19;256.4;929.666667;20.568966;null;null;null;4.6;1.88;null;null;
1983-10-31;14;84.4;null;null;97.3;7.901639;10;149.6;928.155738;24.419355;19.358667;14.941935;null;6.2;2.14918;null;null;
1983-11-30;14;105.4;null;null;158;5.788462;11;110.4;926.090385;27.634615;21.6;16.8;null;4.1;1.740385;null;null;
1983-12-31;32;111.1;null;null;112.2;7.693548;20;191.7;925.908065;27.464516;22.097333;18.170968;null;5.7;1.850877;null;null;
1984-01-31;12;150.5;null;null;214.8;4.919355;13;166.1;924.882258;30.345161;24.312667;19.319355;null;5;1.790323;null;null;
1984-02-29;14;126.7;null;null;201.2;3.293103;6;38.6;925.22069;32.240741;25.153333;19.760714;null;7;1.913793;null;null;
1984-03-31;12;95.9;null;null;141.2;6.790323;12;73.9;926.024194;27.490323;21.858;17.93871;null;5;1.66129;null;null;
1984-04-30;14;72.5;null;null;112.9;7.15;10;129.8;929.028814;24.726667;19.842069;15.916667;null;7;1.677966;null;null;
1984-05-31;14;80.8;null;null;164.3;5.016393;10;94.5;928.08;26.153333;19.926429;15.524138;null;3;.822581;null;null;
1984-06-30;0;83.8;null;null;154.3;4.333333;2;.3;931.025;24.293103;17.613846;12.67;null;7;1.416667;null;null;
1984-07-31;14;103;null;null;164.2;5.258065;6;23.1;931.177419;23.680645;16.826429;12.632258;null;5;1.870968;null;null;
1984-08-31;14;89.2;null;null;99.6;6.645161;12;95.4;930.604839;21.37;16.112;11.767742;null;7;1.790323;null;null;
1984-09-30;14;108.5;null;null;175.9;5.9;7;107.2;928.826667;23.851724;17.327586;12.473333;null;7;1.5;null;null;
1984-10-31;14;126.3;null;null;179.5;6.596774;2;20.1;922.732787;27.132258;20.617333;15.419355;null;7;2.354839;null;null;
1984-11-30;14;126.7;null;null;159.8;7.4;11;154.7;918.8475;27.286207;21.144;16.6;null;7;2.318333;null;null;
1984-12-31;14;101;null;null;108.8;7.483871;15;142.8;927.763333;25.943333;20.982759;16.873333;null;6;1.564516;null;null;
1985-01-31;null;null;null;null;null;null;null;0;null;null;null;null;null;null;null;null;null;
1985-02-28;null;null;null;null;null;null;null;null;null;null;23.125714;null;77.598214;null;null;null;null;
1985-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
