Nome: SERRA AZUL
Codigo Estacao: 83083
Latitude: -20.02
Longitude: -44.35
Altitude: 765
Situacao: Desativada
Data Inicial: 1984-11-26
Data Final: 1999-06-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1984-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1984-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-05-31;0;118.6;null;null;245.8;null;4;116.7;null;26.270968;17.882667;null;91.201613;5;1.119565;null;null;
1985-06-30;0;118.1;null;null;257.7;1.534091;1;7.6;null;24.513333;13.796;7.326667;85.991379;6;1.407865;50;null;
1985-07-31;0;179.2;null;null;253.1;1.612903;0;0;null;23.670968;14.112258;7.103226;86.612903;7;1.826087;50;null;
1985-08-31;0;195.9;null;null;264.2;1.311828;1;2.2;null;27.445161;16.905806;9.63871;83.483871;7;1.483871;49.516129;null;
