Nome: GRA. JURITI (PETROPOL.
Codigo Estacao: 83087
Latitude: -22.2865
Longitude: -43.045917
Altitude: 1012.16
Situacao: Desativada
Data Inicial: 1985-01-14
Data Final: 2007-07-03
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1985-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1986-01-31;null;78.5;null;null;233.7;null;null;null;null;30.748387;null;18.729032;null;null;null;null;null;
1986-02-28;null;65.3;null;null;153.4;null;null;null;null;30.657143;null;19.614286;null;null;null;null;null;
1986-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1986-04-30;null;73.2;null;null;206.3;null;null;null;null;28.743333;null;16.203333;null;null;null;null;null;
1986-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1986-06-30;null;58.7;null;null;null;null;null;null;null;22.06;null;11.316667;null;null;null;null;null;
1986-07-31;null;64.2;null;null;null;null;null;null;null;20.922581;null;10.635484;null;null;null;null;null;
1986-08-31;null;65.9;null;null;null;null;null;null;null;23.125806;null;12.745161;null;null;null;null;null;
1986-09-30;null;72.8;null;null;null;null;null;null;null;22.606667;null;12.226667;null;null;null;null;null;
1986-10-31;null;95.2;null;null;null;null;null;null;null;25.303226;null;13.490323;null;null;null;null;null;
1986-11-30;null;100.4;null;null;null;null;null;null;null;27.423333;null;16.003333;null;null;null;null;null;
1986-12-31;null;58.5;null;null;null;null;null;null;null;25.83871;null;17.651613;null;null;null;null;null;
1987-01-31;null;72.2;null;null;null;null;null;null;null;28.535484;null;18.080645;null;null;null;null;null;
1987-02-28;null;73.5;null;null;null;null;null;null;null;28.517857;null;17.417857;null;null;null;null;null;
1987-03-31;null;56.2;null;null;null;null;null;null;null;27.1;null;15.929032;null;null;null;null;null;
1987-04-30;null;61.9;null;null;null;null;null;null;null;26.33;null;16.593333;null;null;null;null;null;
1987-05-31;null;48.5;null;null;null;null;null;null;null;22.287097;null;14.083871;null;null;null;null;null;
1987-06-30;null;45.5;null;null;null;null;null;null;null;21.106667;null;11.89;null;null;null;null;null;
1987-07-31;null;66.8;null;null;null;null;null;null;null;22.473684;null;12.422581;null;null;null;null;null;
1987-08-31;null;97.8;null;null;null;null;null;null;null;24.151613;null;11.306452;null;null;null;null;null;
1987-09-30;null;45.3;null;null;null;null;null;null;null;21.203333;null;13.373333;null;null;null;null;null;
1987-10-31;null;76.7;null;null;null;null;null;null;null;26.180645;null;15.419355;null;null;null;null;null;
1987-11-30;null;76;null;null;null;null;null;null;null;26.956667;null;16.153333;null;null;null;null;null;
1987-12-31;null;66;null;null;null;null;null;null;null;26.012903;null;17.767742;null;null;null;null;null;
1988-01-31;null;74.6;null;null;null;null;null;null;null;29.029032;null;18.277419;null;null;null;null;null;
1988-02-29;null;46.5;null;null;null;null;null;null;null;26.682759;null;18.148276;null;null;null;null;null;
1988-03-31;null;66;null;null;null;null;null;null;null;27.43871;null;16.312903;null;null;null;null;null;
1988-04-30;null;47.2;null;null;null;null;null;null;null;25.036667;null;16.656667;null;null;null;null;null;
1988-05-31;null;46.9;null;null;null;null;null;null;null;23.496774;null;14.148387;null;null;null;null;null;
1988-06-30;null;51.3;null;null;null;null;null;null;null;20.66;null;10.87;null;null;null;null;null;
1988-07-31;null;65.3;null;null;null;null;null;null;null;20.416129;null;9.096774;null;null;null;null;null;
1988-08-31;null;96.5;null;null;null;null;null;null;null;23.322581;null;11.112903;null;null;null;null;null;
1988-09-30;null;115.6;null;null;null;null;null;null;null;26.026667;null;14.183333;null;null;null;null;null;
1988-10-31;null;54.9;null;null;null;null;null;null;null;23.125806;null;14.4;null;null;null;null;null;
1988-11-30;null;60.1;null;null;null;null;null;null;null;23.796667;null;14.553333;null;null;null;null;null;
1988-12-31;null;59.8;null;null;null;null;null;null;null;26.187097;null;16.435484;null;null;null;null;null;
1989-01-31;null;53.6;null;null;null;null;null;null;null;27.158065;null;17.751613;null;null;null;null;null;
1989-02-28;null;55.2;null;null;null;null;null;null;null;28.235714;null;17.967857;null;null;null;null;null;
1989-03-31;null;57.8;null;null;null;null;null;null;null;27.512903;null;16.974194;null;null;null;null;null;
1989-04-30;null;67.8;null;null;null;null;null;null;null;26.65;null;15.943333;null;null;null;null;null;
1989-05-31;null;68.9;null;null;null;null;null;null;null;22.996774;null;12.006452;null;null;null;null;null;
1989-06-30;null;51.6;null;null;null;null;null;null;null;21.416667;null;11.71;null;null;null;null;null;
1989-07-31;null;59.1;null;null;null;null;null;null;null;21.583871;null;10.132258;null;null;null;null;null;
1989-08-31;null;63.2;null;null;null;null;null;null;null;22.103226;null;11.909677;null;null;null;null;null;
1989-09-30;null;57.9;null;null;null;null;null;null;null;22.936667;null;13.423333;null;null;null;null;null;
1989-10-31;null;59.4;null;null;null;null;null;null;null;22.558065;null;13.367742;null;null;null;null;null;
1989-11-30;null;58.8;null;null;null;null;null;null;null;25.45;null;15.09;null;null;null;null;null;
1989-12-31;null;66.7;null;null;null;null;null;null;null;25.112903;null;15.770968;null;null;null;null;null;
1990-01-31;null;101.6;null;null;null;null;null;null;null;29.377419;22.419355;17.545161;77.558065;null;null;null;null;
1990-02-28;null;69.4;null;null;null;null;null;null;null;28.878571;21.807143;17.653571;83.407143;null;null;null;null;
1990-03-31;null;63.1;null;null;null;null;null;null;null;28.964516;22.093548;17.764516;86.012903;null;null;null;null;
1990-04-30;null;54.6;null;null;null;null;null;null;null;27.456667;21.223333;17.32;85.75;null;null;null;null;
1990-05-31;null;52.6;null;null;null;null;null;null;null;22.545161;16.587097;12.580645;86.522581;null;null;null;null;
1990-06-30;null;66.3;null;null;null;null;null;null;null;21.993333;15.766667;12.026667;82.876667;null;null;null;null;
1990-07-31;null;56;null;null;null;null;null;null;null;21.216129;15.222581;11.764516;86.8;null;null;null;null;
1990-08-31;null;50.5;null;null;null;null;null;null;null;19.93871;14.806452;11.416129;86.76129;null;null;null;null;
1990-09-30;null;62.3;null;null;null;null;null;null;null;22.473333;16.203333;12.156667;83.446667;null;null;null;null;
1990-10-31;null;67.5;null;null;null;null;null;null;null;24.693548;19.083871;15.187097;83.241935;null;null;null;null;
1990-11-30;null;77.7;null;null;null;null;null;null;null;28.726667;21.63;17.146667;83.666667;null;null;null;null;
1990-12-31;null;74.7;null;null;null;null;null;null;null;27.293548;20.745161;16.509677;83.893548;null;null;null;null;
1991-01-31;null;43.5;null;null;null;null;null;null;null;25.283871;20.054839;16.606452;91.464516;null;null;null;null;
1991-02-28;null;60.5;null;null;null;null;null;null;null;27.710714;21.192857;17.142857;87.532143;null;null;null;null;
1991-03-31;null;61.9;null;null;null;null;null;null;null;26.164516;20.422581;16.516129;88.303226;null;null;null;null;
1991-04-30;null;57.1;null;null;null;null;null;null;null;25.516667;18.916667;14.206667;87.21;null;null;null;null;
1991-05-31;null;49.4;null;null;null;null;null;null;null;22.964516;16.748387;12.425806;89.503226;null;null;null;null;
1991-06-30;null;51;null;null;null;null;null;null;null;22.8;16.506667;12.32;89.633333;null;null;null;null;
1991-07-31;null;54.2;null;null;null;null;null;null;null;21.112903;14.7;10.477419;91.680645;null;null;null;null;
1991-08-31;null;85.1;null;null;null;null;null;null;null;23.574194;16.283871;11.258065;81.509677;null;null;null;null;
1991-09-30;null;71.7;null;null;null;null;null;null;null;23.86;16.646667;11.67;83.926667;null;null;null;null;
1991-10-31;null;72.8;null;null;null;null;null;null;null;24.33871;18.154839;13.735484;84.13871;null;null;null;null;
1991-11-30;null;65.1;null;null;null;null;null;null;null;26.506667;19.696667;14.686667;85.11;null;null;null;null;
1991-12-31;null;68.8;null;null;null;null;null;null;null;29.251613;21.732258;16.503226;85.429032;null;null;null;null;
1992-01-31;null;47.3;null;null;null;7.826087;20;502.1;null;25.332258;20.105806;15.887097;89.580645;null;null;null;null;
1992-02-29;null;76.3;null;null;null;5.885057;11;59;null;26.841379;20.465517;15.134483;83.336207;null;null;null;null;
1992-03-31;null;68.7;null;null;null;6.032258;8;37.9;null;27.383871;20.630323;15.674194;85.346774;null;null;null;null;
1992-04-30;null;55.9;null;null;null;6.266667;10;56.3;null;25.756667;19.54;14.803333;88.233333;null;null;null;null;
1992-05-31;null;47.5;null;null;null;5.945652;5;27.9;null;24.348387;18.110323;13.464516;89.58871;null;null;null;null;
