Nome: MARICA
Codigo Estacao: 83089
Latitude: -22.920653
Longitude: -42.83
Altitude: 4.18
Situacao: Desativada
Data Inicial: 1986-10-31
Data Final: 2018-05-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1986-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1986-11-30;null;null;null;null;null;null;null;null;null;30.106667;null;19.826667;null;null;null;null;null;
1986-12-31;null;121.6;null;null;null;null;null;null;null;30.145161;null;21.845161;null;null;null;null;null;
1987-01-31;null;127.1;null;null;null;null;null;null;null;31.541935;null;22.277419;null;null;null;null;null;
1987-02-28;null;124.7;null;null;null;null;null;null;null;31.432143;null;22.075;null;null;null;null;null;
1987-03-31;null;86.9;null;null;null;null;null;null;null;28.906452;null;20.583871;null;null;null;null;null;
1987-04-30;null;null;null;null;null;null;null;null;null;29.54;null;20.916667;null;null;null;null;null;
1987-05-31;null;null;null;null;null;null;null;null;null;26.506452;null;18.080645;null;null;null;null;null;
1987-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1987-07-31;null;null;null;null;null;null;null;null;null;27.993548;null;16.012903;null;null;null;null;null;
1987-08-31;null;null;null;null;null;null;null;null;null;26.116129;null;14.816129;null;null;null;null;null;
1987-09-30;null;null;null;null;null;null;null;null;null;24.85;null;17.32;null;null;null;null;null;
1987-10-31;null;null;null;null;null;null;null;null;null;26.409677;null;18.951613;null;null;null;null;null;
1987-11-30;null;null;null;null;null;null;null;null;null;28.096429;null;20.136667;null;null;null;null;null;
1987-12-31;null;69.9;null;null;null;null;null;null;null;29.977419;null;21.458065;null;null;null;null;null;
1988-01-31;null;124.4;null;null;null;null;null;null;null;32.732258;null;22.658065;null;null;null;null;null;
1988-02-29;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1988-03-31;null;113.2;null;null;null;null;null;null;null;29.767742;null;20.870968;null;null;null;null;null;
1988-04-30;null;87.3;null;null;null;null;null;null;null;28.273333;null;20.463333;null;null;null;null;null;
