Nome: ARACAJU
Codigo Estacao: 83096
Latitude: -10.9525
Longitude: -37.05444444
Altitude: 3.68
Situacao: Fechada
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;9;137.3;null;null;273.5;5.075269;9;27.5;null;1013.702151;29.180645;26.694839;23.532258;82.201613;7;2.387097;66.612903;
1970-02-28;14;160.6;null;null;203.4;6.27381;17;48.9;null;1013.802381;29.342857;26.89;23.896429;79.107143;7;2.239286;66.071429;
1970-03-31;14;128.3;null;null;237.6;6.172043;17;193.6;null;1013.654839;29.135484;26.758065;23.409677;76.508065;5;1.668817;64.354839;
1970-04-30;14;152.2;null;null;233.6;5.811111;8;78.3;null;1014.332222;29.1;26.789333;23.756667;74.725;5;1.6;65;
1970-05-31;14;152.2;null;null;253.4;5.376344;11;76.1;null;1015.569892;28.287097;25.841935;22.832258;76.766129;7;1.462366;62.741935;
1970-06-30;14;139.2;null;null;238.3;5.9;18;72.3;null;1016.92;27.46;24.904;22.04;80.408333;5;1.588889;63.333333;
1970-07-31;14;142.7;null;null;219;6.290323;24;88.9;null;1018.069892;26.7;24.092903;21.222581;78.935484;7;2.344086;60.645161;
1970-08-31;14;154.6;null;null;226.1;6.247312;21;95.2;null;1017.388172;26.26129;23.897419;21.129032;79.967742;7;1.83871;60.322581;
1970-09-30;14;194.6;null;null;242.9;5.4;11;50.2;null;1016.502222;27.353333;24.968;22.15;79.508333;7;2.533333;65.683333;
1970-10-31;9;144.5;null;null;270.5;4.731183;6;88.2;null;1013;28.222581;25.968387;23.493548;80.943548;7;2.935484;68.709677;
