Nome: CORURIPE
Codigo Estacao: 83098
Latitude: -10.15
Longitude: -36.17
Altitude: 56
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 1980-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;14;null;null;null;null;5.903226;6;40.6;1013.574194;31.783871;27.134194;23.116129;90.774194;3;.83871;39.139785;null;
1970-02-28;14;null;null;null;null;5.535714;null;40.3;1012.97381;30.860714;26.337857;22.253571;93.321429;3;.714286;39.285714;null;
1970-03-31;14;null;null;null;null;5.537634;8;31.9;1012.198925;30.558065;26.162581;21.735484;91.354839;3;.741935;39.892473;null;
1970-04-30;14;null;null;null;null;6.011111;12;72.5;1012.406667;30.593333;26.238667;21.686667;81.35;3;.8;39.666667;null;
1970-05-31;14;null;null;null;null;5.666667;10;26.2;1013.736559;30.764516;25.314194;20.674194;84.66129;1;.677419;39.139785;null;
1970-06-30;14;null;null;null;null;4.477778;3;8.1;1014.435556;30.226667;25.431333;20.75;83.275;1;.677778;39.777778;null;
1970-07-31;14;null;null;null;null;6.602151;17;84.1;1016.355914;27.935484;24.452903;20.048387;82.596774;3;.849462;38.709677;null;
1970-08-31;14;null;null;null;null;5.72043;8;47.7;1015.91828;27.235484;23.927097;20.096774;85.427419;3;.784946;39.784946;null;
1970-09-30;14;null;null;null;null;5.288889;4;8.5;1015.237778;27.843333;24.662;20.673333;85.058333;3;.688889;39.666667;null;
1970-10-31;14;null;null;null;null;4.591398;0;0;1012.42043;29.490323;25.738065;21.687097;81.524194;5;1.021505;40;null;
1970-11-30;14;null;null;null;null;4.355556;0;0;1011.181111;31.996667;26.669333;21.296667;82.866667;5;.911111;39.888889;null;
1970-12-31;14;null;null;null;null;4.032258;2;6.4;1011.517204;32.422581;27.466452;22.219355;84.927419;3;.709677;39.892473;null;
1971-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-02-29;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
