Nome: IRECE
Codigo Estacao: 83182
Latitude: -11.31138888
Longitude: -41.85861111
Altitude: 747.22
Situacao: Fechada
Data Inicial: 1970-11-30
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-02-29;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-01-31;14;203.7;null;null;317.2;5.815217;7;47.1;929.757609;30.525806;null;null;62.806452;9;3.467391;49.032258;null;
1973-02-28;14;235.4;null;null;259.6;8.654762;2;3.1;928.659524;32.192857;null;null;54.6875;9;3.904762;49.464286;null;
1973-03-31;0;154.1;null;null;246.8;7.645161;10;175.1;928.465591;30.43871;24.235484;19.380645;69.048387;9;2.483871;43.145161;null;
1973-04-30;14;138.7;null;null;247.7;7.6;5;39.9;929.305556;29.16;23.087273;19.1;71.175;10;3.6;49.5;null;
1973-05-31;14;175.9;null;null;237.4;7.215054;6;16.4;930.515054;28.958065;null;null;68.306452;12;4.967742;48.870968;null;
1973-06-30;14;173.1;null;null;230.3;6.355556;7;10.6;931.065556;28.776667;null;null;66.325;12;5.344444;50.166667;null;
1973-07-31;14;217.6;null;null;276.5;6.064516;3;27.3;931.949462;28.264516;null;null;64.290323;12;5.817204;50;null;
1973-08-31;14;278.9;null;null;299.5;6.258065;1;.1;931.612903;29.312903;null;null;55.822581;14;5.806452;50;null;
1973-09-30;14;276.5;null;null;264;6.922222;2;.4;931.354444;29.866667;null;null;59.891667;14;6.588889;50;null;
1973-10-31;14;177;null;null;222.9;8.16129;9;138.7;928.566667;28.609677;22.987097;18.274194;66.08871;14;4.172043;48.387097;null;
1973-11-30;14;201.4;null;null;234.8;8.333333;10;141.2;928.147778;30.31;24.14;19.12;63.758333;9;3.877778;48;null;
1973-12-31;14;190.8;null;null;280.2;7.731183;9;29.3;928.260215;30.803226;24.072258;18.354839;61.112903;12;3.903226;49.516129;null;
1974-01-31;14;231.7;null;null;236.1;8.935484;6;28.8;927.943011;30.516129;23.841935;18.593548;62.346774;14;4;45.645161;null;
1974-02-28;14;193.2;null;null;206.6;8.821429;9;51.2;927.453571;30.610714;24.03;18.778571;62.508929;9;4.142857;13.035714;null;
1974-03-31;0;121.4;null;null;191.8;9.075269;18;217.2;927.741935;28.993548;23.168387;19.074194;75.258065;9;2.537634;10.725806;null;
1974-04-30;14;113.3;null;null;230.3;8.144444;14;87.1;929.256667;28.22;22.462;18.306667;77.333333;9;3.644444;10.35;null;
1974-05-31;14;131.1;null;null;235;7.645161;7;16.6;931.084946;27.174194;21.250968;17.074194;77.322581;9;4.795699;10.241935;null;
1974-06-30;14;158.5;null;null;247;6.077778;1;.2;931.392222;27.353333;20.188;14.973333;68.483333;14;5.177778;10.166667;null;
1974-07-31;14;187.4;null;null;259.6;6.032258;3;1.4;933.826882;25.883871;19.176;14.06;65.322581;14;6.344086;10.16129;null;
1974-08-31;14;245.5;null;null;293.2;5.494624;0;0;931.956989;28.332258;21.353548;15.451613;54.83871;14;5.860215;10;null;
1974-09-30;14;284.5;null;null;258.9;6.2;0;0;931.003333;29.826667;22.716667;16.653333;53.3;12;6.588889;9.75;null;
1974-10-31;14;288.7;null;null;249.6;8.612903;7;22.3;928.591398;31.53871;24.432258;18.541935;56.685484;9;4.387097;8.467742;null;
1974-11-30;14;137;null;null;198.6;9.277778;14;158.4;928.315556;28.416667;22.554783;18.4;71.008333;14;4.455556;9.416667;null;
1974-12-31;14;155.6;null;null;260.3;7.956989;8;110.5;928.390323;29.125806;22.916;17.732;67.620968;14;4.225806;8.903226;null;
1975-01-31;14;197.2;null;null;258;7.580645;7;121.5;928.547312;30.003226;23.553548;18.493548;61.209677;12;4.172043;9.693548;null;
1975-02-28;14;68.1;null;null;237.4;7.333333;7;52.2;928.754762;29.360714;22.975714;17.821429;68.267857;7;2.964286;9.285714;null;
1975-03-31;14;168.2;null;null;233.9;8.27957;10;83;929.053763;30.551613;23.64129;18.43871;66.193548;9;3.88172;9.048387;null;
1975-04-30;14;112.3;null;null;225.8;8.066667;6;115.3;928.693333;28.356667;22.570667;18.57;76.9;12;4.155556;11.583333;null;
1975-05-31;14;181.2;null;null;267.7;7.215054;0;0;930.419355;27.687097;21.392258;16.23871;68.862903;14;5.849462;10.555556;null;
1975-06-30;14;200.4;null;null;238.1;7.833333;1;.9;932.357778;27.313333;20.740667;15.443333;68.091667;14;6.022222;9.75;null;
1975-07-31;14;214.2;null;null;232.5;8.064516;3;2.8;932.503226;26.377419;20.077419;15.290323;68.766129;14;6.741935;25.714286;null;
1975-08-31;14;255.5;null;null;271.9;6.430108;5;2.4;932.652688;27.367742;20.465806;15.048387;62.677419;14;6.358696;49.032258;null;
1975-09-30;14;288;null;null;284.2;7.055556;1;4.2;931.844444;28.87;21.838667;16.273333;60.375;14;7.966667;39.5;null;
1975-10-31;14;268.1;null;null;236.8;8.354839;7;47.4;928.653763;31.096774;24.029677;18.370968;59.620968;14;4.053763;21.145161;null;
1975-11-30;14;298.7;null;null;261.5;8.3;5;18.4;928.025556;31.633333;24.603333;18.643333;55.625;9;4.822222;36.75;null;
1975-12-31;9;null;null;null;267.3;7.870968;5;39.5;927.878495;30.938462;24.200769;18.485185;60.769231;14;4.509524;17.822581;null;
1976-01-31;9;380.1;null;null;274.2;7.27957;3;8.3;927.72043;31.874194;25.136774;19.003226;52.459677;7.1;4.101075;12.983871;null;
1976-02-29;9;198.7;null;null;196.2;8.103448;10;229.4;928.175862;29.27931;23.42;18.744828;68.922414;7.6;3.194253;14.396552;null;
1976-03-31;14;274.4;null;null;273.2;8.247312;1;.3;927.944086;30.812903;24.139355;18.245161;59.225806;7.1;4.021505;35;null;
1976-04-30;14;252.9;null;null;266.4;6.933333;4;5.1;929.357778;30.87037;24.219259;18.446667;56.258333;6.6;4.074444;20;null;
1976-05-31;14;223.8;null;null;225.6;6.827957;0;0;930.508602;null;null;17.403226;58.443548;6.3;3.789247;20;null;
1976-06-30;14;255.8;null;null;280.6;4.111111;2;.2;931.767778;null;null;15.136667;56.75;7.1;4.394444;19.666667;null;
1976-07-31;14;268.1;null;null;289.3;3.858696;2;4.6;933.861957;27.558065;20.742;14.858065;59.066667;10;4.863043;20;null;
1976-08-31;14;346.9;null;null;323.4;3.83871;0;0;932.378495;29.174194;21.842581;15.141935;53.201613;9;4.704301;24.516129;null;
1976-09-30;9;301.6;null;null;265.8;5.533333;3;20.4;930.433333;31.026667;23.934667;17.543333;51.3;8.1;3.937778;14.283333;null;
1976-10-31;14;230.8;null;null;237.6;7.064516;7;74.1;929.196774;29.016129;23.057419;18.174194;63.532258;8.3;4.053763;17.33871;null;
1976-11-30;14;185.7;null;null;193.7;8.122222;13;143.2;928.405556;29.053333;23.248667;18.803333;70.158333;6.6;3.356667;18.033333;null;
1976-12-31;14;238.9;null;null;278.6;7.892473;5;21;927.997849;31.209677;24.189677;18.348387;58.564516;6.6;3.388172;19.870968;null;
1977-01-31;14;157;null;null;182.7;8.903226;15;292.4;928.583871;28.370968;22.794194;18.758065;78.145161;9.1;3.406452;17.854839;null;
1977-02-28;14;110;null;null;256.1;7.904762;9;32.1;930.138095;28.303571;22.379286;17.742857;73.553571;8.6;3.945238;19.642857;null;
1977-03-31;9;250.6;null;null;283.9;7.021505;2;5.5;928.766667;32.219355;24.57871;17.793548;56.185484;6.6;3.560215;19.83871;null;
1977-04-30;14;170.3;null;null;205.9;8.188889;8;106;929.002222;30.203333;23.734;18.57;68.9;7.5;3.351111;20;null;
1977-05-31;14;181.5;null;null;215.6;8.709677;3;7.7;930.710753;28.112903;22.103226;17.087097;68.032258;7.8;4.352688;22.903226;null;
1977-06-30;14;191.9;null;null;215;6.522222;2;1.6;932.005556;28.013333;21.458667;16.463333;65.733333;8.3;4.464444;19.666667;null;
