Nome: MORRO DO CHAPEU
Codigo Estacao: 83184
Latitude: -11.547494
Longitude: -41.151165
Altitude: 1001.66
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;9;77.2;null;null;null;7.387097;11;168.1;894.63871;25.032258;19.968387;16.658065;82.66129;12;3.698925;77.096774;null;
1970-02-28;9;102.7;null;null;null;7;8;28.3;894.890476;25.225;20.173571;17.028571;80.205357;12;4.97619;80.357143;null;
1970-03-31;14;115;null;null;null;7.258065;9;28.1;894.697849;25.706452;20.211613;16.845161;79.024194;10;5.533333;82.16129;null;
1970-04-30;14;95.2;null;null;null;7.311111;12;41.7;895.267778;25.44;19.846667;16.656667;79.641667;10;4.792222;80;null;
1970-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-02-29;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1974-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1974-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1974-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1974-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1974-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1974-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1974-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1974-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1974-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1974-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1974-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1974-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1975-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1975-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1975-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1975-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1975-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1975-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1975-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1975-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1975-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1975-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1975-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1975-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-02-29;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1977-01-31;14;141.6;null;null;114.1;8.543478;20;148.2;902.072826;25.554839;20.345161;15.732258;80.193548;9;4.271739;38.306452;null;
1977-02-28;14;125.9;null;null;178;8.047619;21;91.2;903.653571;25.410714;20.005;15.378571;81.482143;9;5.095238;40.089286;null;
1977-03-31;14;205;null;null;246.3;6;5;5.3;902.511828;27.73871;21.307742;16.074194;68.629032;8;3.956989;48.306452;null;
1977-04-30;14;123.5;null;null;157.1;7.177778;13;79.4;902.535556;26.243333;20.629333;16.073333;78.3;8;3.711111;42.033333;null;
1977-05-31;14;106.7;null;null;120.2;7.741935;11;50.3;904.234409;23.76129;null;null;82.33871;8;4.215054;31;null;
1977-06-30;14;86.8;null;null;113.9;7.488889;21;34.9;905.435556;22.643333;null;null;85.1;10;4.688889;35.533333;null;
1977-07-31;14;116.3;null;null;152.5;7.075269;17;21.7;906.175269;21.93871;null;null;82.58871;12;4.860215;37.096774;null;
1977-08-31;14;174.5;null;null;207.3;5.333333;5;4.1;905.249462;24.406452;18.47125;14.7375;71.137097;10;4.193548;41.935484;null;
1977-09-30;14;188.4;null;null;174.1;6.244444;11;91.7;905.003333;25.06;19.198;15.52;75.308333;12;5;37.916667;null;
1977-10-31;14;147.7;null;null;130;7.526882;17;28.8;904.049462;25.06129;19.846452;16.577419;78.072581;10;4.494624;37.580645;null;
1977-11-30;9;191.3;null;null;173;6.244444;8;41.3;902.22;27.896667;21.580667;17.603333;68.566667;8;3.755556;42.25;null;
1977-12-31;9;136.2;null;null;157.1;7.021505;14;333.3;902.323656;26.790323;21.136774;17.787097;76.443548;8;3.354839;42.983871;null;
1978-01-31;14;69.5;null;null;208.5;6.483871;12;76.8;903.567742;25.7;20.625806;17.503226;79.685484;8;3.806452;45.16129;null;
1978-02-28;9;86.3;null;null;90.4;8.166667;15;133.5;902.685714;25.017857;20.505;17.846429;84.651786;10;3.904762;36.696429;null;
1978-03-31;9;79;null;null;115.7;7.83871;19;122;903.294624;24.5;20.011613;17.196774;85.491935;9;3.387097;41.935484;null;
1978-04-30;14;78.2;null;null;123.7;7.911111;18;137.1;902.746667;24.196667;19.942;17.246667;86.008333;8;3.688889;34.5;null;
1978-05-31;14;65.6;null;null;101.2;7.88172;21;83.4;903.415054;23.254839;19.109677;16.458065;88.395161;9;3.290323;34.758065;null;
1978-06-30;14;69.2;null;null;117.8;7.855556;17;55.5;906.108989;21.62;17.466667;14.98;89.308333;10;3.8;27.2;null;
1978-07-31;14;73.7;null;null;112.3;6.698925;18;22.9;905.068817;22.103226;17.56;15.112903;87.330645;7;3.322581;36.774194;null;
1978-08-31;14;36.8;null;null;186.2;6.096774;12;18.1;906.555914;22.132258;16.933548;13.916129;81.709677;10;4.548387;39.354839;null;
1978-09-30;14;103.4;null;null;162.3;6.388889;15;30.8;905.448889;22.906667;17.808667;14.766667;80.325;10;4.1;36;null;
