Nome: JACOBINA
Codigo Estacao: 83186
Latitude: -11.17277777
Longitude: -40.53416666
Altitude: 486.37
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;14;107.9;null;null;null;7.516129;15;300.9;null;960.430108;30.251613;24.597419;20.374194;77.806452;9;2.516129;52.016129;
1970-02-28;14;114.8;null;null;null;6.97619;10;60.4;null;960.692857;31.414286;25.051429;20.735714;75.741071;9;3.194048;56.339286;
1970-03-31;14;98.7;null;null;null;7.11828;12;105.2;null;960.690323;30.870968;24.790968;20.812903;78.475806;9;3.354839;56.048387;
1970-04-30;14;126.5;null;null;null;6;7;10.1;null;961.062222;31.066667;25.064;20.526667;73.758333;9;2.988889;58.166667;
1970-05-31;14;125.6;null;null;null;5.956989;9;40.7;null;962.207527;30.045161;24.289032;19.619355;72;9;3.182796;55.564516;
1970-06-30;14;109.6;null;null;null;6.544444;7;39.8;null;963.915556;28.26;22.869333;17.946667;73.825;9;2.744444;50.166667;
1970-07-31;14;87;null;null;null;7.053763;20;111.7;null;965.65914;26.348387;21.456774;17.180645;76.927419;9;3.247312;49.596774;
1970-08-31;14;92.2;null;null;null;6.172043;12;44.7;null;964.25914;27.56129;21.943871;17.225806;73.193548;12;4.150538;56.532258;
1970-09-30;14;184.4;null;null;null;4.944444;2;2.4;null;962.255556;31.44;24.748;18.953333;64.708333;9;3.711111;56.666667;
1970-10-31;14;147.1;null;null;null;6.376344;8;93.7;null;959.886022;32.074194;25.517419;20.519355;69.145161;12;2.806452;58.951613;
1970-11-30;14;124.9;null;null;null;7.388889;12;92.3;null;958.895556;31.033333;24.913333;20.486667;79.275;7;2.444444;63;
1970-12-31;14;177.2;null;null;null;5.827957;4;19.2;null;959.155914;32.941935;25.76;20.277419;69.572581;9;2.827957;66.935484;
1971-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-02-29;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-01-31;14;180;null;null;null;6.26087;8;50.3;null;960.511957;34.16129;27.103871;21.916129;67.145161;9;2.619565;57.419355;
1973-02-28;14;174.6;null;null;null;6.392857;4;22.1;null;959.617857;34.914286;27.599286;22.2;65.258929;9;2.72619;59.285714;
1973-03-31;14;151.2;null;null;null;6.655914;11;188.7;null;959.130108;33.916129;26.834839;21.977419;70.403226;9;2.397849;55.483871;
1973-04-30;14;103.1;null;null;null;6.988889;20;145;null;960.217778;31.126667;25.22;21.46;77.016667;7;2.722222;54.666667;
1973-05-31;14;108.5;null;null;null;7.397849;18;81;null;961.326882;29.264516;24.175484;20.454839;78.806452;10;2.505376;48.387097;
1973-06-30;null;null;null;null;null;null;1;1.3;null;null;null;null;null;null;null;null;null;
1973-07-31;14;109.8;null;null;null;7.293478;18;58.2;null;963.546237;26.812903;21.936129;17.909677;80.516129;9;3.354839;47.741935;
1973-08-31;null;null;null;null;null;null;null;0;null;null;null;null;null;null;null;null;null;
