Nome: CAMACARI
Codigo Estacao: 83226
Latitude: -12.691233
Longitude: -38.337536
Altitude: 41.17
Situacao: Desativada
Data Inicial: 1977-03-15
Data Final: 2006-07-24
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1977-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1977-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1977-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1977-06-30;14;81.3;null;null;206.8;5.483146;24;189.7;1011.102247;27.45;22.847059;18.311765;85.358333;8;2.674157;47.229508;null;
1977-07-31;14;137.5;null;null;198.9;5.526882;23;102;1012.380645;26.758065;22.622581;18.983871;81.137097;8;3.182796;55.080645;null;
1977-08-31;14;134.8;null;null;232.2;4.827957;14;52.6;1011.580645;27.496774;22.423871;17.951613;79.887097;14;2.88172;56.935484;null;
1977-09-30;14;131.1;null;null;177.2;6.022222;22;141.2;1011.478889;27.716667;23.067333;19.103333;80.858333;7;2.955556;56.5;null;
1977-10-31;14;120.9;null;null;163.1;7.129032;24;428.1;1009.972043;28.154839;23.967097;20.5;83.91129;7;3.107527;56.129032;null;
1977-11-30;5;197.4;null;null;244.1;5.211111;9;18.4;1007.472222;31.133333;25.604;21.566667;77.425;9;3.788889;65.333333;null;
1977-12-31;9;144.1;null;null;164.9;6.677419;20;392.7;1007.195699;30.048387;24.824762;21.271429;82.637097;9;3.11828;52.5;null;
