Nome: PEIXE
Codigo Estacao: 83228
Latitude: -12.01527777
Longitude: -48.54499999
Altitude: 252.24
Situacao: Operante
Data Inicial: 1975-04-30
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1975-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1975-05-31;0;142.5;null;null;286.1;4.130435;null;33.7;null;31.190323;24.592258;19.990323;72.532258;5;1.076087;81.412698;null;
1975-06-30;0;178.4;null;null;305.9;3.244444;null;0;null;31.856667;23.380667;17.066667;66.366667;8;1.366667;83.533333;null;
1975-07-31;0;59.6;null;null;307.6;3.580645;null;7.2;null;31.880645;23.212258;16.567742;63.491935;8;1.397849;81.741935;null;
1975-08-31;0;171.1;null;null;318.4;3.802174;null;0;null;34.76;24.308276;16.251613;53.913793;5;1.532609;79.903226;null;
1975-09-30;0;289.3;null;null;288.2;4.733333;null;.3;null;35.94;26.19;17.686667;50.033333;14;1.544444;71.4;null;
1975-10-31;0;137.7;null;null;185;5.956989;null;205.9;null;32.967742;26.183226;20.903226;71.08871;6;1.086022;75.967742;null;
1975-11-30;0;86.7;null;null;182;5.511111;null;272.2;null;30.913333;25.344667;21.393333;80.641667;6;1.088889;77.5;null;
1975-12-31;0;89.9;null;null;194;5.580645;null;244.8;null;31.448387;25.398065;20.751613;81.040323;8;.892473;74.354839;null;
1976-01-31;0;86.3;null;null;224.2;.549462;null;76;null;31.590323;25.250968;20.63871;80.564516;7;.905376;75.704918;null;
