Nome: PARANA
Codigo Estacao: 83231
Latitude: -12.55
Longitude: -47.82999999
Altitude: 275
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 1994-09-18
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;null;39;null;null;null;7.129032;15;293.5;979.886022;30;24.962581;21.83871;82.943548;null;2.666667;80.516129;null;
1970-02-28;null;null;null;null;null;6.22619;null;173.5;979.841667;30.985714;25.517143;22.107143;80.732143;null;2.535714;81.857143;null;
1970-03-31;9;null;null;null;null;5.645161;8;106.2;979.823656;32.045161;25.567742;21.309677;80.274194;null;2.698925;81.290323;null;
1970-04-30;null;null;null;null;null;5.988889;8;119.5;980.344444;31.673333;25.430667;21.34;80.566667;null;2.6;82.8;null;
1970-05-31;null;null;null;null;null;4.053763;0;0;981.264516;32.303226;23.957419;17.651613;81.532258;null;2.496774;84;null;
1970-06-30;null;null;null;null;null;4.166667;0;0;982.739326;32.273333;23.113333;16.306667;75.741667;null;2.618889;84;null;
1970-07-31;null;null;null;null;null;3.483871;0;0;984.037634;31.541935;22.331613;14.787097;71.580645;null;3.494624;84;null;
1970-08-31;null;null;null;null;null;3.139785;0;0;981.821505;33.503226;23.482581;15.135484;64.032258;10;3.129032;84;null;
1970-09-30;null;null;null;null;null;5.844444;5;56.6;979.537778;34.373333;26.185333;19.826667;63.441667;null;2.622222;83.2;null;
1970-10-31;null;null;null;null;null;6.666667;8;122;978.577419;32.129032;26.149677;21.83871;74.459677;null;2.634409;83.225806;null;
1970-11-30;null;null;null;null;null;7.144444;14;289.2;978.336667;30.546667;25.2;21.253333;77.066667;null;2.58;80.8;null;
1970-12-31;9;null;null;null;null;6.354839;6;59.4;978.106452;32;25.98;21.6;73.9;6;2.612903;82.451613;null;
1971-01-31;null;null;null;null;null;6.608696;9;125.8;978.388043;31.851613;25.855484;21.245161;75.290323;null;3.01087;83.225806;null;
1971-02-28;null;null;null;null;null;6.72619;null;86.9;978.515476;31.107143;24.934286;20.571429;75.366071;null;2.97619;81.857143;null;
1971-03-31;9;null;null;null;null;6.860215;12;299.8;978.711828;30.206452;24.744516;20.916129;77.830645;10;2.849462;80.903226;null;
1971-04-30;null;null;null;null;null;6.477778;11;199.5;979.587778;30.32;25.036;21.306667;77.75;null;2.906667;77.6;null;
1971-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-06-30;null;null;null;null;null;4.280899;null;3.5;981.740449;32.44;23.654667;17.533333;75.15;null;2.831461;84;null;
1971-07-31;null;null;null;null;null;3.634409;null;0;982.313978;32.677419;22.753548;15.096774;67.314516;null;2.903226;84;null;
1971-08-31;null;null;null;null;null;2.698925;null;2;981.767742;34.322581;23.823226;15.290323;56.241935;10;3.623656;84;null;
1971-09-30;null;null;null;null;null;5.066667;null;21.5;980.345556;34.266667;26.112;19.466667;58.283333;null;3.255556;83.6;null;
1971-10-31;null;null;null;null;null;6.870968;null;194.5;979.922581;30.787097;25.556129;21.529032;71.830645;null;3.103226;81.677419;null;
1971-11-30;null;null;null;null;null;7.555556;null;278;978.564444;29.693333;24.816;21.326667;78.275;null;2.677778;78.8;null;
1971-12-31;null;null;null;null;null;6.860215;null;236;978.295699;30.76129;25.317419;21.393548;76.951613;null;2.903226;81.290323;null;
1972-01-31;null;null;null;null;null;6.698925;null;118;978.367742;31.258065;25.144516;20.677419;74.451613;null;3.053763;82.451613;null;
1972-02-29;null;null;null;null;null;7.448276;null;187.5;979.052874;30.310345;24.695172;20.965517;79.715517;10;3.356322;80.689655;null;
1972-03-31;9;null;null;null;null;6.591398;null;131;978.877419;30.741935;25.418065;21.367742;76.774194;null;2.860215;82.064516;null;
1972-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-05-31;null;null;null;null;null;4.684783;null;0;980.459783;32.322581;24.567742;18.858065;75.096774;null;3.01087;84;null;
1972-06-30;null;null;null;null;null;4.111111;null;0;981.65;32.666667;23.621333;16.633333;68.058333;null;3.188889;84;null;
1972-07-31;14;null;null;null;null;4.365591;null;0;981.494624;33.258065;23.96;16.122581;57.91129;null;3.225806;84;null;
1972-08-31;null;null;null;null;null;4.354839;null;0;980.124731;35;24.816774;16.193548;49.024194;null;3.11828;83.612903;null;
1972-09-30;null;null;null;null;null;5.666667;null;15;979.825556;35.533333;26.801333;18.153333;47.375;null;3.466667;84;null;
1972-10-31;null;null;null;null;null;6.150538;null;143.5;978.935484;33.451613;26.587097;18.967742;53.282258;null;3.021505;82.83871;null;
1972-11-30;null;null;null;null;null;7.088889;null;170.5;978.191111;31.7;26.004;19.833333;61.55;null;3.088889;81.6;null;
1972-12-31;null;null;null;null;null;7.376344;null;280;978.195699;30.974194;25.900645;20.645161;67.887097;null;3.053763;77.419355;null;
1973-01-31;null;null;null;null;null;6.204301;null;164.5;979.882796;32.225806;26.443871;21.070968;67.459677;null;3.043011;82.064516;null;
1973-02-28;null;null;null;null;null;7.309524;null;240;979.704762;30.928571;25.394286;20.642857;72.116071;null;3.05;81;null;
1973-03-31;5;null;null;null;null;7.129032;null;309;979.264516;31.064516;25.726452;21.193548;73.419355;null;3.150538;78.967742;null;
1973-04-30;null;null;null;null;null;5.666667;null;138.5;979.546667;31.333333;25.826667;21.093333;72.791667;null;2.744444;82.4;null;
1973-05-31;null;null;null;null;null;4.677419;null;0;980.583871;31.870968;25.251613;20.503226;73.5;null;2.916129;84;null;
