Nome: BARREIRAS
Codigo Estacao: 83236
Latitude: -12.155843
Longitude: -45.008269
Altitude: 447.51
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;9;60;null;null;156.4;7.634409;19;253.9;null;null;29.916129;24.254194;19.980645;81.677419;8;2.021505;50.564516;
1970-02-28;9;68.2;null;null;194.5;6.535714;6;50;null;null;31.264286;24.73;19.467857;77.330357;5;1.904762;56.607143;
1970-03-31;14;84.4;null;null;256.2;5.548387;11;68.2;null;null;32.141935;24.565161;19.012903;75.41129;8;2.032258;58.548387;
1970-04-30;14;82.3;null;null;196.3;6.266667;8;54.8;null;null;32.016667;24.596667;19.35;75.125;5;2.244444;58.333333;
1970-05-31;14;119.8;null;null;280.5;3.55914;0;0;null;null;32.7;23.268387;15.912903;66.693548;7;2.247312;59.677419;
1970-06-30;14;122.9;null;null;275.5;2.633333;0;0;null;null;32.103333;22.370667;14.346667;62.666667;6;2.133333;59.833333;
1970-07-31;14;151.5;null;null;292.5;2.408602;0;0;null;null;31.358065;22.01871;13.86129;56.395161;8;2.677419;59.677419;
1970-08-31;14;193.2;null;null;314;2.688172;0;0;null;null;33.406452;23.65871;14.329032;46.564516;8;2.451613;55.645161;
1970-09-30;9;191.9;null;null;251.4;4.466667;4;20.7;null;null;35.533333;26.166;17.296667;47.616667;8;1.988889;45.083333;
1970-10-31;5;87.5;null;null;191.9;6.946237;12;170;null;null;33.406452;25.767742;20.3;71.048387;5;1.569892;48.145161;
