Nome: LENCOIS
Codigo Estacao: 83242
Latitude: -12.557854
Longitude: -41.388808
Altitude: 438.09
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;0;54.8;null;null;null;8.537634;22;252.8;null;null;30.306452;24.34129;21.216129;82.596774;2;.696774;15.790323;
1970-02-28;0;53.2;null;null;null;9.202381;19;146.2;null;null;30.414286;24.442143;21.260714;80.821429;3;.761905;17.821429;
1970-03-31;0;62.5;null;null;null;7.860215;19;145.6;null;null;30.9;24.689032;21.235484;79.782258;4;.849462;18.177419;
1970-04-30;0;52.5;null;null;null;8.9;18;142.9;null;null;29.373333;23.965333;20.876667;83.225;3;.7;18.416667;
1970-05-31;0;50.9;null;null;null;6.913978;13;72.3;null;null;28.66129;22.719355;19.490323;83.717742;3;.602151;18.258065;
1970-06-30;18;38.8;null;null;null;7.466667;20;125.1;null;null;27.366667;21.322667;18.126667;86.358333;3;.866667;18.166667;
1970-07-31;0;44.4;null;null;null;7.55914;23;118.4;null;null;26.129032;20.492903;17.312903;85.032258;7;.860215;18.741935;
1970-08-31;0;63.3;null;null;null;7.258065;17;35.5;null;null;28.377419;21.536129;17.722581;78.145161;5;.870968;19.177419;
1970-09-30;18;93.6;null;null;null;5.755556;4;10.8;null;null;30.58;23.2;18.953333;72.35;3;.955556;19.4;
1970-10-31;0;63;null;null;null;7.623656;18;108.2;null;null;30.083871;23.78129;20.287097;84.25;3;.634409;18.048387;
1970-11-30;18;46.5;null;null;null;8.7;21;399.4;null;null;29.366667;23.807333;20.706667;85.458333;3;.811111;19;
1970-12-31;18;61.5;null;null;null;6.473118;11;191.2;null;null;30.374194;24.23871;20.490323;80.16129;6;.752688;20.241935;
1971-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-02-29;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-01-31;18;109.3;null;null;264.4;6.043478;8;196.8;null;null;32.232258;25.587742;20.245161;76.508065;6.6;1.632609;20;
1973-02-28;18;93.6;null;null;214.2;5.833333;8;151.7;null;null;31.903571;25.361429;20.092857;71.1875;3.3;1.538095;20;
1973-03-31;18;86.5;null;null;199.9;6.096774;15;244.4;null;null;31.245161;24.946452;20.083871;77.782258;5;1.206522;19.758065;
1973-04-30;18;63.1;null;null;209.7;7.233333;20;77.2;null;null;29.393333;23.890667;19.903333;82;5.6;1.414444;20;
1973-05-31;18;68.1;null;null;171.9;7.376344;14;52.6;null;null;27.967742;22.748387;18.609677;80.41129;3.6;1.429032;19.516129;
1973-06-30;18;45.8;null;null;152.3;6.988889;17;83.9;null;null;26.51;21.616667;17.683333;84.333333;4.1;1.241111;19.25;
