Nome: ITABERABA
Codigo Estacao: 83244
Latitude: -12.52416666
Longitude: -40.29972221
Altitude: 250.11
Situacao: Fechada
Data Inicial: 1970-01-01
Data Final: 2019-02-28
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;0;62.4;null;null;null;6.258065;16;90.6;982.974194;31.390323;25.420645;21.193548;74.25;6;.860215;57.903226;null;
1970-02-28;0;64.2;null;null;null;6.892857;8;26.8;983.688095;31.189286;25.455;20.978571;74.339286;8;1.571429;59.285714;null;
1970-03-31;0;103.2;null;null;null;6.763441;17;53.8;983.673118;32.041935;25.554839;20.470968;72.959677;5;1.053763;58.064516;null;
1970-04-30;0;94.7;null;null;null;7.611111;18;39.6;984.137778;31.26;25.132;20.55;73.5;4;.944444;56.35;null;
1970-05-31;0;68.2;null;null;null;6.344086;10;39.5;985.432258;30.151613;23.862581;17.803226;73.201613;5;.806452;57.903226;null;
1970-06-30;0;60.7;null;null;null;6.766667;17;44.6;987.293333;27.976667;22.498667;17.33;77.025;5;.611111;35.5;null;
1970-07-31;0;83.9;null;null;null;6.989247;18;57.4;988.890323;27.529032;21.579355;15.790323;76.129032;5;1.250538;59.758065;null;
1970-08-31;0;86.3;null;null;null;6.236559;11;22.6;987.632258;28.441935;22.028387;16.187097;69.862903;9;1.505376;58.774194;null;
1970-09-30;0;133.5;null;null;null;5.355556;5;7.3;985.813333;31.223333;24.07;17.553333;65.016667;9;2.122222;59.666667;null;
1970-10-31;0;124.2;null;null;null;6.591398;13;88.7;982.97957;31.525806;25.1;20.1;68.177419;7;.849462;56.290323;null;
1970-11-30;0;78.4;null;null;null;6.755556;16;120.2;981.632222;30.766667;24.844;20.283333;74.458333;7;.8;57.166667;null;
1970-12-31;0;134.3;null;null;null;5.354839;4;6.2;982.529032;33.177419;26.247742;20.290323;62.137097;7;1.344086;60;null;
1971-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-02-29;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-01-31;14;116.2;null;null;271.3;6.086957;9;15.8;985.104348;33.248387;27.014194;21.977419;66.008065;7;1.706522;66.774194;null;
1973-02-28;14;125.7;null;null;216;7.571429;7;82.2;984.661905;33.635714;27.107143;22.296429;66.964286;5;1.357143;65.714286;null;
1973-03-31;14;82.8;null;null;245.3;6.698925;14;218.9;983.501075;32.835484;26.501935;21.935484;73.951613;5;1.27957;64.193548;null;
1973-04-30;14;60.6;null;null;233.2;6.655556;14;68.5;984.945556;30.576667;25.118;20.783333;78.333333;5;1.655556;66.333333;null;
1973-05-31;14;74.1;null;null;179.9;7.129032;14;38.1;986.111828;29.783871;24.23871;19.706452;78.951613;7;1.55914;63.548387;null;
1973-06-30;14;56.3;null;null;180.2;7.222222;17;66.4;987.205556;28.536667;22.930667;18.77;81.983333;5;1.322222;64;null;
1973-07-31;18;67.4;null;null;185;7.053763;20;52.3;987.654839;27.716129;22.071613;17.267742;84.209677;5;1.401087;58.919355;null;
