Nome: ESPINOSA
Codigo Estacao: 83338
Latitude: -14.91222222
Longitude: -42.80861111
Altitude: 565.52
Situacao: Desativada
Data Inicial: 1974-02-28
Data Final: 2019-03-14
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1974-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1974-03-31;5;141.9;null;null;171.2;6.445652;18;97.3;null;30.03871;24.592903;20.735484;72.024194;6;2.097826;60;null;
1974-04-30;23;184.2;null;null;236.6;4.866667;5;11.7;null;31.13;24.865333;19.443333;62.341667;8;2.488889;59.083333;null;
1974-05-31;14;224.2;null;null;227.9;4.989247;1;.1;null;30.377419;24.24;19.241935;58.806452;8;3.032258;58.241935;null;
1974-06-30;27;227.4;null;null;276.5;2.655556;2;9.1;null;29.383333;22.229333;15.786667;52.383333;9;2.722222;59.166667;null;
1974-07-31;0;284.9;null;null;286.2;3.505376;0;0;null;27.667742;21.404516;16.245161;50.298387;9;3.483871;60;null;
1974-08-31;0;299.5;null;null;292.3;3.365591;2;18.1;null;29.816129;23.276774;17.822581;49.66129;9;3.333333;60;null;
1974-09-30;9;365.7;null;null;287.2;3.777778;0;0;null;31.926667;25.379333;19.693333;42.233333;9;4.333333;60;null;
1974-10-31;14;225.8;null;null;171.8;6.634409;10;105.2;null;31.132258;25.343226;20.716129;60.16129;9;2.537634;60;null;
1974-11-30;9;135;null;null;199.2;5.811111;11;154.6;null;28.433333;23.406;19.286667;71.916667;7;2.522222;60;null;
