Nome: ILHEUS
Codigo Estacao: 83348
Latitude: -14.8
Longitude: -39.07
Altitude: 60
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 1998-05-25
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;14;48.1;null;null;248.5;6.924731;18;118;1006.66129;28.641935;26.026452;22.222581;78.701613;14;2.698925;53.225806;null;
1970-02-28;14;52;null;null;206.5;6.904762;24;260.7;1007.544048;28.871429;26.008571;22.060714;78.866071;5;2.369048;55.178571;null;
1970-03-31;14;77.8;null;null;255.8;6.763441;21;236.1;1007.511828;29.083871;26.185806;22.106452;78.548387;3;2.27957;54.354839;null;
1970-04-30;14;52.9;null;null;186.3;7.566667;21;224.4;1007.901111;28.433333;25.36;21.686667;82.183333;4;2.233333;54.166667;null;
1970-05-31;14;49.4;null;null;227.7;6.956989;16;230.2;1009.033333;27.696774;24.38129;20.070968;82.395161;6;2.247312;53.709677;null;
1970-06-30;14;39.3;null;null;180.1;7.744444;21;351.4;1010.767778;26.65;23.123333;19.466667;86.666667;4;2.066667;50.666667;null;
1970-07-31;14;29.8;null;null;195.6;7.827957;21;373;1013.035484;25.196774;21.557419;17.309677;86.153226;9;2.666667;50;null;
1970-08-31;14;62.8;null;null;232.3;7.397849;22;183.9;1011.752688;25.516129;21.829677;18.370968;82.556452;7;2.903226;56.290323;null;
1970-09-30;14;63.3;null;null;252.8;7.922222;11;37.8;1009.93;27.2;23.990667;19.67;78.075;5;2.477778;56.25;null;
1970-10-31;36;55.6;null;null;163.9;8.462366;16;193.4;1006.730108;27.174194;24.534194;21.045161;81.145161;4;2.55914;51.451613;null;
1970-11-30;36;57.4;null;null;197.5;8.477778;18;241.4;1005.168889;27.453333;24.766;21.42;80.683333;14;3.044444;50.5;null;
1970-12-31;36;64;null;null;279.7;6.978495;11;104.2;1005.802151;28.783871;26.040645;21.941935;74.983871;5;2.258065;61.451613;null;
1971-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-02-29;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-01-31;14;88.2;null;null;316.9;6.532609;11;48.3;1007.367391;30.270968;27.261935;23.012903;72.451613;4;2.315217;61.451613;null;
1973-02-28;36;85.1;null;null;249.2;6.797619;13;93.6;1006.586905;30.625;27.467857;23.264286;72.803571;4;1.952381;61.607143;null;
1973-03-31;36;84.4;null;null;242.5;7.344086;8;245.2;1004.951613;30.032258;27.012258;23.241935;77.225806;4;2;58.870968;null;
1973-04-30;14;60.4;null;null;null;7.033333;17;128.3;1006.776667;29.64;26.274667;22.75;79.55;3;1.633333;59.333333;null;
1973-05-31;18;60.4;null;null;204.3;7.537634;18;154.3;1008.137634;28.796774;25.36;21.812903;80.435484;4;2.215054;57.580645;null;
1973-06-30;14;52.4;null;null;209.8;7.177778;19;170.3;1009.06;27.82;24.484667;21.013333;83.083333;3;2;59.166667;null;
1973-07-31;14;53.4;null;null;218.2;7.784946;19;196.5;1010.509677;27.229032;23.532903;20.058065;84.306452;5;2.064516;57.419355;null;
1973-08-31;null;null;null;null;null;null;6;47.3;1009.83617;26.76;23.352;19.56875;81.516667;3;null;null;null;
1973-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-11-30;18;90.2;null;null;164;7.370787;22;263.6;null;27.196667;24.613103;21.734483;85.05;11;3.795506;51.333333;null;
1973-12-31;36;90.8;null;null;287.6;6.456522;14;210.6;null;28.680645;25.786207;22.523333;81.683333;6.1;3.219565;59.836066;null;
1974-01-31;36;91.3;null;null;225;7.569892;19;243.4;null;28.983871;25.597419;22.380645;85.379032;7.6;2.813978;55.483871;null;
1974-02-28;18;88.4;null;null;221.9;7.392857;22;241.7;null;28.889286;25.685714;22.396429;83.678571;6.3;2.704762;55.535714;null;
1974-03-31;36;89.5;null;null;219.2;8.310345;20;189;null;28.867857;25.695;22.453333;84.973214;5.8;2.365909;57.118644;null;
1974-04-30;18;76.6;null;null;185.1;7.921348;22;248;null;28.089655;25.05931;22.563333;89.301724;8.3;3.131461;56;null;
1974-05-31;18;57.9;null;null;174.2;7.833333;19;347.9;null;26.9;23.670435;21.413333;91.75;9.6;2.759155;50.689655;null;
1974-06-30;18;71.5;null;null;205.8;6.674157;16;120.7;1009.53253;26.226667;22.32;19.64;88.825;10.5;3.467416;49.482759;null;
1974-07-31;18;104.7;null;null;202.2;7.193548;26;172.6;1012.727957;24.793548;20.983226;18.390323;88.379032;10.5;3.28172;50.322581;null;
1974-08-31;18;91.6;null;null;181.4;7.623656;17;96.5;1010.778495;25.270968;22.003871;19.022581;86.354839;7.8;3.053763;52.258065;null;
1974-09-30;5;106.3;null;null;215.3;7.2;22;91.9;1010.397778;26.35;23.162;20.05;83.225;8;3.161111;56.166667;null;
1974-10-31;36;85.9;null;null;203;7.655914;14;48.2;1006.777419;27.216129;24.432903;21.687097;85.225806;8.1;3.893548;58.064516;null;
1974-11-30;36;99.1;null;null;185.6;7.211111;18;101.9;1006.002222;27.253333;24.331333;21.26;84.416667;9.6;4.038889;60.666667;null;
1974-12-31;36;99.9;null;null;256.2;7.268817;15;158.3;1005.54086;28.603226;25.64;22.458065;84.008065;6.5;3.241935;65.483871;null;
1975-01-31;36;107.5;null;null;227;7.282609;22;269.7;1006.127174;28.887097;25.732903;22.270968;82.475;7.1;2.866304;62.131148;null;
1975-02-28;36;null;null;null;236.1;7.234568;11;70.2;1005.392593;29.57037;26.116154;22.662963;82.03;11.6;2.3525;64.226415;null;
1975-03-31;18;90.1;null;null;252.6;6.795699;23;167.3;1006.233333;29.487097;25.781935;22.367742;84.564516;8;2.566667;62.580645;null;
1975-04-30;18;90.5;null;null;165.4;7.7;13;166.1;1005.741111;27.976667;24.528;21.776667;86.708333;7.8;3.694444;58.333333;null;
1975-05-31;18;138.6;null;null;205.5;6.51087;10;64.6;1008.170652;26.71;23.317333;20.425806;83.741667;8.8;4.122826;59.83871;null;
1975-06-30;18;107.6;null;null;188.5;7.3;15;122.5;1010.555556;26.17;22.465333;19.493333;86.958333;8;3.196667;61.166667;null;
1975-07-31;18;107.3;null;null;164;7.516129;22;192.1;1011.06129;25.26129;21.58;18.558065;88.096774;7.3;3.421505;55;null;
1975-08-31;18;97.5;null;null;221.8;7.075269;28;154.1;1011.973118;25.458065;21.954839;18.406452;82.814516;6.1;2.875269;60.645161;null;
1975-09-30;18;95.4;null;null;211.5;7.666667;21;163.3;1011.483333;26.003333;22.603333;18.843333;82.941667;9.1;3.39;51.866667;null;
1975-10-31;36;88.7;null;null;198.4;7.817204;16;157.3;1006.731183;27.248387;24.42;21.241935;85.040323;7.5;3.382796;51.451613;null;
1975-11-30;36;87.3;null;null;212.7;7.611111;19;196.7;1006.24;27.54;24.768;21.523333;84.853448;6.1;3.606742;49.866667;null;
1975-12-31;5;87.8;null;null;236.3;7.054348;22;356.3;1006.145652;27.756667;24.553333;20.829032;85.391667;6.6;3.255556;50.241935;null;
1976-01-31;5;110;null;null;273.1;5.752688;19;131.7;1006.224731;28.645161;25.292258;20.993548;77.354839;6.5;3.137634;56.258065;null;
1976-02-29;5;83.6;null;null;188.8;7.252874;24;362.2;1005.888506;28.017241;24.949655;21.37931;83.327586;6.6;2.927586;47.689655;null;
1976-03-31;5;94.8;null;null;237.4;6.774194;26;164.5;1006.089247;28.406452;25.08;21.206452;81.379032;5.6;2.936559;53.322581;null;
1976-04-30;18;78.3;null;null;225.5;6.966667;21;188.8;1007.87;27.7;24.047333;20.63;85.2;6.6;2.706667;54.6;null;
1976-05-31;18;73.7;null;null;217.1;7.322581;13;136.6;1008.701075;27.358065;23.72129;20.390323;86.095238;8;2.837634;53.16129;null;
1976-06-30;23;66.4;null;null;201.2;5.766667;21;155;1010.711111;26.443333;22.066;18.363333;null;8.1;2.861111;47.883333;null;
1976-07-31;18;73.7;null;null;201.2;6.236559;19;257.8;1013.246237;25.774194;21.804516;18.132258;86.177419;8.3;3.14086;52.532258;null;
1976-08-31;18;79.3;null;null;238.2;6.537634;20;115;1011.943011;25.748387;21.878065;18.112903;83.25;7.8;3.149462;55.274194;null;
1976-09-30;5;82.9;null;null;210.2;7.511111;15;76.3;1009.138889;27;23.888;20.763333;83.458333;6.5;3.3;57.233333;null;
1976-10-31;5;92.9;null;null;184.8;7.473118;21;221.8;1008.110753;26.829032;23.809677;20.83871;81.943548;7;3.56129;52.387097;null;
1976-11-30;36;73.6;null;null;153.6;7.788889;22;262.8;1006.217778;27.336667;24.677333;22.143333;85.608333;7;3.26;51.666667;null;
1976-12-31;36;99.4;null;null;283.7;7.152174;7;105.9;1005.916304;28.348387;25.5;22.132258;82.425;7;3.729348;60.16129;null;
1977-01-31;36;85.3;null;null;199.5;7.793103;21;231.7;1005.65977;28.744828;25.633103;22.506897;85.103448;8;3.274713;57.586207;null;
1977-02-28;14;75;null;null;178.9;7.678571;28;453.5;1008.303571;28.528571;24.993571;22.107143;86.330357;4.8;2.529762;54.107143;null;
1977-03-31;9;113.3;null;null;297.2;5.537634;21;70.1;1006.653763;29.674194;26.156774;22.06129;77.540323;5.8;2.747312;62.258065;null;
1977-04-30;18;95.4;null;null;206.6;6.611111;20;364;1006.565556;28.893333;25.154;22.036667;83.475;9.5;3.247778;56.5;null;
1977-05-31;18;100.2;null;null;201.9;6.27957;15;63.3;1009.125806;27.16129;23.341333;20.370968;84.166667;7.3;3.535484;53.064516;null;
1977-06-30;18;67.3;null;null;163;7.577778;23;342.5;1011.006667;26.273333;22.502667;19.606667;89.791667;6.6;2.948889;51.166667;null;
1977-07-31;14;78.5;null;null;196.7;6.698925;25;110.3;1012.2;26.080645;null;null;88.548387;6.5;2.937634;53.225806;null;
1977-08-31;5;100.6;null;null;259;6.247312;13;51.8;1011.076344;26.380645;null;null;82.419355;6.5;3.027957;61.129032;null;
1977-09-30;9;94.8;null;null;152;7.777778;23;192.6;1011.08;26.21;23.53125;20.55625;83.658333;6.6;3.206667;55.333333;null;
1977-10-31;9;91.1;null;null;149.9;7.860215;24;469.7;1009.637634;26.4;23.735484;21.090323;86.177419;8.1;3.326882;52.903226;null;
1977-11-30;5;107.4;null;null;214.6;7.066667;12;44.1;1006.8;28.44;25.719333;22.93;82.216667;7.1;4.202222;62.4;null;
1977-12-31;5;97.3;null;null;174.3;7.612903;20;178.3;1006.529032;28.332258;25.289677;22.429032;84.975806;7.3;3.390323;59.193548;null;
1978-01-31;5;90.6;null;null;208.9;7.150538;25;122.1;1007.713978;28.487097;25.689032;22.516129;83.137097;7.3;3.086022;62.096774;null;
1978-02-28;5;76.9;null;null;139.2;7.630952;20;353.8;1006.708333;28.2;25.307143;22.396429;85.794643;11.3;3.227381;58.928571;null;
1978-03-31;14;81.4;null;null;196.5;7.408602;28;414.1;1007.486022;28.506452;25.275484;22.225806;85.064516;5.8;2.872043;59.677419;null;
1978-04-30;18;77.3;null;null;182.1;7.033333;21;335.5;1006.812222;28.126667;null;null;87.208333;9.6;3.345556;59.333333;null;
1978-05-31;18;76.6;null;null;187.4;7.258065;16;128.2;1007.7;27.716129;null;null;87.2;8;3.347312;58.709677;null;
1978-06-30;18;87.8;null;null;169.5;7.555556;18;158.9;1011.587778;25.72;null;null;89.05;8.3;3.713333;58.5;null;
1978-07-31;14;83.1;null;null;189;6.569892;24;275.3;1010.566667;26.180645;23.5875;20.9125;85.701613;7.8;3.297849;62.580645;null;
1978-08-31;23;97.2;null;null;210.9;6.419355;17;177.4;1012.603226;25.812903;22.170323;18.777419;83.225806;7.1;3.25914;61.451613;null;
1978-09-30;5;104.5;null;null;216.6;6.888889;17;109.6;1011.717778;26.21;22.851333;19.763333;81.575;7;3.63;58.833333;null;
1978-10-31;5;92;null;null;209.7;6.602151;15;119.1;1008.688172;27.067742;24.225806;21.332258;82.580645;8.3;4.107527;59.83871;null;
1978-11-30;5;105.8;null;null;182.6;7.344444;22;110;null;27.27;24.399333;21.353333;84.533333;8.1;4.234444;59.5;null;
1978-12-31;5;95.8;null;null;208.6;7.555556;20;170.4;1006.68254;27.63;24.978;22.11;85.191667;9;3.962222;62.5;null;
1979-01-31;5;86.2;null;null;184;7.698925;18;153.8;1005.551613;28.174194;null;null;84.209677;8.1;3.603226;61.935484;null;
1979-02-28;5;77.2;null;null;176.5;7.542169;26;306.2;1006.518072;28.564286;null;null;84.861111;5.5;3.072289;58.928571;null;
1979-03-31;9;90.7;null;null;188.7;7.580645;20;270.4;1006.727957;28.632258;null;null;83.556452;7.6;3.060215;62.258065;null;
1979-04-30;18;90.5;null;null;206.3;6.888889;18;138.8;1007.451111;28.38;24.18;21.266667;85.05;7.5;3.216667;60.677966;null;
1979-05-31;23;85;null;null;219.6;6.72043;15;117.9;1008.886022;27.790323;23.996774;21.035484;87.290323;6.6;2.756989;57.935484;null;
1979-06-30;18;106.6;null;null;177.2;6.933333;19;137.4;1013.021111;25.576667;21.777333;19.286667;86.583333;9.1;3.904444;61.147541;null;
1979-07-31;18;86.2;null;null;181.7;6.903226;19;120.9;1013.229032;25.335484;21.704516;18.903226;86.475806;7.1;4.290323;60.952381;null;
1979-08-31;9;84.8;null;null;210.2;6.645161;25;126.9;1010.660215;26.109677;22.670968;19.377419;82.91129;9.3;2.817204;62.580645;null;
1979-09-30;9;98.7;null;null;182.4;6.855556;21;185.5;1010.838889;26.1;22.91;19.706667;81.058333;8.3;3.664444;62.333333;null;
1979-10-31;5;98.8;null;null;196.8;6.688172;17;166.5;1008.601075;27.448387;24.464516;21.541935;81.967742;6.6;3.930108;62.622951;null;
1979-11-30;5;99.7;null;null;165.9;6.711111;21;175.7;1006.267778;27.673333;24.848;22.096667;81.158333;9;4.115556;61.833333;null;
1979-12-31;5;97.1;null;null;244;6.290323;9;38.3;1006.244086;29.058065;25.954839;22.548387;80.056452;6.6;3.782796;64.516129;null;
1980-01-31;5;71.5;null;null;173.3;7.731183;21;354.8;1006.158065;28.716129;25.445806;22.425806;84.41129;6.6;3.175269;59.677419;null;
