Nome: CUIABA
Codigo Estacao: 83361
Latitude: -15.61999999
Longitude: -56.10888888
Altitude: 157.7
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;5;null;null;null;199.2;7.752688;20;212.2;null;990.982796;33.180645;27.190323;23.174194;78.822581;4;1.806452;76.967742;
1970-02-28;32;null;null;null;148.4;7.833333;23;119.8;null;991.95119;32.492857;26.332143;22.689286;83.044643;5;1.714286;79.642857;
1970-03-31;0;null;null;null;235.8;6.741935;17;289;null;992.658065;32.919355;26.466452;22.167742;80.862903;7;1.548387;78.516129;
1970-04-30;0;null;null;null;246.9;6.266667;11;165.8;null;993.244444;33.226667;26.299333;21.76;81.616667;3;1.222222;80.666667;
1970-05-31;0;null;null;null;242.3;5.376344;4;39.8;null;994.773118;31.364516;23.581935;18.509677;81.330645;4;1.397849;77.967742;
1970-06-30;36;null;null;null;273.3;4.333333;1;.6;null;995.935556;32.093333;22.742;16.773333;76.991667;4;1.46;80.9;
1970-07-31;0;null;null;null;259.7;4.591398;0;0;null;997.525806;31.693548;21.360645;14.454839;69.685484;4;1.344086;77.483871;
1970-08-31;0;null;null;null;299.7;3.978495;0;0;null;994.745161;34.577419;23.564516;15.454839;56.177419;7;1.580645;62.548387;
1970-09-30;23;null;null;null;250.3;5.688889;7;83.6;null;993.067778;35.173333;27.110667;20.743333;60.683333;3;1.844444;63;
1970-10-31;0;null;null;null;227.2;6.494624;6;60.4;null;991.562366;34.390323;27.520645;22.422581;67.516129;5;2;83.096774;
