Nome: PADRE RICARDO REMETTER
Codigo Estacao: 83364
Latitude: -15.776
Longitude: -56.072
Altitude: 140
Situacao: Operante
Data Inicial: 1985-12-31
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1985-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1986-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1986-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1986-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1986-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1986-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1986-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1986-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1986-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1986-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1986-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1986-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1986-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1987-01-31;null;82;null;null;164.8;null;17;126.3;null;32.344444;null;23.507407;null;null;null;null;null;
1987-02-28;null;65;null;null;null;null;12;141;null;32.312;null;22.892;null;null;null;null;null;
1987-03-31;null;66.2;null;null;null;null;14;158.2;null;31.580769;null;22.146154;null;null;null;null;null;
1987-04-30;null;73.3;null;null;null;null;10;50.8;null;33;null;22.938462;null;null;null;null;null;
1987-05-31;null;79.1;null;null;null;null;6;8.9;null;31.404545;null;20.168182;null;null;null;null;null;
1987-06-30;null;54;null;null;null;null;6;53.4;null;28.778947;null;17.778947;null;null;null;null;null;
1987-07-31;null;172.1;null;null;null;null;7;1.6;null;33.273077;null;18.526923;null;null;null;null;null;
1987-08-31;null;108.6;null;null;null;null;2;.2;null;32.821739;null;16.869565;null;null;null;null;null;
1987-09-30;null;123.3;null;null;null;null;2;1.2;null;34.661905;null;20.566667;null;null;null;null;null;
1987-10-31;null;145.1;null;null;191.6;null;11;137.2;null;35.344444;null;23.585185;null;null;null;null;null;
1987-11-30;null;86.6;null;null;171.8;null;16;107.7;null;33.014815;null;23.807407;null;null;null;null;null;
1987-12-31;null;69.7;null;null;162.8;null;21;301.4;null;31.858621;null;23.596552;null;null;null;null;null;
1988-01-31;null;58.3;null;null;170.3;null;24;221.1;null;32.478571;null;23.725;null;null;null;null;null;
1988-02-29;null;39.3;null;null;null;null;15;193.7;null;31.313636;null;23.322727;null;null;null;null;null;
1988-03-31;null;58.3;null;null;null;null;17;115.2;null;32.468;null;23.848;null;null;null;null;null;
1988-04-30;null;64.1;null;null;174;null;18;151.9;null;31.482143;null;23.5;null;null;null;null;null;
1988-05-31;null;42.1;null;null;null;null;4;3.1;null;29.809524;null;20.895238;null;null;null;null;null;
1988-06-30;null;74.7;null;null;null;null;3;.5;null;30.327273;null;16.781818;null;null;null;null;null;
1988-07-31;null;93.5;null;null;null;null;3;1.2;null;29.354167;null;13.129167;null;null;null;null;null;
1988-08-31;null;113.3;null;null;null;null;null;0;null;34.523529;null;16.182353;null;null;null;null;null;
1988-09-30;null;154;null;null;null;null;1;3.4;null;35.469565;null;19.865217;null;null;null;null;null;
1988-10-31;null;159.1;null;null;null;null;4;15.4;null;35.2;null;22.863636;null;null;null;null;null;
1988-11-30;null;117.1;null;null;null;null;12;120.5;null;33.281818;null;22.995455;null;null;null;null;null;
1988-12-31;null;59.3;null;null;null;null;14;78.3;null;32.619048;null;23.757143;null;null;null;null;null;
1989-01-31;null;69.4;null;null;null;null;20;193.7;null;31.729167;null;22.858333;null;null;null;null;null;
1989-02-28;null;59.8;null;null;null;null;17;94.6;null;31.475;null;23.241667;null;null;null;null;null;
1989-03-31;null;53.3;null;null;166;null;16;139.9;null;31.933333;null;22.807407;null;null;null;null;null;
1989-04-30;null;72.9;null;null;null;null;12;125;null;32.3;null;23.008;null;null;null;null;null;
1989-05-31;null;75.8;null;null;238.6;null;7;45.1;null;30.160714;null;18.442857;null;null;null;null;null;
1989-06-30;null;97.5;null;null;null;null;6;3;null;31.384615;null;19.211538;null;null;null;null;null;
1989-07-31;null;142.4;null;null;243.1;null;4;24.9;null;31.148148;null;14.407407;null;null;null;null;null;
1989-08-31;null;94.5;null;null;null;null;5;57.7;null;32.213043;null;18.882609;null;null;null;null;null;
1989-09-30;null;86.3;null;null;null;null;1;21.4;null;33.122727;null;19.754545;null;null;null;null;null;
1989-10-31;null;86.8;null;null;null;null;4;24.6;null;34.947619;null;21.733333;null;null;null;null;null;
1989-11-30;null;84.7;null;null;219.5;null;9;120.9;null;33.818519;null;22.52963;null;null;null;null;null;
1989-12-31;null;65.8;null;null;null;null;21;78.2;null;31.873077;null;22.738462;null;null;null;null;null;
1990-01-31;null;65.5;null;null;null;null;12;137.8;null;32.76087;null;23.082609;null;null;null;null;null;
1990-02-28;null;37.3;null;null;null;null;14;116.1;null;31.404762;null;23.261905;null;null;null;null;null;
1990-03-31;null;64.3;null;null;202.2;null;13;158.2;null;33.460714;null;23.007143;null;null;null;null;null;
1990-04-30;null;59.5;null;null;null;null;3;14.1;null;33.528571;null;23.095238;null;null;null;null;null;
1990-05-31;null;42.6;null;null;null;null;6;25.3;null;30.858824;null;20.917647;null;null;null;null;null;
1990-06-30;null;93.9;null;null;null;null;3;16.9;null;29.876923;null;null;null;null;null;null;null;
1990-07-31;null;107.4;null;null;252;null;3;5.8;null;29.017241;null;null;null;null;null;null;null;
1990-08-31;null;109.7;null;null;null;null;1;1.8;null;34.157895;null;null;null;null;null;null;null;
1990-09-30;null;101.1;null;null;null;null;3;60.2;null;31.33125;null;19.5;null;null;null;null;null;
1990-10-31;null;null;null;null;null;null;5;125.6;null;null;null;null;null;null;null;null;null;
1990-11-30;null;48.6;null;null;null;null;8;61.6;null;34.041176;null;23.423529;null;null;null;null;null;
1990-12-31;null;33.8;null;null;null;null;9;163.7;null;32.933333;null;23.42;null;null;null;null;null;
1991-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1992-01-31;null;31.2;null;null;null;null;10;106.7;null;32.81875;null;23.36875;null;null;null;null;null;
1992-02-29;null;30.9;null;null;null;null;9;158.1;null;32.106667;null;23;null;null;null;null;null;
1992-03-31;null;46.3;null;null;null;null;9;50.1;null;32.833333;null;23.2;null;null;null;null;null;
1992-04-30;null;62.7;null;null;null;null;9;100.9;null;32.338462;null;22.746154;null;null;null;null;null;
1992-05-31;null;71;null;null;null;null;6;13.7;null;33.370833;null;21.716667;null;null;null;null;null;
1992-06-30;null;91.3;null;null;null;null;null;0;null;33.93;null;18.655;null;null;null;null;null;
1992-07-31;null;65.4;null;null;null;null;2;.5;null;29.92;null;14.085;null;null;null;null;null;
1992-08-31;null;84.4;null;null;null;null;2;1.2;null;33.213043;null;18.304348;null;null;null;null;null;
1992-09-30;null;62.3;null;null;null;null;7;50.3;null;31.38;null;19.715;null;null;null;null;null;
1992-10-31;null;96;null;null;191.9;null;12;91.7;null;33.375862;null;22.624138;null;null;null;null;null;
1992-11-30;null;47.5;null;null;null;null;7;175.9;null;31.827778;null;22.516667;null;null;null;null;null;
1992-12-31;null;55.8;null;null;null;null;9;68.5;null;32.388235;null;23.411765;null;null;null;null;null;
1993-01-31;null;75.3;null;null;null;null;10;94.6;null;33.465385;null;23.273077;null;null;null;null;null;
1993-02-28;null;null;null;null;null;null;3;7.8;null;null;null;null;null;null;null;null;null;
1993-03-31;null;null;null;null;null;null;7;78.7;null;null;null;null;null;null;null;null;null;
1993-04-30;null;79;null;null;null;null;2;48.3;null;33.275;null;22.35625;null;null;null;null;null;
1993-05-31;null;113.5;null;null;null;null;4;21.7;null;30.795238;null;17.814286;null;null;null;null;null;
1993-06-30;null;121.3;null;null;null;null;3;76.1;null;30.673913;null;17.265217;null;null;null;null;null;
1993-07-31;null;131.9;null;null;null;null;4;1.1;null;29.204348;null;15.204348;null;null;null;null;null;
1993-08-31;null;123.5;null;null;null;null;2;10.5;null;31.621739;null;16.908696;null;null;null;null;null;
1993-09-30;null;137.4;null;null;null;null;1;1.5;null;34.143478;null;21.073913;null;null;null;null;null;
1993-10-31;null;179.3;null;null;null;null;6;26.7;null;35.025;null;22.5;null;null;null;null;null;
1993-11-30;null;105.3;null;null;null;null;6;241;null;34.482353;null;22.982353;null;null;null;null;null;
1993-12-31;null;54.3;null;null;null;null;12;232.9;null;32.668182;null;23.15;null;null;null;null;null;
1994-01-31;null;61.9;null;null;null;null;9;217.2;null;33.078261;null;23.426087;null;null;null;null;null;
1994-02-28;null;59.4;null;null;null;null;13;164.7;null;32.945455;null;23.568182;null;null;null;null;null;
1994-03-31;null;65.7;null;null;null;null;6;65.9;null;32.87619;null;23.519048;null;null;null;null;null;
1994-04-30;null;50.5;null;null;null;null;7;22.1;null;32.605;null;22.74;null;null;null;null;null;
1994-05-31;null;63;null;null;208.2;null;6;75.1;null;31.903704;null;21.114815;null;null;null;null;null;
1994-06-30;null;90.1;null;null;null;null;2;55.6;null;31.688;null;18.792;null;null;null;null;null;
1994-07-31;null;102.7;null;null;null;null;null;0;null;31.614286;null;16.752381;null;null;null;null;null;
1994-08-31;null;130.7;null;null;null;null;1;1.4;null;34.875;null;16.383333;null;null;null;null;null;
1994-09-30;null;92.8;null;null;null;null;3;58.1;null;35.135;null;20.44;null;null;null;null;null;
1994-10-31;null;86.6;null;null;null;null;8;91.5;null;34.433333;null;23.195238;null;null;null;null;null;
1994-11-30;null;60.2;null;null;null;null;5;108.5;null;34.23;null;23.195;null;null;null;null;null;
1994-12-31;null;45.7;null;null;null;null;15;303.2;null;31.009091;null;23.454545;null;null;null;null;null;
1995-01-31;0;37.9;null;null;null;7.777778;10;179.5;993.637037;31.983333;26.703333;23.688889;81.5;4.6;.766667;75.333333;null;
1995-02-28;36;42.2;null;null;null;7.412698;14;342.8;993.31746;31.252381;26.132381;23.428571;88.595238;4.6;.601587;73.380952;null;
1995-03-31;0;42.5;null;null;null;5.969697;9;143.2;993.104545;33.609091;27.232727;24.022727;81.079545;4.6;.439394;74.106383;null;
1995-04-30;0;null;null;null;null;5.564103;4;13.7;993.476923;null;null;null;null;3.5;null;null;null;
1995-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1995-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1995-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1995-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1995-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1995-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1995-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1995-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1996-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1996-02-29;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1996-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1996-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1996-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1996-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1996-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1996-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1996-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1996-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1996-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1996-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1997-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1997-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1997-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1997-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
