Nome: MERURI
Codigo Estacao: 83367
Latitude: -15.53
Longitude: -53.08
Altitude: 418
Situacao: Desativada
Data Inicial: 1970-02-15
Data Final: 2002-11-24
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-02-28;null;null;null;null;null;null;null;null;null;33.103571;21.778571;12.878571;null;null;null;null;null;
1970-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-08-31;5;null;null;null;null;2.01087;1;2.5;967.033696;33.241935;22.132903;13.522581;53.830645;7;1.141304;52.709677;null;
1970-09-30;23;null;null;null;null;2.977778;7;94.3;965.096667;33.493333;24.762;18.813333;64.141667;3;1.033333;46.25;null;
1970-10-31;36;null;null;null;null;4.709677;9;165.7;964.112903;32.467742;25.356129;20.590323;74.217742;3;1.182796;82.258065;null;
1970-11-30;0;null;null;null;null;5.044444;14;321.9;962.424444;32.566667;25.386667;20.64;77.891667;3;1.233333;82.966667;null;
1970-12-31;32;null;null;null;null;4.354839;10;75.6;963.23913;32.545161;25.546452;20.574194;75.209677;5;1.354839;81;null;
1971-01-31;0;null;null;null;3.1;5.236559;14;171.8;963.822581;32.093548;24.787097;19.932258;79.403226;9;1.258065;81.322581;null;
1971-02-28;9;null;null;null;null;5.130952;12;136.7;964.185714;31.375;24.205;19.835714;82.116071;3;1.119048;78.464286;null;
1971-03-31;14;null;null;null;3;4.236559;16;267.7;964.646739;31.280645;24.420645;20.46129;83.895161;3;.612903;77.790323;null;
1971-04-30;0;null;null;null;null;3.977778;13;92.2;965.787778;31.273333;23.622667;18.76;80.633333;7;1;78.416667;null;
1971-05-31;0;null;null;null;null;3.505376;3;25.3;967.480645;30.896774;22.097419;16.851613;77.564516;5;.903226;79.774194;null;
1971-06-30;0;null;null;null;null;3.233333;0;0;968.075556;31.14;21.026;14.413333;73.991667;5;.711111;76.566667;null;
1971-07-31;18;null;null;null;null;2.258065;3;18.1;968.171739;31.796774;20.315484;12.632258;67.169355;5;.752688;70.516129;null;
1971-08-31;0;null;null;null;null;1.11828;0;0;967.422826;33.409677;21.26129;12.893548;57.459677;5;.752688;32.758065;null;
1971-09-30;0;null;null;null;2.7;1.955556;5;61.6;966.098876;33.256667;24.226;17.55;60.883333;7;.933333;28.666667;null;
1971-10-31;27;null;null;null;null;4.010753;16;351.4;965.83871;30.587097;24.342581;19.980645;77.201613;7;.924731;80.741935;null;
1971-11-30;0;null;null;null;null;3.944444;18;298.9;963.967778;30.34;24.177333;20.243333;81.816667;7;.955056;78.2;null;
1971-12-31;14;null;null;null;2.7;4.677419;20;236.7;963.953763;30.651613;24.612258;20.851613;82.540323;7;.892473;79.290323;null;
1972-01-31;0;null;null;null;null;4.322581;21;238.9;964.072527;29.922581;23.772258;19.993548;83.467742;6;1.096774;66.709677;null;
1972-02-29;0;null;null;null;null;4.068966;22;270.5;964.577647;29.631034;23.938621;20.493103;85.155172;7;.816092;61.517241;null;
1972-03-31;0;null;null;null;null;4.204301;10;57.7;964.293548;32.283871;24.782581;20.025806;79.967742;7;.634409;68.306452;null;
1972-04-30;0;null;null;null;null;2.577778;7;140.7;965.862222;30.803333;22.946;17.7;78.216667;7;.622222;74.433333;null;
1972-05-31;0;null;null;null;null;2.095238;3;10.7;966.217949;32.119231;22.6256;15.8;73.24;7;.857143;75.403509;null;
1972-06-30;0;null;null;null;null;2.7;1;3.1;null;31.96;null;13.176667;null;3;.6;74.866667;null;
1972-07-31;0;null;null;null;null;2.096774;1;3.6;null;32.025806;null;14.041935;null;3;.419355;66.903226;null;
1972-08-31;0;null;null;null;null;3.16129;3;59.1;null;33.287097;null;15.283871;null;5;.548387;63.548387;null;
1972-09-30;18;null;null;null;null;2.9;6;28.3;null;33.776667;null;19.086667;null;3;.766667;45;null;
1972-10-31;36;null;null;null;null;2.709677;12;99.1;null;32.758065;null;20.135484;null;5;1.516129;71.806452;null;
1972-11-30;36;null;null;null;null;4;12;225.3;null;31.146667;null;21.613333;null;7;1.133333;70.066667;null;
1972-12-31;0;null;null;null;null;3.225806;21;489.1;null;30.951613;null;21.154839;null;3;.83871;62.451613;null;
1973-01-31;5;null;null;null;null;2.806452;12;104.1;null;32.603226;null;21.403226;null;3;.741935;67.225806;null;
1973-02-28;0;null;null;null;null;3.785714;13;221.6;null;31.646429;null;21.482143;null;3;.464286;62.321429;null;
1973-03-31;18;null;null;null;null;3.193548;14;153.2;null;32.467742;null;21.451613;null;3;.483871;68.903226;null;
1973-04-30;36;null;null;null;null;2.766667;10;50.5;null;32.126667;null;20.126667;null;1;.366667;73.2;null;
1973-05-31;0;null;null;null;null;1.903226;5;47.5;null;31.509677;null;16.903226;null;5;.516129;73.580645;null;
1973-06-30;0;null;null;null;null;2.033333;4;44.9;null;32.196667;null;15.316667;null;1;.133333;67.2;null;
1973-07-31;0;null;null;null;null;1.354839;0;0;null;31.309677;null;12.216129;null;3;.516129;45.967742;null;
1973-08-31;0;null;null;null;null;.935484;0;0;null;34.406452;null;15.141935;null;3;.354839;14.193548;null;
1973-09-30;23;null;null;null;null;1.233333;2;8.7;null;34.346667;null;18.796667;null;5;.466667;10.666667;null;
1973-10-31;23;null;null;null;null;3.548387;17;188.1;null;31.303226;null;21.13871;null;3;.83871;59.064516;null;
1973-11-30;0;null;null;null;null;4.233333;13;250.1;null;31.326667;null;21.18;null;3;.5;66.533333;null;
1973-12-31;0;null;null;null;null;3.548387;19;299.1;null;30.387097;null;20.741935;null;3;.483871;65.633333;null;
1974-01-31;0;null;null;null;null;4;17;278.8;null;30.412903;null;20.696774;null;3;.387097;66.580645;null;
1974-02-28;18;null;null;null;null;3.25;14;54;null;31.360714;null;20.007143;null;3;.392857;73.714286;null;
1974-03-31;0;null;null;null;null;3.290323;19;338.6;null;29.325806;null;20.806452;null;3;.322581;53.741935;null;
1974-04-30;0;null;null;null;null;3.033333;1;63;null;30.836667;null;19.696667;null;3;.233333;71;null;
1974-05-31;18;null;null;null;null;2.064516;4;192;null;30.412903;null;16.448387;null;3;.458065;80.322581;null;
1974-06-30;0;null;null;null;null;.666667;0;0;null;30.963333;null;14.18;null;3;.233333;81.333333;null;
1974-07-31;14;null;null;null;null;.483871;0;0;null;31.035484;null;10.641935;null;3;.419355;78.064516;null;
1974-08-31;0;null;null;null;null;1.096774;1;.5;null;33.480645;null;14.777419;null;3;.741935;58.064516;null;
1974-09-30;0;null;null;null;null;1.066667;4;44.4;null;34.493333;null;17.816667;null;3;.533333;38.666667;null;
1974-10-31;0;null;null;null;null;2.903226;7;148.9;null;32.4;null;20.158065;null;3;1.032258;69.870968;null;
1974-11-30;18;null;null;null;null;2.4;7;69.3;null;31.71;null;20.016667;null;3;.766667;78;null;
1974-12-31;0;null;null;null;null;4.129032;16;165.2;null;30.319355;null;21.090323;null;3;.419355;65.806452;null;
1975-01-31;0;null;null;null;null;3.387097;null;null;null;31.745161;null;20.225806;null;3;.483871;75.548387;null;
1975-02-28;36;null;null;null;null;2.642857;12;82;null;31.275;null;20.603571;null;3;.5;74.642857;null;
1975-03-31;0;null;null;null;null;2.032258;9;224.9;null;31.945161;null;19.9;null;3;.322581;76;null;
1975-04-30;14;null;null;null;null;3.733333;10;118.7;null;31.051724;null;19.833333;null;3;.4;69.6;null;
1975-05-31;0;null;null;null;null;.806452;2;13.4;null;31.06129;null;14.493548;null;3;.741935;80.129032;null;
1975-06-30;0;null;null;null;null;.7;0;0;null;31.153333;null;12.296667;null;3;.566667;72;null;
1975-07-31;0;null;null;null;null;.516129;2;9.3;null;30.174194;null;11.070968;null;3;.612903;66.193548;null;
1975-08-31;0;null;null;null;null;.483871;0;0;null;34.083871;null;13.03871;null;1;.258065;54.193548;null;
1975-09-30;0;null;null;null;null;.833333;3;52.8;null;35.323333;null;16.483333;null;1;.1;46.666667;null;
1975-10-31;0;null;null;null;null;2;12;230.9;null;32.3;null;19.86129;null;3;.645161;74.645161;null;
1975-11-30;0;null;null;null;null;2.333333;15;462.6;null;30.044828;null;20.493333;null;1;.333333;66.4;null;
1975-12-31;0;null;null;null;null;2.806452;11;137.3;null;30.903226;null;20.351613;null;1;.290323;67.612903;null;
1976-01-31;0;null;null;null;null;2.258065;9;162.6;null;32.143333;null;20.309677;null;1;.193548;null;null;
1976-02-29;18;null;null;null;null;3.413793;14;216.2;null;29.886207;null;20.97931;null;3;.551724;null;null;
1976-03-31;36;null;null;null;null;2.612903;11;116.9;null;31.032258;null;20.132258;null;3;.387097;null;null;
1976-04-30;18;null;null;null;null;1.503333;7;110.7;null;31.853333;null;18.44;null;3;.5;null;null;
1976-05-31;18;null;null;null;null;2.967742;8;107.1;null;30.532258;null;18.03871;null;3;.451613;null;null;
1976-06-30;5;null;null;null;null;1.7;0;0;null;30.166667;null;12.956667;null;1;.433333;null;null;
1976-07-31;0;null;null;null;null;.483871;0;0;null;31.196774;null;11.229032;null;3;.483871;null;null;
1976-08-31;0;null;null;null;null;1.258065;0;0;null;33.648387;null;13.858065;null;3;.612903;null;null;
1976-09-30;0;null;null;null;null;2.933333;7;53;null;32.033333;null;18.433333;null;3;.733333;null;null;
1976-10-31;14;null;null;null;null;2.580645;9;130.6;null;31.529032;null;19.687097;null;3;.548387;null;null;
1976-11-30;14;null;null;null;null;2.966667;15;306.2;null;29.756667;null;20.53;null;3;.566667;null;null;
1976-12-31;0;null;null;null;null;3.774194;17;270.3;null;30.445161;null;20.851613;null;1;.225806;null;null;
1977-01-31;0;null;null;null;null;6.129032;19;419.4;null;29.932258;null;20.680645;null;3;.612903;61.16129;null;
1977-02-28;0;null;null;null;null;4.357143;13;195.1;null;30.467857;null;19.817857;null;1;.035714;71.928571;null;
1977-03-31;0;null;null;null;null;2.741935;8;115.5;null;33.070968;null;20.680645;null;1;.322581;76.193548;null;
1977-04-30;18;null;null;null;null;2.6;3;115.5;null;31.533333;null;19.306667;null;1;.2;75.666667;null;
1977-05-31;14;null;null;null;null;3.032258;6;94.2;null;28.758065;null;16.148387;null;3;.419355;71.625;null;
1977-06-30;18;null;null;null;null;2.466667;3;17.3;null;29.956667;null;16.91;null;3;.266667;75;null;
1977-07-31;0;null;null;null;null;.806452;0;0;null;32.541935;null;13.248387;null;1;.064516;79.612903;null;
1977-08-31;0;null;null;null;null;1.193548;1;16.2;null;33.087097;null;16.119355;null;1;.193548;69.032258;null;
1977-09-30;0;null;null;null;null;1.733333;1;3.3;null;32.626667;null;19.15;null;1;.233333;65.266667;null;
1977-10-31;36;null;null;null;null;3.354839;11;152.7;null;32.477419;null;20.63871;null;1;.548387;76.387097;null;
1977-11-30;36;null;null;null;null;4.206897;13;239.7;null;31.496667;null;21.14;null;1;.3;73.724138;null;
1977-12-31;36;null;null;null;null;4.322581;12;191.3;null;30.941935;null;21.345161;null;3;.516129;68.645161;null;
1978-01-31;null;null;null;null;null;null;13;287.8;null;30.5;null;20.906452;null;null;null;null;null;
1978-02-28;null;null;null;null;null;null;9;200.7;null;32.032143;null;21.257143;null;null;null;null;null;
1978-03-31;null;null;null;null;null;null;7;132.4;null;32;null;20.309677;null;null;null;null;null;
1978-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1978-05-31;18;null;null;null;null;2.870968;6;73.3;null;30.048387;null;16.396774;null;3;.483871;78.774194;null;
1978-06-30;18;null;null;null;null;1.633333;0;0;null;29.67;null;13.31;null;3;.433333;80.866667;null;
1978-07-31;0;null;null;null;null;1.566667;1;53.2;null;30.993333;null;13.733333;null;1;.233333;80.4;null;
1978-08-31;0;null;null;null;null;.709677;0;0;null;31.922581;null;12.096774;null;3;.516129;71.16129;null;
1978-09-30;0;null;null;null;null;2.566667;4;42.6;null;32.46;null;18.013333;null;3;.4;64.333333;null;
1978-10-31;null;null;null;null;null;null;9;107;null;32.780645;null;19.522581;null;null;null;null;null;
1978-11-30;null;null;null;null;null;null;12;146.8;null;30.82;null;20.913333;null;null;null;null;null;
1978-12-31;null;null;null;null;null;null;14;310.4;null;29.945161;null;21.119355;null;null;null;null;null;
1979-01-31;0;null;null;null;null;6.73913;20;519.4;null;29.396774;null;21.419355;null;1;.086957;62.869565;null;
1979-02-28;0;null;null;null;null;4.85;13;365.6;null;30.689286;null;21.325;null;1;null;68.4;null;
1979-03-31;0;null;null;null;null;4.4;10;144.2;null;31.383871;null;20.796774;null;0;0;76.4;null;
1979-04-30;0;null;null;null;null;3.125;3;64.1;null;31.366667;null;18.93;null;0;0;77.666667;null;
1979-05-31;null;null;null;null;null;null;3;29.8;null;30.887097;null;16.196774;null;null;null;null;null;
1979-06-30;null;null;null;null;null;null;0;0;null;28.96;null;11.056667;null;null;null;null;null;
1979-07-31;null;null;null;null;null;null;1;.5;null;31.290323;null;13.051613;null;null;null;null;null;
1979-08-31;null;null;null;null;null;null;1;12.5;null;33.641935;null;14.893548;null;null;null;null;null;
1979-09-30;null;null;null;null;null;null;7;123.6;null;31.933333;null;19.36;null;null;null;null;null;
1979-10-31;null;null;null;null;null;null;10;119.4;null;32.780645;null;19.2;null;null;null;null;null;
1979-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1979-12-31;null;null;null;null;null;null;16;139.4;null;31.016129;null;20.4;null;null;null;null;null;
1980-01-31;null;null;null;null;null;null;16;391.3;null;30.477419;null;19.745161;null;null;null;null;null;
1980-02-29;null;null;null;null;null;null;21;397.6;null;29.6;null;20.872414;null;null;null;null;null;
1980-03-31;null;null;null;null;null;null;7;93.1;null;31.932258;null;19.26129;null;null;null;null;null;
1980-04-30;null;null;null;null;null;null;5;39.1;null;31.546667;null;18.16;null;null;null;null;null;
1980-05-31;null;null;null;null;null;null;2;81.3;null;30.967742;null;15.719355;null;null;null;null;null;
1980-06-30;null;null;null;null;null;null;2;27.9;null;30.613333;null;13.206667;null;null;null;null;null;
1980-07-31;null;null;null;null;null;null;null;0;null;31.77;null;12.316667;null;null;null;null;null;
1980-08-31;null;null;null;null;null;null;0;0;null;34.383871;null;14.980645;null;null;null;null;null;
1980-09-30;null;null;null;null;null;null;6;120.4;null;33.066667;null;17.813333;null;null;null;null;null;
1980-10-31;null;null;null;null;null;null;3;6.8;null;34.716129;null;19.848387;null;null;null;null;null;
1980-11-30;null;null;null;null;null;null;15;269;null;31.083333;null;21.306667;null;null;null;null;null;
1980-12-31;null;null;null;null;null;null;17;300.9;null;29.612903;null;21.374194;null;null;null;null;null;
1981-01-31;null;null;null;null;null;null;15;386.2;null;30.745161;null;20.935484;null;null;null;null;null;
1981-02-28;null;null;null;null;null;null;6;51.6;null;31.460714;null;20.275;null;null;null;null;null;
1981-03-31;null;null;null;null;null;null;15;379;null;30.845161;null;21.483871;null;null;null;null;null;
1981-04-30;null;null;null;null;null;null;4;23.9;null;31.63;null;18.876667;null;null;null;null;null;
1981-05-31;null;null;null;null;null;null;1;2.7;null;31.506452;null;15.309677;null;null;null;null;null;
1981-06-30;null;null;null;null;null;null;2;12.4;null;29.82;null;12.98;null;null;null;null;null;
1981-07-31;null;null;null;null;null;null;0;0;null;29.706452;null;10.270968;null;null;null;null;null;
1981-08-31;null;null;null;null;null;null;0;0;null;33.670968;null;12.454839;null;null;null;null;null;
1981-09-30;null;null;null;null;null;null;1;25.9;null;35.393333;null;15.94;null;null;null;null;null;
1981-10-31;null;null;null;null;null;null;11;143.6;null;32.441935;null;20.641935;null;null;null;null;null;
1981-11-30;null;null;null;null;null;null;12;345.3;null;30.593333;null;21.326667;null;null;null;null;null;
1981-12-31;null;null;null;null;null;null;7;187.6;null;31.158065;null;21.487097;null;null;null;null;null;
1982-01-31;null;null;null;null;null;null;19;261.7;null;29.16129;null;21.345161;null;null;null;null;null;
1982-02-28;null;null;null;null;null;null;null;0;null;null;null;null;null;null;null;null;null;
1982-03-31;null;null;null;null;null;null;10;243.7;null;31.593548;null;21.319355;null;null;null;null;null;
1982-04-30;null;null;null;null;null;null;4;45.9;null;30.926667;null;18.98;null;null;null;null;null;
1982-05-31;null;null;null;null;null;null;2;28.4;null;30.029032;null;15.36129;null;null;null;null;null;
1982-06-30;null;null;null;null;null;null;1;7;null;30.916667;null;15.44;null;null;null;null;null;
1982-07-31;null;null;null;null;null;null;0;0;null;32.045161;null;12.729032;null;null;null;null;null;
1982-08-31;null;null;null;null;null;null;4;76.7;null;33.158065;null;16.296774;null;null;null;null;null;
1982-09-30;null;null;null;null;null;null;9;148.8;null;31.886667;null;18.03;null;null;null;null;null;
1982-10-31;null;null;null;null;null;null;9;80.2;null;31.980645;null;20.23871;null;null;null;null;null;
1982-11-30;null;null;null;null;null;null;15;184.2;null;32.213333;null;21.01;null;null;null;null;null;
1982-12-31;null;null;null;null;null;null;12;214.9;null;31.035484;null;21.222581;null;null;null;null;null;
1983-01-31;null;null;null;null;null;null;17;479.8;null;30.36129;null;21.796774;null;null;null;null;null;
1983-02-28;null;null;null;null;null;null;11;327;null;30.896429;null;21.621429;null;null;null;null;null;
1983-03-31;null;null;null;null;null;null;7;108.6;null;30.945161;null;21.029032;null;null;null;null;null;
1983-04-30;null;null;null;null;null;null;6;101.6;null;32.036667;null;20.256667;null;null;null;null;null;
1983-05-31;null;null;null;null;null;null;2;30.9;null;32.348387;null;17.464516;null;null;null;null;null;
1983-06-30;null;null;null;null;null;null;0;0;null;30.71;null;15.373333;null;null;null;null;null;
1983-07-31;null;null;null;null;null;null;1;15.4;null;32.654839;null;13.419355;null;null;null;null;null;
1983-08-31;null;null;null;null;null;null;0;0;null;32.96129;null;11.929032;null;null;null;null;null;
1983-09-30;null;null;null;null;null;null;5;37.3;null;33.566667;null;19.326667;null;null;null;null;null;
1983-10-31;null;null;null;null;null;null;9;186.6;null;30.812903;null;20.345161;null;null;null;null;null;
1983-11-30;null;null;null;null;null;null;12;238.1;null;29.4;null;20.603333;null;null;null;null;null;
1983-12-31;null;null;null;null;null;null;16;242.4;null;29.374194;null;20.916129;null;null;null;null;null;
1984-01-31;null;null;null;null;null;null;11;153.2;null;31.048387;null;20.464516;null;null;null;null;null;
1984-02-29;null;null;null;null;null;null;12;137.7;null;31.886207;null;20.551724;null;null;null;null;null;
1984-03-31;null;null;null;null;null;null;10;150.1;null;31.264516;null;20.958065;null;null;null;null;null;
1984-04-30;null;null;null;null;null;null;null;0;null;null;null;null;null;null;null;null;null;
1984-05-31;null;null;null;null;null;null;3;25.8;null;31.545161;null;17.806452;null;null;null;null;null;
1984-06-30;null;null;null;null;null;null;0;0;null;31.56;null;12.773333;null;null;null;null;null;
1984-07-31;null;null;null;null;null;null;0;0;null;31.883871;null;13.258065;null;null;null;null;null;
1984-08-31;null;null;null;null;null;null;5;64.1;null;32.841935;null;14.287097;null;null;null;null;null;
1984-09-30;null;null;null;null;null;null;8;51.5;null;31.413333;null;16.423333;null;null;null;null;null;
1984-10-31;null;null;null;null;null;null;12;142;null;32.480645;null;20.548387;null;null;null;null;null;
1984-11-30;null;null;null;null;null;null;8;153.9;null;31.686667;null;20.206667;null;null;null;null;null;
1984-12-31;null;null;null;null;null;null;20;338.5;null;30.583871;null;20.858065;null;null;null;null;null;
1985-01-31;null;null;null;null;null;null;16;339.3;null;28.829032;null;21.358065;null;null;null;null;null;
1985-02-28;null;null;null;null;null;2.857143;null;0;null;null;null;null;null;null;null;null;null;
1985-03-31;null;null;null;null;null;1.290323;10;143.8;null;30.687097;null;20.641935;null;null;null;null;null;
1985-04-30;null;null;null;null;null;null;6;148.3;null;30.976667;null;19.453333;null;null;null;null;null;
1985-05-31;null;null;null;null;null;null;0;0;null;31.716129;null;16.970968;null;null;null;null;null;
1985-06-30;null;null;null;null;null;null;0;0;null;29.57;null;9.983333;null;null;null;null;null;
1985-07-31;null;null;null;null;null;null;1;24.6;null;30.345161;null;11.416129;null;null;null;null;null;
1985-08-31;null;null;null;null;null;null;0;0;null;33.612903;null;13.454839;null;null;null;null;null;
1985-09-30;null;null;null;null;null;null;2;30.8;null;34.146667;null;17.02;null;null;null;null;null;
1985-10-31;null;null;null;null;null;null;6;27.3;null;32.996774;null;19.245161;null;null;null;null;null;
1985-11-30;null;null;null;null;null;null;12;127.7;null;31.393333;null;19.856667;null;null;null;null;null;
1985-12-31;null;null;null;null;null;null;6;265.8;null;32.209677;null;20.616129;null;null;null;null;null;
1986-01-31;null;null;null;null;null;null;14;313.6;null;30.545161;null;19.996774;null;null;null;null;null;
1986-02-28;null;null;null;null;null;null;11;172.5;null;31.1;null;20.107143;null;null;null;null;null;
1986-03-31;null;null;null;null;null;null;7;78.6;null;31.016129;null;19.887097;null;null;null;null;null;
