Nome: ARAGARCAS
Codigo Estacao: 83368
Latitude: -15.9025
Longitude: -52.24527777
Altitude: 327.03
Situacao: Operante
Data Inicial: 1970-07-18
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-07-31;0;176.2;null;null;299.7;2.870968;0;0;980.650538;31.277419;22.230323;15.277419;59.975806;3;.709677;84;null;
1970-08-31;0;238.8;null;null;289.7;2.333333;0;0;978.021505;33.370968;23.747742;15.7;49.362903;6;.839785;84;null;
1970-09-30;0;191.4;null;null;211.4;2.7;3;12;975.931111;33.703333;26.372667;20.373333;56.658333;4;.788889;84;null;
1970-10-31;32;125.5;null;null;195.7;6.44086;10;43.3;974.448387;32.912903;26.570323;21.86129;69.193548;7;.860215;84;null;
1970-11-30;0;92.8;null;null;214.6;6.444444;13;102.5;973.327778;32.01;25.983333;21.73;75.5;7;.755556;84;null;
1970-12-31;0;65.8;null;null;196.3;6.817204;10;198.2;974.296774;31.822581;25.927097;21.56129;76.556452;3;.543478;83.774194;null;
1971-01-31;0;63.3;null;null;198.5;7.076923;17;179.6;974.718681;31.41;25.25;21.103333;78.366667;10;.807692;84;null;
1971-02-28;27;52.7;null;null;188.1;7.084337;null;145.7;975.173494;30.896429;24.827143;20.982143;79.205357;8;.86506;76.928571;null;
1971-03-31;9;65.6;null;null;null;7.623656;16;257;975.304301;30.635484;24.938065;21.264516;83.314516;3;.612903;79.580645;null;
1971-04-30;0;61.2;null;null;241;5.133333;7;37.8;976.532222;30.96;24.617333;20.26;80.033333;2;.611111;81.066667;null;
1971-05-31;0;105;null;null;null;4.827957;null;15.2;978.397849;30.958065;23.621935;18.458065;73.806452;2;.655914;82.33871;null;
1971-06-30;0;123.3;null;null;259.3;3.522222;null;0;979.018889;31.293333;22.8;16.806667;69.2;2;.477778;84;null;
1971-07-31;0;157.2;null;null;266;3.096774;null;4.4;979.272043;31.764516;22.02;15.087097;63.120968;2;.548387;84;null;
1971-08-31;0;211.8;null;null;279.2;.731183;null;9.2;978.549462;33.580645;23.163871;15.148387;51.637097;5;.806452;49.129032;null;
1971-09-30;0;191.9;null;null;187.3;3.155556;null;53.7;976.898889;33.103333;25.5;19.466667;60.55;3;.655556;27.783333;null;
1971-10-31;0;107.4;null;null;152.8;7.741935;null;175.7;976.854839;30.816129;25.095484;21.048387;74.41129;3;.645161;82.064516;null;
1971-11-30;9;80.1;null;null;175.2;7.955556;null;195.4;974.947778;30.463333;24.917333;21.146667;78.95;2;.611111;81.7;null;
1971-12-31;32;67;null;null;134.7;8.387097;null;199.5;974.819355;30.545161;24.90129;21.335484;83.709677;2;.365591;81;null;
1972-01-31;0;75.9;null;null;135;8.225806;20;295.9;975.545161;29.883871;24.329032;20.648387;81.330645;3;.494624;80.419355;null;
1972-02-29;0;63.7;null;null;136.6;8.609195;21;155;975.717241;29.475862;24.53931;21.286207;83.956897;2;.586207;72.37931;null;
1972-03-31;18;99.1;null;null;245.6;6.462366;null;19.5;975.550538;32.354839;25.749032;21.164516;75.862903;5;.677419;82.83871;null;
1972-04-30;27;98.4;null;null;260.5;4.211111;null;118.8;976.988889;30.743333;23.994;18.95;75.883333;3;.577778;80.833333;null;
1972-05-31;0;131.9;null;null;275.6;3.322581;null;33;977.627957;31.56129;23.673548;17.867742;71.822581;2;.451613;81.564516;null;
1972-06-30;0;136.9;null;null;270.6;2.622222;null;0;979.22;31.27;21.970667;15.27;70.225;3;.4;84;null;
1972-07-31;0;162.3;null;null;270.8;2.924731;null;7.5;978.853763;31.451613;22.487097;15.816129;64.846774;5;.494624;82.064516;null;
1972-08-31;14;192.2;null;null;287.6;1.483871;null;69.6;977.04086;33.683871;24.46;17.141935;57.556452;4;.612903;73.483871;null;
1972-09-30;0;208.7;null;null;208.5;3.1;null;29.9;976.375556;34.163333;26.586;20.273333;56.375;3;.522222;42.366667;null;
1972-10-31;0;114.8;null;null;208.1;6.473118;15;107.6;975.688172;33.06129;26.12129;21.341935;74.056452;6;.516129;82.774194;null;
1972-11-30;0;64.5;null;null;138.9;8.528736;19;324.2;974.554023;31.241379;25.494483;22.062069;84.439655;5;.436782;81.034483;null;
