Nome: BRASILIA
Codigo Estacao: 83377
Latitude: -15.78972221
Longitude: -47.92583332
Altitude: 1161.42
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;32;68.9;null;null;116.6;7.827957;27;470.1;null;884.989247;25.822581;20.847742;17.635484;82.08871;null;2.595699;63.139785;
1970-02-28;5;84.7;null;null;130.5;7.345238;14;236;null;885.908333;25.675;20.851429;17.407143;76.383929;null;2.860714;63.202381;
1970-03-31;9;112.9;null;null;215.9;5.44086;10;188.5;null;886.351613;27.458065;21.476774;17.125806;70.419355;null;2.695699;64.16129;
1970-04-30;9;80.7;null;null;169.1;6.566667;15;113.3;null;886.755556;25.98;20.321333;16.48;76.483333;7;2.58;64.433333;
1970-05-31;9;133.7;null;null;269.3;3.591398;0;0;null;887.639785;26.693548;19.929032;14.732258;62.25;null;2.446237;69.784946;
1970-06-30;9;136.5;null;null;261.1;3.133333;0;0;null;888.884444;26.623333;19.454;13.933333;59.641667;null;2.686667;69.333333;
1970-07-31;9;144;null;null;272.6;2.903226;0;0;null;890.107527;25.13871;18.08;12.570968;56.443548;null;3.617204;69.247312;
1970-08-31;9;202.6;null;null;265.2;3.301075;0;0;null;888.149462;26.719355;19.44;13.612903;47.75;null;3.555914;65.053763;
1970-09-30;5;170.1;null;null;182.2;5.611111;7;93;null;886.314444;27.99;21.534;16.52;58.591667;null;2.475556;52.303371;
1970-10-31;0;107.5;null;null;158.6;7.580645;20;206.6;null;884.707527;27.383871;21.436774;17.293548;71.887097;null;2.496774;57.417582;
1970-11-30;32;95.7;null;null;185.3;7.011111;19;230.8;null;883.435556;26.903333;21.288667;16.9;74.641667;null;2.735556;61.077778;
1970-12-31;5;106.7;null;null;197.9;6.236559;20;195.3;null;884.417204;27.729032;21.76;17.174194;72.637097;null;2.115054;65.526882;
1971-01-31;9;128.5;null;null;217.6;5.860215;14;201.1;null;884.723656;28.048387;21.879355;17.016129;67.346774;null;2.58172;64.31746;
1971-02-28;9;97;null;null;173.2;6.309524;16;130.7;null;884.854762;27.685714;21.314286;16.907143;72.741071;null;2.405952;63.428571;
1971-03-31;9;106;null;null;190.6;5.989247;17;190.7;null;884.898925;28.025806;21.647742;17.641935;73.080645;null;2.350538;65.16129;
1971-04-30;9;81.6;null;null;211.6;6.011111;19;125.9;null;885.695556;27.22;21.111333;17.133333;75.866667;6;2.371111;64.75;
1971-05-31;9;124.5;null;null;232.7;5.150538;4;33;null;887.63871;26.174194;19.752258;15.232258;64.677419;null;2.237634;65.322581;
1971-06-30;9;125.1;null;null;239.9;4.955556;4;33.8;null;888.11;25.843333;19.359333;14.536667;64.241667;null;2.433333;66;
1971-07-31;9;174.4;null;null;245.8;3.655914;2;61.8;null;888.458065;25.687097;18.706452;13.287097;54.620968;null;2.726882;66.290323;
1971-08-31;9;222.3;null;null;301.6;1.978495;2;1.3;null;888.205376;26.690323;19.68;13.670968;44.427419;null;3.001075;63.709677;
1971-09-30;0;156.2;null;null;191.5;4.877778;10;124;null;886.86;26.966667;20.375333;15.58;59.783333;null;2.495556;48.666667;
1971-10-31;0;76;null;null;114.1;8.344086;25;277.5;null;886.370968;24.832258;19.686452;16.609677;80.08871;null;2.513978;58.322581;
1971-11-30;0;63;null;null;96.6;8.644444;22;367.5;null;884.23;24.62;19.827333;16.97;83.633333;null;2.702222;63.433333;
1971-12-31;0;81.7;null;null;123.6;8.258065;24;286.6;null;884.424731;26.106452;20.738065;17.435484;79.91129;null;2.746237;64.709677;
1972-01-31;0;155.8;null;null;222.8;6.365591;9;21.7;null;884.586022;27.625806;21.406452;16.974194;67.556452;null;2.515054;67.419355;
1972-02-29;0;92.9;null;null;157.6;7.425287;20;91.6;null;884.994253;26.827586;20.958621;17.248276;76.87069;null;2.342529;66.896552;
1972-03-31;0;101.5;null;null;193.9;6.408602;17;105.8;null;885.122581;27.374194;21.550968;17.596774;74.048387;null;2.206452;64.677419;
1972-04-30;0;82;null;null;197.4;5.688889;14;137.8;null;886.104444;25.953333;19.964;15.903333;75.408333;7;2.037778;65.233333;
1972-05-31;9;110.6;null;null;238.4;4.376344;4;27.6;null;887.115054;25.929032;19.648387;15.006452;64.830645;null;2.627957;69.354839;
1972-06-30;9;137;null;null;278.8;2.788889;0;0;null;888.453333;26.096667;19.177333;13.893333;57.65;null;2.524444;69;
1972-07-31;9;164;null;null;248.7;3.903226;2;7.5;null;888.166667;26.003226;19.369677;14.264516;57.782258;null;2.768817;68.225806;
1972-08-31;9;236.4;null;null;270.1;2.83871;2;1.7;null;886.84086;28.254839;21.269032;15.26129;43.008065;null;3.07957;63.451613;
1972-09-30;9;202.6;null;null;211.5;4.877778;7;32.3;null;887.14;28.173333;21.74;16.553333;52.35;null;2.911111;57;
