Nome: ARINOS
Codigo Estacao: 83384
Latitude: -15.91527777
Longitude: -46.10722222
Altitude: 523
Situacao: Operante
Data Inicial: 1976-04-04
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1976-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-06-30;null;68;null;null;255.9;1.955056;null;0;null;30.62;null;null;69.891667;null;null;null;null;
1976-07-31;null;101.7;null;null;276.7;2.516129;1;2.8;null;30.412903;null;null;65.008065;null;null;null;null;
1976-08-31;null;137.5;null;null;276;1.516129;0;0;null;32.554839;null;null;57.935484;null;null;null;null;
1976-09-30;null;101.4;null;null;168.7;4.5;9;111;null;31.76;null;null;63.058333;null;null;null;null;
1976-10-31;null;57.3;null;null;178.3;5.488889;13;119;null;30.054839;null;null;68.467742;null;null;null;null;
1976-11-30;null;49.4;null;null;87;7.261905;18;192.6;null;28.885714;null;null;81.633929;null;null;null;null;
1976-12-31;null;55.4;null;null;118.1;6.698925;24;178.9;null;29.9;null;null;78.758065;null;null;null;null;
1977-01-31;null;72.6;null;null;158.8;6.365591;20;229.1;null;30.122581;null;null;77.048387;null;null;null;null;
1977-02-28;null;85.6;null;null;201;4.75;9;42.2;null;30.914286;null;null;67.491071;null;null;null;null;
1977-03-31;null;130.9;null;null;267.8;3;5;19.5;null;34.23871;null;null;61.822581;null;null;null;null;
1977-04-30;null;91.8;null;null;201.9;4.677778;8;55.9;null;31.386667;null;null;70.825;null;null;null;null;
1977-05-31;null;88.3;null;null;243.8;3.258065;4;47.1;null;29.629032;null;null;67.346774;null;null;null;null;
1977-06-30;null;67.5;null;null;199.9;3.123457;3;47.7;null;29.407407;null;null;67.981481;null;null;null;null;
1977-07-31;null;112.7;null;null;274.2;1.55914;0;0;null;30.212903;null;null;61.524194;null;null;null;null;
1977-08-31;null;141;null;null;268.9;1.72043;0;0;null;33.187097;23.781935;15.806452;56.024194;null;null;null;null;
1977-09-30;null;135.9;null;null;189.5;4.555556;5;36.6;null;31.86;24.670667;18.726667;58.841667;null;null;null;null;
1977-10-31;null;118;null;null;205.9;4.870968;9;131.8;null;32.251613;25.230968;20.225806;63.741935;null;null;null;null;
1977-11-30;null;73.3;null;null;149.1;6;17;160.6;null;30.978571;24.791429;20.57931;74.651786;null;null;null;null;
1977-12-31;null;65.4;null;null;135.4;6.698925;16;222;null;30.509677;24.870323;20.93871;75.701613;null;null;null;null;
1978-01-31;null;76.4;null;null;186.9;5.258065;14;288.8;null;30.554839;24.769032;20.490323;74.983871;null;null;null;null;
1978-02-28;null;null;null;null;null;6.381579;15;241.4;null;29.688;24.0592;20.607692;81.47;null;null;null;null;
1978-03-31;null;60.4;null;null;178.7;5.482759;15;205.9;null;29.868966;24.154483;20.124138;75.241379;null;null;null;null;
1978-04-30;null;55.5;null;null;166.2;5.566667;12;191.1;null;29.076667;23.272667;19.4;79.166667;null;null;null;null;
1978-05-31;18;61.6;null;null;197.2;4.397849;9;83.8;960.527174;29.016667;22.671333;18.206452;77.083333;5.1;1.781522;null;null;
1978-06-30;18;65.5;null;null;237.1;3.360465;1;.2;958.562353;27.524138;20.47;14.793103;70.928571;5.1;1.795294;null;null;
1978-07-31;18;62.2;null;null;234.2;3.892473;3;10.6;957.344086;28.477419;20.611613;14.774194;72.516129;13.4;2.589247;null;null;
1978-08-31;18;115.5;null;null;274;2.266667;null;0;958.043333;30.626667;21.90069;14.433333;65.948276;6.7;2.143333;null;null;
1978-09-30;9;null;null;null;230.4;3.088608;null;0;956.28481;31.651852;24.429231;18.007692;62.682692;7.2;2.734177;3.130435;null;
1978-10-31;9;105.6;null;null;186.6;4.879121;15;212.1;953.552688;32.270968;25.09931;20.158621;71.080645;8.6;2.051613;null;null;
1978-11-30;9;77.8;null;null;137.6;6.134831;14;251.1;953.444444;30.226667;24.213913;20.46087;75.75;7.2;2.09186;null;null;
1978-12-31;9;52.2;null;null;157.9;6.612903;25;412.2;953.510753;30.245161;24.171613;20.077419;78.516129;6.2;1.624731;62.419355;null;
1979-01-31;36;41.5;null;null;82.3;7.544304;21;646.6;946.350633;28.548148;23.686923;20.392593;88.34;5.1;1.896203;49.716981;null;
1979-02-28;9;null;null;null;136.1;6.106667;14;136.7;946.910667;30.44;24.7024;21.088;77.44;6.2;2.150667;61.8;null;
1979-03-31;9;41.6;null;null;141.6;6;13;132.1;947.507865;30.870968;24.838621;20.974194;77.715517;9.3;1.875281;64.576271;null;
1979-04-30;18;43;null;null;220.8;4.107143;2;9.4;948.538095;31.492857;24.115714;19.221429;71.866071;4.1;1.229762;68.928571;null;
1979-05-31;9;78.5;null;null;211.7;3.883721;4;44.8;949.968605;30.475862;23.091429;17.455172;72.571429;5.1;1.522093;67.368421;null;
