Nome: MONTE AZUL
Codigo Estacao: 83388
Latitude: -15.160374
Longitude: -42.866344
Altitude: 623.22
Situacao: Desativada
Data Inicial: 1974-02-28
Data Final: 2016-01-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1974-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1974-03-31;null;123.5;null;null;148.4;7.01087;15;99.2;null;29.590323;24.71913;20.573913;71.403226;null;null;45.725806;null;
1974-04-30;null;180.8;null;null;257.2;5.111111;5;10.4;null;30.833333;null;null;59.033333;null;null;46.333333;null;
1974-05-31;null;219.4;null;null;232.6;4.967742;2;1.2;null;29.916129;null;null;57.298387;null;null;46.612903;null;
1974-06-30;9;228.9;null;null;276.5;3.277778;0;0;null;29.03;null;null;51.333333;6.1;2.671111;49;null;
1974-07-31;14;267.6;null;null;293.1;3.462366;1;.2;null;27.158065;null;null;49.629032;8;3.278495;48.709677;null;
1974-08-31;9;281.8;null;null;291.7;3.548387;2;1.4;null;29.725806;null;null;47.483871;7.5;3.021505;50;null;
1974-09-30;0;328.7;null;null;267.6;3.643678;null;0;null;31.863333;null;null;41.325;9.8;3.586364;50;null;
1974-10-31;9;210.3;null;null;188.5;5.924731;11;156.3;null;30.73871;24.966316;20.757895;60.741935;8;1.894624;46.935484;null;
1974-11-30;9;126.6;null;null;199.3;6.235955;13;185.5;null;28.316667;23.432;19.706667;70.741667;8.3;1.631111;48.728814;null;
1974-12-31;0;108.9;null;null;229.4;6.73913;11;169.6;null;29.112903;23.665161;19.632258;72.846774;9.6;1.76129;45.919355;null;
1975-01-31;5;130.4;null;null;256.5;5.880435;12;127.6;null;30.135484;24.136129;19.919355;69.975806;5.1;1.505376;47.419355;null;
1975-02-28;5;88.4;null;null;240.8;5.469136;13;106.5;null;30.475;24.147143;19.739286;74.330357;5.3;1.146429;47.909091;null;
1975-03-31;9;201.8;null;null;275.4;4.795699;7;26.7;null;32.26129;25.774194;21.154839;58.717742;5.1;1.809677;48.629032;null;
