Nome: GUIRATINGA
Codigo Estacao: 83409
Latitude: -16.35
Longitude: -53.93
Altitude: 750
Situacao: Desativada
Data Inicial: 1976-06-30
Data Final: 1978-04-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1976-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-07-31;null;null;null;null;null;null;null;null;null;30.43871;null;11.296774;null;null;null;null;null;
1976-08-31;null;null;null;null;null;null;null;null;null;33.232258;null;14.16129;null;null;null;null;null;
1976-09-30;null;null;null;null;null;null;null;null;null;31.44;null;17.06;null;null;null;null;null;
1976-10-31;null;null;null;null;null;null;null;null;null;32.258065;null;18.63871;null;null;null;null;null;
1976-11-30;null;null;null;null;null;null;null;null;null;30.066667;null;19.386667;null;null;null;null;null;
1976-12-31;null;null;null;null;null;null;null;null;null;30.283871;null;20.03871;null;null;null;null;null;
1977-01-31;18;null;null;null;null;10;18;510.5;null;30.232258;null;20.064516;null;3;.325806;null;null;
1977-02-28;0;null;null;null;null;10;16;203.8;null;31.407143;null;18.921429;null;0;0;null;null;
1977-03-31;0;null;null;null;null;7.2;15;254.6;null;33.673333;null;19.490323;null;0;0;null;null;
1977-04-30;0;null;null;null;null;null;10;172.2;null;31.98;null;18.546667;null;0;0;null;null;
1977-05-31;0;null;null;null;null;null;7;137.6;null;30.135484;null;15.096774;null;0;0;null;null;
1977-06-30;0;null;null;null;null;null;3;42.2;null;31.44;null;16.406667;null;0;0;null;null;
1977-07-31;0;null;null;null;null;null;0;0;null;30.554839;null;17.896774;null;0;0;null;null;
1977-08-31;0;null;null;null;null;null;0;0;null;29.967742;null;18.83871;null;0;0;null;null;
1977-09-30;0;null;null;null;null;null;1;37;null;28.976667;null;18.713333;null;0;0;null;null;
1977-10-31;0;null;null;null;null;null;0;0;null;29.206667;null;18.690323;null;0;0;null;null;
1977-11-30;0;null;null;null;null;null;1;147;null;31.266667;null;19.406667;null;0;0;null;null;
1977-12-31;0;null;null;null;null;null;13;253.4;null;31.806452;null;20.219355;null;0;0;null;null;
1978-01-31;0;null;null;null;null;null;4;97.4;null;31.046667;null;20.689655;null;0;0;null;null;
1978-02-28;0;null;null;null;null;null;3;30.6;null;28.864286;null;19.385185;null;0;0;null;null;
1978-03-31;0;null;null;null;null;null;1;12.4;null;29.096774;null;19.4;null;0;0;null;null;
1978-04-30;0;null;null;null;null;null;0;0;null;29.92;null;19.686667;null;0;0;null;null;

