Nome: UNAI
Codigo Estacao: 83428
Latitude: -16.36638888
Longitude: -46.88944444
Altitude: 595.59
Situacao: Operante
Data Inicial: 1976-04-06
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1976-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1977-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1977-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1977-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1977-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1977-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1977-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1977-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1977-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1977-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1977-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1977-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1977-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1978-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1978-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1978-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1978-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1978-05-31;14;112.2;null;null;214.2;4.23913;5;32.2;null;28.741935;21.824516;15.980645;74.298387;5;1.441758;67.741935;null;
1978-06-30;0;105.1;null;null;249.5;2.888889;0;0;null;27.136667;19.480667;12.706667;73.6;5;1.183333;68.833333;null;
1978-07-31;0;127.5;null;null;260.7;2.788889;1;7.7;null;28.293333;20.232;13.313333;68.15;7;1.533333;70;null;
1978-08-31;0;201.9;null;null;277.2;1.387097;null;0;null;null;null;12.419355;57.040323;9;1.365591;69.354839;null;
1978-09-30;0;235.5;null;null;236.4;2.677778;4;17.3;null;null;null;13.513333;55.216667;7;2.191111;68.333333;null;
1978-10-31;0;190;null;null;null;4.795699;10;121.3;null;null;null;16.583871;61.233333;7;1.419355;65.645161;null;
1978-11-30;0;119;null;null;147.1;6.835294;8;75.7;null;null;null;19.643333;69.1;5;.869048;60.866667;null;
1978-12-31;0;78.5;null;null;177.1;6.913043;20;247.2;null;29.265;23.922;18.490323;79.058333;12;1.173913;66.16129;null;
1979-01-31;0;61.8;null;null;110.9;7.471264;20;410.4;null;29.613793;23.52069;17.844828;81.75;5;1.057471;65.517241;null;
1979-02-28;0;null;null;null;null;7.590909;10;154.1;null;30.7;24.718182;19.654545;75.875;9;1.545455;null;null;
1979-03-31;0;96.9;null;null;183.4;6.333333;10;97.9;null;31.282759;24.642759;19.648276;78.913793;9;.862069;68.223684;null;
1979-04-30;0;99.3;null;null;161.2;4.917647;6;89.5;null;30.628571;23.425;17.310714;81.696429;5;.788235;68.647059;null;
1979-05-31;0;131.7;null;null;null;4.105882;6;36.2;null;29.925;21.856429;14.127586;79.276786;7;1.2;68.823529;null;
1979-06-30;14;133;null;null;209.8;2.609195;null;0;null;27.155172;19.157143;10.825;80.043103;7;2.321839;68.90625;null;
1979-07-31;0;null;null;null;216.5;4.146667;2;2.8;null;28.776;20.2928;12.256;78.5;5;1.426667;69.130435;null;
1979-08-31;0;null;null;null;null;4.293103;null;0;null;31.721053;22.265263;12.773684;80.447368;7;1.293103;67.589286;null;
1979-09-30;0;null;null;null;null;5.642857;1;43.6;null;31.878947;24.945263;17.994737;79.644737;7;1.546429;63.425926;null;
1979-10-31;0;null;null;null;166.2;5.052632;4;23.4;null;33.148;26.1792;19.108;80.7;9;1.381579;68.328767;null;
1979-11-30;5;null;null;null;null;7.074074;8;133.1;null;30.627778;24.731111;19.405556;88.763889;7;1.62963;65.196078;null;
