Nome: MONTES CLAROS
Codigo Estacao: 83437
Latitude: -16.68638888
Longitude: -43.84388888
Altitude: 645.87
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;27;41.2;null;null;142.7;7.652174;19;210.4;null;null;28.33871;23.056129;19.319355;81.475806;9;2.37957;62.129032;
1970-02-28;36;74.8;null;null;185.5;6.928571;4;20.5;null;null;29.567857;23.31;18.392857;69.991071;9;2.702381;69.107143;
1970-03-31;9;123.2;null;null;263.8;4.526882;6;7.1;null;null;30.86129;23.398065;17.041935;63.903226;7;2.290323;69.516129;
1970-04-30;23;98.9;null;null;186.7;5.711111;8;26.9;null;null;29.093333;23.296;17.806667;69.408333;9;2.4;68.644068;
1970-05-31;36;136.8;null;null;243.2;3.774194;0;0;null;null;29.53871;21.612632;14.863158;62.379032;9;2.225806;70.225806;
1970-06-30;9;121;null;null;232.2;2.866667;1;.8;null;945.340323;28.483333;20.382667;13.326667;59.866667;6;2.011111;70;
1970-07-31;9;129;null;null;211.4;4.752688;0;0;null;946.906452;26.683871;19.289032;12.832258;58.91129;9;3.290323;70;
1970-08-31;14;160.6;null;null;247;4.129032;0;0;null;944.890323;28.03871;20.694839;13.503226;50.798387;9;3.591398;69.677419;
1970-09-30;9;163.9;null;null;213.6;5.333333;5;57;null;942.174444;30.666667;23.516667;17.43;54.516667;9;3.011111;61.166667;
1970-10-31;5;92.5;null;null;142.2;8.107527;16;198.8;null;939.946237;29.025806;23.14;18.741935;73.467742;7;2.086022;61.709677;
1970-11-30;14;82;null;null;188.4;7.122222;13;185.1;null;938.406667;28.536667;22.882667;18.813333;76.966667;7;2.4;66.683333;
1970-12-31;14;100.6;null;null;null;5.688172;12;153.3;null;939.135484;30.396774;23.820645;18.648387;72.169355;7;1.903226;61.193548;
1971-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-02-29;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-01-31;18;90.6;null;null;265.7;6.576087;10;67.7;null;940.618478;31.848387;24.870968;19.13871;69.491935;9;1.826087;60.887097;
1973-02-28;14;79.6;null;null;221.7;6.916667;10;167.2;null;940.061905;31.303571;24.653571;19.675;74.464286;5;1.809524;48.107143;
1973-03-31;9;53.3;null;null;182.1;8.139785;18;228.6;null;939.133333;29.648387;23.912903;20.048387;81.717742;6;2.075269;60.241935;
1973-04-30;5;67;null;null;292.5;5.688889;2;2.8;null;940.881111;30.37;23.179333;17.3;72.716667;5;1.877778;68.166667;
1973-05-31;18;78.6;null;null;273.8;5.376344;1;13.7;null;942.22043;29.03871;21.425161;14.841935;70.854839;7;1.956989;65.483871;
1973-06-30;36;86.7;null;null;277.7;4.555556;1;.1;null;942.614444;29.563333;21.177333;13.77;64.8;5;2.188889;58.583333;
1973-07-31;9;99.2;null;null;263.5;5.11828;0;0;null;943.826882;28.322581;20.169677;12.512903;60.233871;9;2.677419;53.709677;
1973-08-31;5;132.8;null;null;292.7;3.516129;0;0;null;942.592473;30.925806;21.665161;12.590323;49.225806;7;2.064516;22.419355;
1973-09-30;14;134.7;null;null;209.9;5.088889;4;23.1;null;942.7;30.373333;22.646667;14.926667;57.708333;12;3.522222;27.866667;
1973-10-31;5;57.5;null;null;121.7;8.634409;16;203.6;null;939.502151;27.948387;22.345161;17.616129;72.137097;9;2.967742;53.387097;
1973-11-30;5;54.2;null;null;142.4;8.444444;20;308.1;null;939.251111;28.473333;22.938667;18.403333;78.325;7;2.188889;65.533333;
1973-12-31;5;65.3;null;null;223.7;8.075269;10;123;null;939.194624;29.812903;23.603226;18.287097;75.193548;7;2.688172;69.83871;
1974-01-31;9;73.3;null;null;235.6;7.258065;10;158;null;939.129032;29.806452;23.423871;17.851613;74.387097;7;2.526882;68.709677;
1974-02-28;5;84.1;null;null;233.5;6.47619;6;83.9;null;939.17381;30.639286;23.75;17.746429;66.553571;7;2.440476;68.214286;
1974-03-31;0;43.7;null;null;123.3;9.075269;21;242;null;938.625806;28.090323;22.838065;18.86129;80.903226;7;2.134409;65.806452;
1974-04-30;5;68.6;null;null;251.1;5.844444;3;21.8;null;940.538889;29.553333;22.742667;16.693333;71.475;5;1.733333;70;
1974-05-31;5;68.8;null;null;250.5;6.053763;2;26.8;null;942.949462;28.251613;21.074194;14.93871;72.314516;7;2.110753;68.709677;
1974-06-30;5;84.4;null;null;274.6;3.911111;0;0;null;943.124444;27.763333;18.906667;11.226667;63.866667;9;2.244444;60.166667;
1974-07-31;9;109;null;null;267.3;4.290323;0;0;null;946.217204;26.632258;18.627742;10.735484;54.862903;9;3.11828;61.935484;
1974-08-31;23;157.5;null;null;283;5.021505;3;3.4;null;943.260215;29.309677;20.805161;12.106452;51.459677;13;2.930108;34.112903;
1974-09-30;0;190.1;null;null;284.1;5.055556;0;0;null;942.264444;31.326667;23.285333;15.216667;43.583333;9;3.677778;28.5;
1974-10-31;0;129;null;null;181.3;7.741935;14;256.8;null;939.327957;30.283871;23.75871;17.66129;63.717742;9;2.258065;44.177419;
1974-11-30;5;83.8;null;null;189.6;7.144444;10;145.1;null;939.178889;28.45;22.486667;16.89;73.333333;9;2.7;64.666667;
1974-12-31;5;79;null;null;182.3;7.989247;15;210;null;939.082796;28.46129;22.851613;17.974194;76.741935;9;2.172043;64.209677;
1975-01-31;9;96.5;null;null;248.7;7.494624;9;81.1;null;939.521505;29.803226;23.527742;17.9;71.508065;9;2.752688;64.112903;
1975-02-28;5;75.4;null;null;218.2;6.892857;11;77.4;null;939.559524;30.457143;24.065714;18.778571;75.026786;9;2.25;57.589286;
1975-03-31;32;126.5;null;null;268.8;6.086022;7;4.9;null;940.486022;31.870968;24.677419;18.348387;63.927419;8;1.827957;67.419355;
1975-04-30;0;73.1;null;null;199.1;6.766667;9;110.5;null;940.111111;28.216667;21.949655;17.036667;77.448276;7;1.666667;58.033333;
1975-05-31;0;98.4;null;null;260.3;4.511628;1;5.9;null;942.664706;28.020833;20.120833;13.677419;69.322917;9;2.070588;65;
1975-06-30;0;127.3;null;null;265.5;3.876404;null;0;null;944.696629;27.603448;19.413571;12.446667;65.741071;7;1.47191;58.666667;
1975-07-31;0;148.5;null;null;273.6;3.952381;1;.1;null;945.135714;26.727586;18.729231;11.448387;62.02;7;1.940476;58.793103;
1975-08-31;9;204.2;null;null;307.6;4;null;0;null;944.518478;28.743333;20.869333;12.509677;50.908333;9;2.51087;65.483871;
1975-09-30;5;223;null;null;276.7;3.738636;null;0;null;943.296591;30.04;22.581379;14.703333;49;12;2.75;46.898305;
1975-10-31;0;128.6;null;null;184.4;7.494624;13;145.3;null;939.193548;30.632258;24.031613;18.848387;65.419355;12;2.182796;45.806452;
