Nome: ARACUAI
Codigo Estacao: 83442
Latitude: -16.84888888
Longitude: -42.06083333
Altitude: 317.67
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;0;76.1;null;null;192.1;7.204301;14;123.8;976.694624;30.225806;24.817419;21.183871;85.943548;4;1.354839;47.096774;null;
1970-02-28;0;110.4;null;null;228.5;6.464286;9;57.6;978.119048;31.510714;25.358571;20.928571;80;4;1.321429;56.428571;null;
1970-03-31;36;143.4;null;null;237.9;5.182796;6;11.9;978.23871;32.887097;25.320645;19.7;74.395161;6;1.526882;58.064516;null;
1970-04-30;27;99;null;null;187.3;6.722222;6;118.8;978.555556;30.81;24.23;19.69;76.675;4;1.066667;56.666667;null;
1970-05-31;23;91.2;null;null;228.5;5.182796;3;2.1;979.797849;30.316129;22.789032;17.132258;75.564516;5;1.033333;59.516129;null;
1970-06-30;32;100.9;null;null;198.2;5.277778;1;7;981.835556;29.236667;21.864667;15.763333;74.116667;5;1.2;59.666667;null;
1970-07-31;36;113;null;null;158.8;5.956989;6;2.5;984.248387;27.477419;20.785806;15.577419;77.064516;5;1.666667;58.548387;null;
1970-08-31;14;145.1;null;null;197.8;5.182796;3;4.8;982.103226;28.935484;21.99871;15.987097;72.975806;5;1.72043;59.5;null;
1970-09-30;36;187.2;null;null;168.8;5.544444;2;3.1;979.331111;30.643333;24.523333;19.53;71.933333;6;1.822222;50.166667;null;
1970-10-31;18;121.5;null;null;122.6;7.473118;12;193.5;976.625806;29.722581;24.415484;20.874194;82.596774;6;1.311828;52.258065;null;
1970-11-30;0;83.7;null;null;179.7;6.411111;14;324.7;975.002222;29.446667;24.098667;20.46;86.066667;6;1.3;52.833333;null;
1970-12-31;14;93.9;null;null;254.9;4.88172;7;105.6;975.505376;31.658065;25.085161;20.293548;83.024194;5;1.387097;57.580645;null;
