Nome: JATAI
Codigo Estacao: 83464
Latitude: -17.9236111
Longitude: -51.71749999
Altitude: 669.84
Situacao: Operante
Data Inicial: 1978-11-23
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1978-11-30;null;null;null;null;null;null;null;34.8;null;null;null;null;null;null;null;null;null;
1978-12-31;null;139.9;null;null;null;7.11828;22;367;null;28.841176;23.208235;19.417241;77.790323;null;null;66.774194;null;
1979-01-31;null;95.9;null;null;null;7.121212;23;299;null;null;null;20.123333;null;null;null;70;null;
1979-02-28;null;null;null;null;null;6.052632;15;398.4;null;30.088889;23.855556;19.377273;79.166667;null;null;null;null;
1979-03-31;null;null;null;null;null;5.957143;null;97.6;null;30.152174;23.54087;19.13913;79.717391;null;null;69.565217;null;
1979-04-30;null;null;null;null;null;null;null;1.7;null;30.0625;22.385;16.85;null;null;null;null;null;
1979-05-31;null;null;null;null;null;4.818182;null;7.6;null;29.266667;20.582222;14.544444;75.897059;null;null;null;null;
1979-06-30;null;188.8;null;null;null;2.453488;null;0;null;28.617241;17.817241;9.665517;64.616071;null;null;69.137931;null;
1979-07-31;null;null;null;null;null;3.625;null;5.9;null;29.010526;19.493333;12.084211;63.861111;null;null;null;null;
1979-08-31;null;null;null;null;null;1.930233;null;7.2;null;null;null;null;null;null;null;null;null;
1979-09-30;null;null;null;null;null;5.363636;null;79.6;null;29.986957;22.75;17.165217;70.869048;null;null;69.555556;null;
1979-10-31;null;null;null;null;null;5.946667;null;39.8;null;32.064;24.5;18.652;68.076087;null;null;69.615385;null;
1979-11-30;null;null;null;null;null;5.935065;null;266.4;null;30.023077;23.440769;18.346154;74.45;null;null;69.607843;null;
1979-12-31;null;null;null;null;null;7.515152;20;237.2;null;30.130435;23.937143;19.530435;81.690476;null;null;70;null;
1980-01-31;null;125.7;null;null;null;6.065217;22;218;null;29.374194;23.605161;19.429032;79.008065;null;null;68.709677;null;
1980-02-29;null;null;null;null;null;7.162791;20;292.6;null;29.3;23.696552;19.865517;81.330357;null;null;67.192982;null;
1980-03-31;null;140.2;null;null;null;4.55914;null;146.1;null;31.235484;23.376774;17.93871;78.508065;null;null;69.677419;null;
1980-04-30;null;144.3;null;null;null;5.411765;null;123.7;null;29.786667;22.503448;17.326667;78.803571;null;null;69.473684;null;
1980-05-31;null;182;null;null;null;3.626374;null;27.2;null;28.66129;20.286667;14.364516;74.491667;null;null;69.666667;null;
1980-06-30;null;186.9;null;null;null;2.222222;null;20.8;null;28.096667;18.14;10.893333;70.241667;null;null;69;null;
