Nome: RIO VERDE
Codigo Estacao: 83470
Latitude: -17.78527777
Longitude: -50.96472222
Altitude: 780.04
Situacao: Operante
Data Inicial: 1970-12-31
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-11-30;0;93.7;null;null;148.8;4.58427;null;98.5;null;29.566667;23.264;18.383333;73.633333;10;1.119318;71.7;null;
1971-12-31;0;57.1;null;null;80.3;6.763441;24;367.1;null;28.164516;22.941935;19.412903;84.325;7;.516129;72.677419;null;
1972-01-31;0;79.2;null;null;134.5;6.488372;20;217.3;null;28.529032;22.528387;18.725806;85.475;7;.526882;71.806452;null;
1972-02-29;23;56.1;null;null;null;7.367816;21;203.8;null;28.417241;22.662069;19.144828;85.517241;7;.494253;75.137931;null;
1972-03-31;0;84.7;null;null;220.3;5.268817;15;118.4;null;30.637931;23.731724;19.116129;79.701613;3;.301075;71.580645;null;
1972-04-30;0;97.3;null;null;246.6;3.644444;null;75;null;29.02;21.653333;16.423333;75.325;5;.166667;72.866667;null;
1972-05-31;0;148.7;null;null;264;2.741935;null;28.1;null;29.496774;21.914839;16.622581;67.596774;1;.053763;69.483871;null;
1972-06-30;0;176.4;null;null;257.6;1.977778;null;0;null;29.441379;21.39931;15.333333;63.603448;1;.044944;69.833333;null;
1972-07-31;0;181.7;null;null;243.8;3.451613;null;26.1;null;28.380645;20.64129;14.758065;64.927419;5;.268817;68.741935;null;
1972-08-31;5;258.4;null;null;274.5;2.634409;null;10;null;30.519355;22.356774;16.077419;60.604839;7;.424731;61.580645;null;
1972-09-30;23;227.6;null;null;201.4;4.033333;null;53.4;null;30.306667;23.185333;17.236667;67.191667;5;.8;54.4;null;
1972-10-31;5;158.4;null;null;194;5.580645;16;242;null;30.283871;23.870968;19.283871;75.556452;10;.88172;67.83871;null;
1972-11-30;9;81.1;null;null;124.1;7.322222;22;357.2;null;29.27;23.713333;19.95;84.391667;10;.55;81.9;null;
1972-12-31;36;76.6;null;null;182.7;6.526882;20;285.5;927.939623;29.909677;23.801935;20.203226;84.370968;5;.734409;76.612903;null;
