Nome: ITAMARANDIBA
Codigo Estacao: 83488
Latitude: -17.85972222
Longitude: -42.85277777
Altitude: 919.37
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;32;null;null;null;null;8.215054;15;166.9;886.252688;27.048387;21.571613;18.083871;86;3;1.258065;21.666667;null;
1970-02-28;32;null;null;null;null;6.916667;3;11.7;886.34881;28.15;21.472857;17.514286;80.526786;3;1.571429;20;null;
1970-03-31;32;null;null;null;null;5.107527;4;133.6;886.434409;28.829032;21.124516;15.825806;80.072581;3;1.236559;20;null;
1970-04-30;5;null;null;null;null;7.055556;5;41;886.565556;26.47;19.844667;15.733333;83.6;5;1.466667;19.666667;null;
1970-05-31;5;null;null;null;null;4.731183;0;0;886.710753;26.680645;18.685806;13.041935;80.467742;3;1.494624;20;null;
1970-06-30;5;null;null;null;null;4.888889;0;0;887.003333;25.45;17.564;11.783333;79.108333;3;1.266667;20.5;null;
1970-07-31;5;null;null;null;null;5.27957;4;9.1;887.483871;23.019355;15.918065;11.258065;81.669355;4;1.83871;20;null;
1970-08-31;5;null;null;null;null;5.698925;5;9.5;887.17957;24.409677;16.952258;11.477419;77.306452;5;1.634409;20;null;
1970-09-30;5;null;null;null;null;6.777778;3;28.3;886.627778;26.613333;19.553333;14.486667;75.866667;3;1.622222;20;null;
1970-10-31;5;null;null;null;null;7.602151;17;257.8;886.251613;26.7;20.522581;16.396774;82.346774;3;1.226882;20.847458;null;
1970-11-30;32;null;null;null;null;7.566667;16;303.9;886.12;26.833333;20.728;16.876667;82.758333;4;1.222222;20;null;
1970-12-31;32;null;null;null;null;5.88172;7;96.8;886.103226;28.6;21.884516;16.574194;79.629032;4;1.276344;20;null;
1971-01-31;5;99.8;null;null;284.7;4.806452;6;93;886.046237;29.277419;21.962581;16.4;73.725806;4;1.311828;20;null;
1971-02-28;14;139.4;null;null;264.7;4.952381;3;34.9;885.903571;29.682143;22.431429;17.110714;73.455357;5;1.559524;20;null;
1971-03-31;14;101.7;null;null;230.9;5.376344;7;121.3;886.027957;28.190323;21.969677;17.796774;77.185484;3;1.335484;20.806452;null;
1971-04-30;14;106.7;null;null;201.4;6.133333;7;36.4;886.174444;27.176667;21.070667;16.73;77.266667;5;1.466667;20;null;
1971-05-31;14;93.1;null;null;198.9;4.849462;2;5.2;886.715054;25.406452;18.325806;13.029032;73.032258;5;1.344086;20;null;
1971-06-30;14;84.2;null;null;179;5.977778;3;7.2;886.878889;24.5;17.790667;12.72;75.65;5;1.511111;20;null;
1971-07-31;null;null;null;null;null;null;3;1.5;886.99375;23.666667;16.944762;11.545455;76.380952;5;null;null;null;
1971-08-31;14;117.7;null;null;219.5;4.376344;3;13.3;887.053763;23.916129;16.770968;11.377419;72.370968;8;1.978495;20;null;
1971-09-30;14;102.7;null;null;160.8;5.433333;9;64;886.807778;25.12;18.328;13.526667;74.241667;5;1.422222;19.833333;null;
1971-10-31;14;73;null;null;105.3;8.204301;15;217.1;886.668817;23.851613;18.897419;15.583871;79.185484;4;1.731183;20;null;
1971-11-30;14;49.3;null;null;86.4;8.977778;26;531.8;886.385556;24.033333;19.746;16.89;86.441667;4;1.477778;20;null;
1971-12-31;32;58.6;null;null;134.8;7.903226;20;293.3;886.15914;26.23871;21.012258;17.603226;83.104839;5;1.397849;20;null;
1972-01-31;5;98.4;null;null;243.3;5.225806;7;67.4;886.052688;28.806452;21.474839;16.235484;73.943548;3;1.494624;20;null;
1972-02-29;5;73.6;null;null;195.3;5.977011;8;111.4;886.088506;28.17931;21.717241;17.234483;75.525862;3;1.16092;20;null;
1972-03-31;14;77.7;null;null;230.8;4.666667;10;155.5;886.05914;28.335484;21.720645;17.129032;77.879032;4;1.290323;20;null;
1972-04-30;14;59.5;null;null;172.7;6.044944;9;109.9;886.479775;25.436667;19.490345;15.36;80.913793;4;1.629213;20;null;
1972-05-31;14;66.4;null;null;215;4.817204;3;5.1;886.802151;24.429032;17.586452;12.729032;78.201613;6;1.258065;19.709677;null;
1972-06-30;14;67.4;null;null;215.7;3.144444;1;1.1;886.891111;25.16;17.814667;12.563333;77.066667;4;1.088889;20;null;
1972-07-31;14;67.4;null;null;196.2;4.924731;8;31.2;886.954839;23.903226;17.055484;12.212903;79.040323;4;1.387097;19.704918;null;
1972-08-31;14;97.4;null;null;225.5;3.645161;3;4.6;886.722581;26.412903;18.18;12.067742;68.879032;4;1.397849;19.83871;null;
1972-09-30;14;100.5;null;null;175.4;5.677778;7;31.9;null;25.573333;18.905333;14.423333;71.175;4;1.7;20;null;
1972-10-31;14;100.1;null;null;170;6.258065;10;31.9;null;27.754839;21.216129;16.296774;72.483871;4;1.376344;19.419355;null;
1972-11-30;32;65.2;null;null;111.8;8.244444;21;242.3;885.91573;27.5;22.054667;18.653333;79.933333;4;1.222222;19.683333;null;
1972-12-31;14;68.9;null;null;139.9;7.55914;16;289.2;886.068817;27.083871;21.524516;17.56129;79.774194;3;1.301075;20;null;
1973-01-31;5;95.4;null;null;236;4.655914;9;96.7;885.916129;30.551613;23.160645;17.996774;73.354839;4;1.16129;19.709677;null;
1973-02-28;5;86.6;null;null;189.4;5.559524;6;15;885.92381;29.785714;23.282857;19.107143;75.053571;3;1.345238;20;null;
1973-03-31;5;77.8;null;null;151.3;7.225806;15;179.3;885.321505;28.580645;22.615484;19.070968;81.879032;3;1.344086;20;null;
1973-04-30;14;90.5;null;null;236;3.9;1;12.6;885.77;27.966667;21.442667;16.953333;78;3;1.466667;20;null;
1973-05-31;14;87;null;null;208.7;4.44086;4;8.5;886.648387;25.693548;18.950323;14.23871;78.096774;6;1.903226;20;null;
1973-06-30;14;86.7;null;null;176.9;3.844444;2;9.1;886.685556;25.686667;18.453333;13.113333;76.358333;4;1.411111;19.75;null;
1973-07-31;14;105.8;null;null;215.5;3.935484;3;3.2;886.941935;24.825806;17.307097;12.103226;73.346774;10;1.817204;20;null;
1973-08-31;5;124.3;null;null;235.9;2.419355;0;0;886.747312;27.054839;18.276774;11.490323;65.653226;4;1.451613;19.693548;null;
1973-09-30;14;95.2;null;null;127;4.555556;5;9.7;886.660494;26.337037;19.30963;14.066667;67.87037;4;1.820988;20;null;
1973-10-31;14;79.5;null;null;89.7;8.139785;18;172.8;885.286022;24.941935;19.471613;15.967742;79.322581;6;1.462366;20.645161;null;
1973-11-30;14;54.5;null;null;81.7;8.633333;19;175.1;886.318889;25.3;20.276;17.133333;84.316667;3;1.123333;20;null;
1973-12-31;14;84.8;null;null;171.8;7.16129;16;177.5;886.098925;28.270968;21.754194;17.422581;80.346774;2.1;.884946;20.806452;null;
1974-01-31;14;84.1;null;null;194.9;7.548387;20;150.2;null;27.870968;21.394194;17.222581;79.870968;5.7;1.067742;20.806452;null;
1974-02-28;14;96.1;null;null;216.8;5.345238;7;56.6;null;28.075;21.489286;16.857143;76.660714;1.5;.958333;20;null;
1974-03-31;14;73.3;null;null;98.3;8.623656;19;175.4;null;26.567742;21.290667;18.013333;84.193548;2.1;.751087;20.806452;null;
1974-04-30;14;81.3;null;null;192.5;5.177778;3;7.5;null;26.846667;20.452857;15.607143;79.041667;1.5;.794444;20.5;null;
1974-05-31;14;74.4;null;null;162.4;5.72043;4;11.5;null;25.26129;19.05871;14.974194;80.741935;2.1;.721505;20;null;
1974-06-30;14;null;null;null;null;3.492754;1;1;null;23.843478;15.885217;10.278261;76.054348;1.5;.768116;20;null;
1974-07-31;14;107.6;null;null;231.2;3.978495;3;2.6;null;23.032258;15.543226;9.774194;70.935484;2.1;.813978;19.693548;null;
1974-08-31;14;118.6;null;null;207.4;4.139785;4;14.1;null;25.206452;17.331613;11.580645;70.854839;1.5;.77957;20;null;
1974-09-30;14;149.8;null;null;223.4;4.177778;1;.6;null;27.6;19.672;13.64;63.575;1.5;.855556;20;null;
1974-10-31;32;120.3;null;null;143.4;6.946237;13;234.5;null;27.525806;21.118065;16.303226;73.137097;2.1;.694624;20.806452;null;
1974-11-30;14;97.5;null;null;176.4;7.088889;14;138.6;null;26.68;20.228;15.78;76.825;2.1;.736667;20;null;
1974-12-31;14;80.7;null;null;125.2;8.290323;14;139.5;null;26.387097;20.73871;16.848387;81.387097;2.1;.770968;20;null;
1975-01-31;14;92.8;null;null;183.7;6.333333;13;173.7;null;27.709677;21.276129;16.767742;77.814516;1.5;.698925;20;null;
1975-02-28;32;89.9;null;null;198.5;5.690476;9;87.2;null;29.014286;22.245714;17.464286;76.428571;2.1;.655952;20;null;
1975-03-31;14;120;null;null;219.6;5.193548;4;41.9;null;28.677419;21.816774;17.116129;73.201613;1.5;.736559;19.758065;null;
1975-04-30;14;69.9;null;null;146.7;6.688889;10;103.9;null;25.08;19.670667;15.933333;79.7;3;.755556;20;null;
1975-05-31;14;81.5;null;null;202.3;5.903226;6;35.8;null;23.909677;17.437419;12.793548;76.903226;2.1;.796774;20;null;
1975-06-30;14;83.4;null;null;196;4.211111;6;6.9;null;23.656667;16.354;11.333333;76.208333;1.5;.65;19.75;null;
1975-07-31;14;92.1;null;null;200.5;4.569892;6;7;null;22.567742;15.224516;10.141935;77.580645;1.5;.715054;20;null;
1975-08-31;14;124.1;null;null;227.8;4.967742;3;1.9;null;25.254839;17.330968;11.316129;67;1.5;.693548;20;null;
1975-09-30;14;130.5;null;null;193.7;4.511111;3;4.6;null;26.373333;18.817333;13.166667;64.191667;2.1;.654444;20;null;
1975-10-31;14;99.9;null;null;141.2;7.344086;16;240.7;null;27.322581;21.258065;17.258065;77.120968;2.1;.656989;20.806452;null;
1975-11-30;14;55.7;null;null;110.4;8.866667;18;217.9;null;25.92;20.725333;17.126667;81.691667;2.1;.634444;19.666667;null;
1975-12-31;14;91;null;null;208.9;6.752688;7;137.1;null;27.203226;20.862581;16.354839;76.596774;1.5;.639785;20;null;
1976-01-31;5;112.3;null;null;267.4;5.483871;1;.6;885.88587;30.045161;22.343226;16.058065;62.362903;1;.552688;20;null;
1976-02-29;14;91.9;null;null;168.2;6.931034;10;162.6;886.306522;27.482759;21.596552;17.396552;75.612069;1.5;.597701;20;null;
1976-03-31;14;103.6;null;null;199;5.043011;4;73.5;null;27.896774;21.570323;17.212903;72.33871;1.5;.602151;19.68254;null;
1976-04-30;14;89.6;null;null;223;3.977778;5;11.4;null;26.853333;20.282667;15.3;71.408333;1.5;.666667;20;null;
1976-05-31;14;95.1;null;null;171.9;6.053763;5;23.6;null;26.032258;19.174194;14.516129;75.790323;1.5;.607527;20;null;
1976-06-30;14;108;null;null;226.4;2.5;0;0;null;25.827586;17.713103;11.965517;71.266667;1.5;.722222;19.666667;null;
1976-07-31;14;90.2;null;null;178.2;5.731183;12;7.6;null;23.567742;16.856774;11.929032;74.790323;2.6;.852688;20;null;
1976-08-31;14;132.4;null;null;235.2;3.473118;2;11;null;25.735484;18.112258;11.993548;65.774194;2.1;.82043;20;null;
1976-09-30;14;90.5;null;null;135.3;6.388889;11;118.1;null;25.6;19.446667;14.786667;74.133333;1.5;.711111;20;null;
1976-10-31;14;88.7;null;null;150.4;6.677419;14;80;null;24.496774;19.376774;15.574194;78.564516;2.1;.780645;20;null;
1976-11-30;14;60.8;null;null;102;8.144444;20;225.6;null;25.04;20.325333;17.006667;84.05;3;.734444;20;null;
1976-12-31;36;69.4;null;null;116.2;8.774194;20;222.8;null;26.496774;21.374194;17.135484;85.056452;7.7;1.931183;20;null;
1977-01-31;14;71;null;null;149;7.473118;19;302.4;null;26.196774;21.192903;16.574194;84.145161;5.7;2.292473;20;null;
1977-02-28;14;78;null;null;210.5;5.547619;11;40.8;null;26.875;21.205;17.2;81.607143;5.1;2.835714;19.821429;null;
1977-03-31;14;120.2;null;null;240.6;4.311828;3;11.4;null;29.6;22.86129;17.429032;84.008065;4.6;2.316129;20;null;
1977-04-30;14;76.6;null;null;152.7;6.611111;7;55;null;26.276667;20.922667;16.89;84.8;5.7;2.357778;20;null;
1977-05-31;14;62.1;null;null;155.8;6.064516;3;14.8;null;23.403226;17.783871;13.329032;83.653226;5.1;2.115054;20;null;
1977-06-30;9;68.1;null;null;154.7;5.388889;2;2.2;null;23.396667;17.568667;13.126667;82.783333;5.1;2.055556;20;null;
1977-07-31;9;91.6;null;null;196.9;4.258065;4;2.3;null;24.077419;17.114839;11.66129;77.758065;4.6;2.184946;19.83871;null;
