Nome: ITAMBACURI
Codigo Estacao: 83490
Latitude: -18.02
Longitude: -41.02
Altitude: 285
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 1975-11-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-03-31;0;98;null;null;null;3.637363;3;11.5;null;31.948387;24.559355;19.196774;70.935484;2;.326087;20;null;
1970-04-30;0;67.5;null;null;null;6.033333;8;63.8;null;29.523333;23.174;19.143333;78.666667;2;.111111;20;null;
1970-05-31;0;89.8;null;null;null;3.548387;0;0;null;29.780645;22.371613;16.816129;72.951613;2;.258065;20;null;
1970-06-30;0;94;null;null;null;3.988889;1;1.8;null;28.66;21.195333;15.3;69.841667;2;.177778;20;null;
1970-07-31;0;66.5;null;null;null;5.397849;8;28.8;null;26.487097;18.769032;10.7;74.241935;2;.215054;20;null;
1970-08-31;0;92.3;null;null;null;4.44086;6;21.7;null;27.035484;19.266452;10.709677;69.75;2;.344086;20;null;
1970-09-30;0;102.1;null;null;null;5.333333;5;28;null;28.376667;21.620667;13.806667;68.4;4;.222222;20;null;
1970-10-31;0;75.7;null;null;null;6.354839;13;230.3;null;28.6;22.549032;15.332258;75.5;2;.344086;19.677419;null;
1970-11-30;0;73.5;null;null;null;5.533333;17;225.5;null;29.65;23.197333;15.133333;74.925;4;.266667;20;null;
1970-12-31;0;80.5;null;null;null;3.774194;7;133.8;null;32.770968;24.765806;15.687097;70.572581;4;.387097;20;null;
1971-01-31;0;117.6;null;null;null;3.892473;5;27.3;null;33.454839;25.266452;18.012903;67.846774;2;.516129;20;null;
1971-02-28;0;126.5;null;null;null;2.654762;3;13.3;null;34.753571;25.601429;17.15;65.133929;2;.285714;20;null;
