Nome: TEOFILO OTONI
Codigo Estacao: 83492
Latitude: -17.86027777
Longitude: -41.5075
Altitude: 349.11
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 2019-03-11
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;null;null;null;null;null;null;4;90.8;null;null;null;null;null;null;null;null;null;
1970-02-28;36;92.1;null;null;172.5;7.285714;7;68.2;null;972.603571;31.617857;25.196429;20.471429;74.116071;9;1;59.821429;
1970-03-31;0;89;null;null;228.4;5.086022;6;43.1;null;972.398925;31.651613;24.565806;19.329032;73.637097;3;.537634;67.580645;
1970-04-30;0;74.2;null;null;157;6.766667;12;54.4;null;973.127778;29.126667;22.932667;18.086667;78.625;3;.688889;67.5;
1970-05-31;0;80.2;null;null;178.2;5.408602;3;3.3;null;974.103226;null;null;15.932258;78.967742;3;.451613;66.612903;
1970-06-30;0;80.1;null;null;162.4;5.566667;4;4.3;null;976.103333;28.42;20.893333;14.746667;78.041667;4;.533333;63.5;
1970-07-31;14;59;null;null;129.7;6.978495;14;43.6;null;978.812903;25.554839;19.092903;13.645161;80.104839;3;.602151;64.83871;
1970-08-31;0;71.6;null;null;141.7;6.064516;8;24.3;null;976.803226;26.174194;19.563226;13.545161;77.362903;3;.655914;64.516129;
1970-09-30;0;89.9;null;null;120.4;6.788889;9;24.3;null;974.405556;27.626667;21.578667;16.086667;76.258333;3;.722222;62.166667;
1970-10-31;0;69.4;null;null;87.8;8.186813;15;146.8;null;970.881319;28.036667;22.538621;17.396667;81.413793;5;.593407;60.163934;
