Nome: CARAVELAS
Codigo Estacao: 83498
Latitude: -17.73944444
Longitude: -39.25861111
Altitude: 6.05
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;5;79.4;null;null;215.5;6.989247;15;56.8;null;1012.736559;29.448387;25.823226;22.987097;82.620968;8;3.580645;58.709677;
1970-02-28;9;83.4;null;null;215.7;6.595238;10;24.4;null;1014.360714;29.985714;25.932857;22.735714;79.455357;5;2.821429;59.821429;
1970-03-31;9;103;null;null;222.3;5.505376;9;28.5;null;1014.062366;30.319355;25.854839;22.241935;79.717742;5;2.978495;58.548387;
1970-04-30;18;78.5;null;null;144.2;6.677778;18;100.9;null;1014.63;28.726667;25.038;21.75;83.758333;8;3.055556;56.666667;
1970-05-31;14;74.8;null;null;214.4;5.483871;13;62.8;null;1015.441935;28.125806;23.890323;20.509677;84.862903;9;2.27957;56.935484;
1970-06-30;0;62.9;null;null;185.8;6.077778;16;88;null;1017.413333;26.85;22.891333;19.706667;84.041667;6;2.133333;58;
1970-07-31;14;97;null;null;183.2;6.419355;20;77;null;1020.758065;25.229032;21.603871;18.719355;81.040323;9;2.817204;56.322581;
1970-08-31;14;84.7;null;null;192.4;6.225806;20;58.4;null;1018.97957;25.529032;21.80129;18.822581;80.612903;9;2.870968;56.612903;
1970-09-30;5;78.2;null;null;181.7;6.5;14;49.3;null;1016.642222;26.656667;23.009333;19.983333;80.866667;7;2.8;56.333333;
1970-10-31;14;68.6;null;null;109.2;8.376344;16;411.5;null;1013.147312;26.832258;23.9;21.316129;83.975806;7;2.978495;55.241935;
1970-11-30;14;72.5;null;null;162;7.455556;19;262.2;null;1010.725556;27.386667;24.364667;21.443333;83.75;9;3.255556;56.333333;
1970-12-31;5;88.7;null;null;254.1;5.752688;8;28.4;null;1011.330108;29.803226;25.878065;22.522581;79.991935;7;3.247312;58.709677;
1971-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-02-29;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-01-31;5;145.9;null;null;340.1;4.771739;4;12;null;1012.929348;31.383871;27.111613;23.648387;78.4;9;4.615385;60;
1973-02-28;5;131.2;null;null;263.7;6.511905;8;13;null;1012.266667;32.046429;27.526429;24.082143;76.907895;9;3.702381;53.035714;
1973-03-31;5;105;null;null;218;7.505376;14;82.3;null;1010.783871;30.645161;27.087097;24.03871;79.83871;9;3.129032;50;
1973-04-30;0;80.7;null;null;275.8;5.555556;15;80.6;null;1012.943333;30.146667;26.47;23.236667;80.45;6;2.077778;55.833333;
1973-05-31;0;78.6;null;null;223.3;6.086957;17;151.7;null;1015.198913;27.877419;24.505806;21.13871;79.85;8;2.793478;54.754098;
1973-06-30;0;66.4;null;null;252.9;5.066667;10;40.3;null;1015.73;27.936667;23.916;20.603333;82.066667;10;2.166667;58.166667;
1973-07-31;0;74.8;null;null;225.3;6.44086;19;108.2;null;1017.494624;26.870968;22.952258;19.741935;81.927419;9;2.774194;56.935484;
1973-08-31;14;102.9;null;null;248.1;6.494624;8;21;null;1016.974713;27.080645;22.623871;18.86129;78.451613;9;2.763441;56.129032;
1973-09-30;9;123.8;null;null;144.9;7.011111;15;61;null;null;26.823333;23.150667;20.033333;77.883333;10;3.832222;51.666667;
1973-10-31;5;null;null;null;158;8.365591;19;130.2;null;null;null;null;null;null;9;4.655914;51.370968;
1973-11-30;5;116.4;null;null;165.4;8.077778;18;295.5;null;null;27.823333;24.808;21.61;80.714286;9;4.733333;51;
1973-12-31;5;99.4;null;null;257.5;6.806452;12;140.5;null;null;29.47;26.066;22.980952;79.5;9;4.236559;59.83871;
1974-01-31;5;97.3;null;null;261.7;5.591398;19;164.3;null;null;30.003226;26.236129;23.158065;79.975806;8;3.623656;59.354839;
1974-02-28;9;80.7;null;null;241.3;6.119048;16;123;null;null;29.9;25.895714;22.528571;78.946429;7;2.642857;57.142857;
1974-03-31;5;70.7;null;null;187;7.849462;23;125.9;null;null;29.619355;25.743226;22.832258;84.41129;7;2.365591;50.483871;
1974-04-30;18;82.6;null;null;238.8;6.211111;10;201.1;null;1012.998889;28.77;25.196667;22.16;82.575;8.3;3.132222;54.833333;
1974-05-31;18;81.1;null;null;222.1;6.978495;20;162.3;null;1015.776344;27.906452;24.623226;21.977419;81.983871;8.5;2.527957;54.193548;
1974-06-30;18;74.4;null;null;185;6.4;17;94;null;1016.636667;26.333333;22.469333;19.496667;82.708333;8.6;3.01;54.166667;
1974-07-31;18;95.8;null;null;258;5.150538;10;14.3;null;1020.446237;25.496774;21.197931;17.47931;79.669355;8;2.63871;56.774194;
1974-08-31;5;85.2;null;null;206.1;6.602151;14;91.9;null;1017.665591;26.325806;22.356774;18.893548;79.080645;8;3.06129;54.83871;
