Nome: COXIM
Codigo Estacao: 83512
Latitude: -18.5
Longitude: -54.77
Altitude: 287
Situacao: Desativada
Data Inicial: 1973-10-21
Data Final: 1994-01-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1973-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-11-30;14;107.5;null;null;191.2;6.662921;19;280.3;983.888764;null;null;21.626667;78.008333;3;1.280899;64.333333;null;
1973-12-31;5;97.5;null;null;183.4;8.494624;23;263.8;983.508602;null;null;22.096774;82.354839;5;1.505376;69.193548;null;
1974-01-31;5;92.5;null;null;166.5;8.569892;26;151.1;983.305376;null;null;22.564516;82.967742;3;1.301075;66.935484;null;
1974-02-28;5;104.5;null;null;220.6;7.464286;12;224.1;983.958333;null;null;21.964286;78.375;3;1.321429;67.142857;null;
1974-03-31;5;93.2;null;null;175.1;7.956989;17;226.6;982.921505;null;null;21.609677;82.629032;3;1.365591;66.129032;null;
1974-04-30;14;85;null;null;179.3;7.144444;12;212.7;986.252222;null;null;20.762069;82.308333;3;1.2;60.833333;null;
1974-05-31;14;99.3;null;null;264.2;3.543478;10;130;988.965217;null;null;15.846667;79.016667;3;1.097826;68.196721;null;
1974-06-30;14;97.5;null;null;224.9;4.5;7;49.9;988.143333;null;null;16.44;80.925;3;1.222222;67.35;null;
1974-07-31;14;126.5;null;null;270.9;1.924731;3;.3;991.368817;null;null;11.980645;76.040323;3;1.247312;66.451613;null;
1974-08-31;14;134.5;null;null;226.9;4.215054;5;86.3;987.534409;null;null;15.448387;70.701613;8;1.55914;58.870968;null;
1974-09-30;14;180.3;null;null;181.6;3.066667;2;41.7;985.433333;null;null;17.49;65.625;5;1.544444;42.666667;null;
1974-10-31;14;200.2;null;null;179;5.709677;10;41.6;983.496774;null;null;19.490323;67.596774;7;1.580645;63.096774;null;
1974-11-30;14;196.6;null;null;260.3;4.477778;7;221.2;981.874444;null;null;18.296667;66.033333;5;1.622222;66.5;null;
1974-12-31;5;88.7;null;null;124.5;8.182796;19;268.1;981.982796;null;null;21.943333;83.322581;5;1.462366;63.548387;null;
1975-01-31;14;140.3;null;null;246.9;5.870968;11;149.4;982.707527;33.667742;26.364516;21.419355;74.306452;5;1.731183;68.387097;null;
1975-02-28;14;87.8;null;null;147.5;7.095238;15;245.3;982.803571;31.696429;25.929286;22.410714;82.419643;5;1.738095;65.535714;null;
1975-03-31;14;116;null;null;210.7;6.451613;9;176.9;984.317204;33.025806;26.343333;22.286667;77.66129;9;1.634409;69.354839;null;
1975-04-30;14;90;null;null;178.7;5.022222;10;123.4;983.451111;30.866667;24.464286;20.164286;82.891667;5;1.677778;64.25;null;
1975-05-31;14;92.7;null;null;240.5;3.301075;1;26.8;987.024731;29.329032;21.180645;15.412903;76.064516;10;2;67.741935;null;
1975-06-30;14;113.9;null;null;228.4;2.9;1;18.1;988.337778;31.065;20.781;14.358621;75.933333;7;1.944444;65.666667;null;
1975-07-31;14;149.9;null;null;254;2.268817;5;50;988.797849;29.203226;18.206667;10.203704;69.096774;5;1.827957;62.903226;null;
1975-08-31;32;179.3;null;null;171.3;3.182796;0;0;985.8;34.057143;23.062143;15.193103;62.935484;5;1.774194;33.096774;null;
1975-09-30;14;188.8;null;null;102.7;5.133333;6;57.8;984.014444;34.45;25.86069;19.406897;61.808333;5;1.711111;26.25;null;
1975-10-31;14;151.6;null;null;226.5;4.763441;9;155.5;982.978495;33.365517;25.79931;19.958065;67.540323;5;1.956989;65.322581;null;
1975-11-30;36;100.2;null;null;168.1;7.522222;16;316.2;981.44;31.785714;26.0672;21.844;79.725;5;1.744444;65.166667;null;
1975-12-31;32;85.3;null;null;204.8;7.16129;15;136.7;982.360215;31.967742;26.080667;22.046667;76.887097;7;1.784946;65.806452;null;
1976-01-31;32;109.8;null;null;204.8;6.860215;16;170;982.553763;32.329032;26.188387;22.33871;78.798387;7;1.752688;67.741935;null;
1976-02-29;14;66;null;null;133.2;7.287356;21;194.8;981.845977;30.934483;25.497241;22.1;85.017241;7;1.586207;66.034483;null;
1976-03-31;14;95.9;null;null;207.7;5.72043;15;193.8;983.222581;31.312903;24.665806;20.448387;80.354839;7;1.591398;68.064516;null;
1976-04-30;14;101.9;null;null;231.6;4.7;9;60.9;985.197778;31.26;24.192;19.283333;76.225;7;1.822222;70;null;
1976-05-31;14;79.7;null;null;166.5;5.623656;9;116.8;986.569892;28.593548;22.233548;17.996774;82.516129;9;1.784946;68.225806;null;
1976-06-30;14;90.5;null;null;206.4;3.866667;2;28;988.102222;27.95;19.438667;13.8;79.541667;5;1.422222;67.683333;null;
1976-07-31;14;155.3;null;null;253.6;2.602151;1;.1;989.062366;30.409677;19.829032;12.93871;70.532258;7;1.752688;66.451613;null;
1976-08-31;14;172.2;null;null;217.9;4.107527;4;49.6;986.77957;31.741935;22.007742;15.312903;67.653226;7;2.139785;62.222222;null;
1976-09-30;14;133.5;null;null;157.8;5.8;8;82.6;985.563333;30.59;22.778667;17.363333;71.525;5;2.177778;65;null;
1976-10-31;14;150.2;null;null;255;5.182796;12;190.5;983.202151;32.822581;25.059355;19.383871;72.104839;5;1.784946;68.064516;null;
1976-11-30;14;108.6;null;null;178.2;6.833333;11;253.5;982.198889;31.266667;24.874667;20.366667;77.6;5;1.577778;68.166667;null;
1976-12-31;36;76.2;null;null;157.2;7.473118;19;259.1;981.703226;31.029032;25.434839;21.680645;82.572581;5;1.623656;67.580645;null;
1977-01-31;32;90.4;null;null;133.4;8.44086;21;397.5;981.33871;30.86129;25.601935;22.193548;82.419355;7;1.83871;65.080645;null;
1977-02-28;14;98.9;null;null;205.1;6.214286;17;266.2;984.433333;33.025;25.763571;21.782143;79.142857;7;1.75;68.035714;null;
1977-03-31;32;122.5;null;null;221.5;6.322581;8;48.3;983.533333;33.596774;26.555484;22.219355;77.024194;7;1.688172;68.548387;null;
1977-04-30;14;112.1;null;null;206.2;6.111111;7;129;984.865556;30.953333;24.366;19.73;77.7;7;1.588889;69.333333;null;
1977-05-31;18;95.4;null;null;205.5;4.44086;10;40.7;987.323656;29.322581;21.265161;15.812903;78.104839;5;1.452688;66.048387;null;
1977-06-30;14;97;null;null;199;5.022222;5;52.4;988.082222;29.313333;21.363333;16.223333;78.808333;5;1.388889;67.333333;null;
1977-07-31;32;145;null;null;261.1;3.795699;1;22.6;986.483871;32.644828;21.621935;15.219355;71.516129;6;1.612903;68.548387;null;
1977-08-31;14;174.1;null;null;194.1;3.462366;3;14.8;986.202151;32.196774;22.425161;15.516129;65.314516;7;1.752688;43.709677;null;
1977-09-30;14;149.5;null;null;166.8;5.277778;9;128.3;985.455556;33.103333;24.772667;18.973333;68.025;12;1.555556;60.833333;null;
1977-10-31;14;138.8;null;null;193.6;5.870968;10;97.5;984.510753;33.412903;26.092258;21.096774;72.733871;5;1.569892;67.935484;null;
1977-11-30;32;110.9;null;null;120.9;7.511111;17;140.5;982.855556;32.37;26.163333;22.166667;78.4;8;1.711111;66.166667;null;
1977-12-31;32;115.8;null;null;157.8;7.344086;18;275.6;982.135484;32.367742;26.356774;22.429032;78.080645;7;1.505376;67.741935;null;
1978-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1978-02-28;0;115.2;null;null;192.4;5.698795;12;211.6;982.679518;33.507143;26.590714;22.353571;78.205357;5;1.084337;68.214286;null;
1978-03-31;18;131.6;null;null;155.5;5.311828;10;96.5;983.776344;33.112903;26.045806;21.574194;77.483871;5;1.107527;67.258065;null;
1978-04-30;18;164.5;null;null;204.4;3.866667;4;11;985.006667;32.813333;24.448667;18.466667;69.741667;5;1.3;65.833333;null;
1978-05-31;18;129.2;null;null;175.6;5.333333;11;114.4;986.052688;30.003226;21.632903;15.86129;75.451613;5;1.129032;64.596774;null;
1978-06-30;18;110.7;null;null;213.7;4.044444;1;6.2;988.764444;29.906667;20.468667;14.31;76.258333;5;1.077778;67.183333;null;
1978-07-31;18;169.9;null;null;232;3.935484;2;15.4;986.147312;32.583871;22.133548;15.187097;68.435484;5;1.258065;70;null;
1978-08-31;18;212.2;null;null;138.9;5.548387;0;0;989.149462;30.922581;20.410323;12.845161;56.387097;7;1.795699;43.306452;null;
1978-09-30;0;198.3;null;null;110.4;7.444444;8;71.2;985.947778;33.166667;24.851333;18.503333;60.883333;7;1.266667;54.666667;null;
1978-10-31;0;178.6;null;null;192.4;5.795699;14;130.3;983.366667;34.458065;26.18129;19.929032;66.58871;5;1.150538;64.516129;null;
1978-11-30;0;130;null;null;204.5;7.011111;16;239.2;982.691111;32.526667;25.936;21.346667;76.341667;7;1.3;68.833333;null;
1978-12-31;0;117.7;null;null;192.8;7.182796;19;191.6;982.406452;32.074194;26.28;22.358065;78.346774;5;1.064516;65;null;
1979-01-31;0;65.3;null;null;69.3;8.864198;21;264.1;975.325926;30.567742;25.687407;22.674194;84.817308;7;1.098765;67.407407;null;
1979-02-28;0;null;null;null;166;5.413333;7;54.1;975.72;33.117857;26.4096;21.967857;76.41;5;1.277333;68.8;null;
1979-03-31;14;null;null;null;null;6.166667;7;98.7;977.158333;32.751613;26;21.86129;76.541667;5;1.347222;70;null;
1979-04-30;0;91.9;null;null;190.4;4.197531;4;54.5;979.039506;31.616667;24.07037;18.796667;75.067308;5;.91358;68.703704;null;
1979-05-31;14;77.1;null;null;180.5;5.08642;4;41.4;980.223457;30.18;22.117037;17.283871;78.90625;3;1.148148;68.518519;null;
1979-06-30;0;87.2;null;null;218.2;3.559524;null;0;984.825;29.913333;19.777857;12.686667;70.62037;5;.952381;69.642857;null;
1979-07-31;14;null;null;null;null;3.969697;4;22.8;989.375758;30.235484;21.451818;14.2;71.511905;3;1.045455;null;null;
1979-08-31;0;null;null;null;155.5;2.139241;3;9;985.334177;33.451613;22.709231;15.470968;66.096154;5;.868354;50;null;
1979-09-30;14;null;null;null;null;5.878788;10;144.6;985.880303;31.58;24.086364;19.143333;69.795455;3;1.066667;null;null;
1979-10-31;null;null;null;null;null;null;2;4.6;984.151163;34.052381;null;20.519048;null;3;null;null;null;
1979-11-30;0;null;null;null;null;5.565217;9;89.7;975.794203;32.321429;25.641739;19.721429;69.25;5;1.249275;81.73913;null;
1979-12-31;null;null;null;null;null;null;13;191.6;974.966667;31.587097;null;22.270968;null;3;null;null;null;
1980-01-31;null;null;null;null;164.7;null;13;154.6;974.94878;31.411538;null;21.380769;null;3;null;null;null;
1980-02-29;14;null;null;null;null;8.021277;11;287.6;974.74375;30.8;25.21375;22.261111;84.265625;5;1.216667;null;null;
1980-03-31;null;101.7;null;null;192.6;null;16;90.9;977.783636;32.996667;25.018889;21.473333;82.444444;3;null;null;null;
1980-04-30;null;null;null;null;176.8;null;10;52.4;978.536585;31.812;null;20.156;null;3;null;null;null;
1980-05-31;14;141.7;null;null;201.8;3.298246;3;3.1;980.721053;31.262963;22.621053;17.514815;71.342105;3;.964912;null;null;
1980-06-30;14;null;null;null;190.4;3.268657;1;2.2;981.670149;30.095833;20.924545;14.566667;65.170455;5;1.19403;null;null;
1980-07-31;0;162.7;null;null;214.4;3.338235;2;1;981.477941;30.921429;21.506087;15.189286;66.402174;5;1.264706;70.565217;null;
1980-08-31;null;null;null;null;null;null;1;4;null;32.709091;null;17.763636;null;null;null;null;null;
1980-09-30;null;null;null;null;null;null;6;90.4;null;32.077273;null;18.572727;null;null;null;null;null;
1980-10-31;null;null;null;null;208.6;null;7;35;null;34.242308;null;21.538462;null;null;null;null;null;
1980-11-30;null;null;null;null;null;null;6;196.8;null;31.940909;null;20.972727;null;null;null;null;null;
1980-12-31;36;88.1;null;null;151.1;7.574468;17;405.7;974.15;30.807143;25.4675;22.125;82.921875;10;1.57234;null;null;
1981-01-31;0;null;null;null;127.7;7.782051;20;255.3;975.187179;31.369231;25.761538;22.261538;84.56;3;1.217949;80.307692;null;
1981-02-28;14;null;null;null;150.9;7.527027;18;140.8;976.609459;32.024;25.4144;21.584;78.684783;5;1.297297;83.04;null;
1981-03-31;14;null;null;null;null;6.73913;14;77.5;975.007246;32.086957;25.725217;22.017391;81.815217;5;1.130435;84;null;
