Nome: IPAMERI
Codigo Estacao: 83522
Latitude: -17.724527
Longitude: -48.171916
Altitude: 778.14
Situacao: Operante
Data Inicial: 1977-02-09
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1977-02-28;0;null;null;null;null;null;2;4.1;null;30.261111;23.762222;18.216667;67.666667;9;null;50;null;
1977-03-31;0;212.9;null;null;238.2;2.494624;10;99.8;null;null;null;19.241935;69.516129;6;1.182796;50;null;
1977-04-30;0;86.7;null;null;193.8;3.111111;13;90.2;null;null;null;17.913333;78.133333;7;1.222222;50;null;
1977-05-31;0;98;null;null;210.8;3.526882;5;41.5;null;null;null;14.1;78.169355;6;.88172;48.870968;null;
1977-06-30;0;107.8;null;null;208.5;3.388889;4;12.4;null;null;null;12.866667;77.291667;3;.7;50;null;
1977-07-31;0;179.2;null;null;296.1;1.860215;0;0;null;null;null;10.725806;66.274194;10;1.666667;50;null;
1977-08-31;0;195.9;null;null;260;2.354839;2;4.1;null;null;null;13.919355;58.951613;8;1.150538;49.677419;null;
1977-09-30;0;174.6;null;null;184.4;3.344444;8;49.7;null;null;null;15.766667;68.05;6;1.033333;49.183333;null;
1977-10-31;0;159.2;null;null;206.8;4.885057;12;106.8;null;null;null;18.793103;70.275862;10;1.183908;50;null;
1977-11-30;0;97;null;null;156.9;6.233333;19;248.9;null;null;null;20.623529;78.575;10;1.244444;50;null;
1977-12-31;0;100;null;null;170.2;6.774194;19;225.7;null;null;null;19.03871;79.58871;5;.924731;50;null;
1978-01-31;0;117.5;null;null;184.2;5.532609;16;314;null;29.470968;23.626452;19.7;78.153226;7;1.111828;50;null;
1978-02-28;0;104.6;null;null;176.1;6.214286;18;178.6;null;30.452632;24.217895;19.582143;77.348214;10;.988095;50;null;
1978-03-31;0;116.3;null;null;204.5;5.053763;14;207.4;null;null;null;18.206452;77.669355;5;.827957;50;null;
1978-04-30;0;91;null;null;185.6;4.561798;10;90.2;null;null;null;16.783333;79.133333;6;.922222;48.366667;null;
1978-05-31;0;110.9;null;null;196.2;3.784946;7;32.8;null;null;null;14.070968;76.314516;6;.731183;50;null;
1978-06-30;0;108;null;null;239.3;3.166667;1;.9;null;null;null;11.183333;73.3;3;.775556;49.166667;null;
1978-07-31;0;139.4;null;null;218.1;3.311828;3;30.9;null;null;null;12.532258;70.129032;7;1.139785;50;null;
1978-08-31;0;197.3;null;null;245.7;2.301075;0;0;null;28.203333;19.088;12.229032;59.653226;7;1.193548;48.629032;null;
1978-09-30;0;216.1;null;null;193.7;3.733333;4;14.9;null;29.6;22.18;16.183333;59.225;7;1.153333;47.933333;null;
1978-10-31;0;183.6;null;null;187.6;5.956522;14;128.8;null;30.496774;23.552903;18.474194;66.225;7;.978261;50.327869;null;
1978-11-30;0;100.2;null;null;134.8;7.177778;17;227.2;928.197674;28.006667;22.778667;19.063333;78.641667;5.1;1.917778;50;null;
1978-12-31;27;96.7;null;null;163.8;7.430108;22;250.6;928.08172;28.293548;22.744516;18.325806;80.564516;8.1;1.849462;47.741935;null;
1979-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1979-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1979-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1979-04-30;null;null;null;null;null;null;null;7.3;null;null;null;null;null;null;null;null;null;
1979-05-31;null;null;null;null;null;null;null;0;null;null;null;null;null;null;null;null;null;
1979-06-30;null;null;null;null;null;null;null;0;null;null;null;null;null;null;null;null;null;
1979-07-31;5;null;null;null;null;3.073529;null;2.5;932.302941;26.643478;17.743478;9.743478;67.809524;4.1;1.451471;50;null;
1979-08-31;0;184.3;null;null;218.5;3.645161;null;41.4;928.227957;29.274194;20.103226;10.867742;62.596774;5.1;1.882609;50;null;
1979-09-30;0;135.3;null;null;147.2;5.938272;null;92.4;928.017284;29.025926;21.97037;14.944444;65.305556;5.1;1.424691;50;null;
1979-10-31;0;null;null;null;null;4.758621;null;28;926.532759;30.878947;23.887368;17.784211;64.368421;7.6;1.805172;50;null;
1979-11-30;27;99.3;null;null;176.8;5.925;null;219.6;924.2825;29.418519;23.432593;19.02963;73.648148;5.7;1.8025;50;null;
1979-12-31;18;null;null;null;null;7.421875;15;205.8;925.267188;28.685714;23.51619;20.128571;82.559524;3.1;1.485938;50;null;
1980-01-31;0;82.5;null;null;142.6;6.681319;22;310.6;927.233696;28.525806;22.988387;19.354839;81.766129;4.6;1.586957;50;null;
1980-02-29;23;69.5;null;null;116.7;7.54023;20;344.3;926.233333;27.57931;22.641379;19.186207;82.956897;5.1;1.773563;50;null;
1980-03-31;23;145.3;null;null;250.1;3.791209;null;15;929.410753;30.116129;23.098065;17.296774;71.620968;5.7;1.87957;50;null;
1980-04-30;0;102.7;null;null;206.8;4.733333;null;149.5;929.507778;27.452941;22.448235;17.556667;77.7;3.6;1.478889;50;null;
1980-05-31;23;121.7;null;null;240.8;3.602151;null;14.5;931.908602;27.895833;20.350833;14.541935;73.572581;4.1;1.395699;50;null;
1980-06-30;0;128.3;null;null;240.5;3.144444;null;6.8;933.561111;27.11;18.592;11.863333;70.516667;4.6;1.51;50;null;
