Nome: BOM DESPACHO
Codigo Estacao: 83533
Latitude: -19.71944443
Longitude: -45.36749999
Altitude: 695
Situacao: Fechada
Data Inicial: 1980-12-31
Data Final: 2019-01-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1980-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1981-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1981-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1981-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1981-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1981-05-31;null;106.3;null;null;null;1.375;2;12;null;27.162963;19.991852;14.374074;68.351852;null;null;70.259259;null;
1981-06-30;null;125.2;null;null;null;1.218391;4;16.6;null;25.17931;17.983448;12.062069;72.913793;null;null;70;null;
1981-07-31;null;211.8;null;null;null;.481481;null;0;null;25.607407;17.391111;10.733333;57.574074;null;null;70;null;
1981-08-31;null;282.8;null;null;null;.632184;2;31.2;null;27.834483;19.948966;13.37931;54.956897;null;null;70;null;
1981-09-30;null;325.2;null;null;null;1.493827;null;0;null;30.348148;22.456296;15.77037;51.916667;null;null;70;null;
1981-10-31;null;152.7;null;null;null;4.804598;11;204.6;null;28.42069;22.248276;17.386207;71.017241;null;null;68.983051;null;
1981-11-30;null;83.7;null;null;null;5.740741;18;264.7;null;27.925926;22.488148;18.211111;81.157407;null;null;70;null;
1981-12-31;null;null;null;null;null;3.848101;15;270.3;null;29.361538;23.241538;19.015385;76.173077;null;null;69.811321;null;
1982-01-31;null;100.5;null;null;null;4;19;523;null;27.086667;22.284;19.06;82.741667;null;null;70;null;
1982-02-28;null;184.1;null;null;null;.925926;7;25.7;null;30.466667;24.042963;18.822222;67.101852;null;null;70;null;
1982-03-31;null;72.1;null;null;null;4.301075;22;292.3;null;28.322581;22.673548;19.36129;84.717742;null;null;70;null;
1982-04-30;null;120.1;null;null;null;1.055556;4;22.7;null;26.973333;20.74;16.073333;72.291667;null;null;70;null;
1982-05-31;null;127.1;null;null;null;1.318681;3;41.4;null;25.926667;18.967333;13.433333;70.183333;null;null;70;null;
1982-06-30;null;127;null;null;null;.232558;null;0;null;27.331034;19.954483;14.22069;68.474138;null;null;70;null;
1982-07-31;null;189.8;null;null;null;.376344;2;3.5;null;26.677419;18.846452;12.6;63.282258;null;null;70;null;
1982-08-31;null;232.3;null;null;null;.91954;2;2.5;null;29.027586;21.361379;15.427586;57.991379;null;null;70;null;
1982-09-30;null;306.1;null;null;null;1.111111;1;5;null;29.846667;21.87;14.833333;53.258333;null;null;70;null;
