Nome: SAO GABRIEL DA PALHA
Codigo Estacao: 83555
Latitude: -19.02
Longitude: -40.57
Altitude: 120
Situacao: Desativada
Data Inicial: 1976-10-31
Data Final: 1995-06-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1976-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-11-30;0;null;null;null;130.5;7.516854;15;231.7;null;29.76;24.518667;20.796667;80.025;14;3.94382;62.083333;null;
1976-12-31;0;null;null;null;122.1;7.311828;16;297;null;30.893548;25.053548;20.945161;79.685484;5.1;1.5;65.967742;null;
1977-01-31;0;null;null;null;170.5;6.827957;16;316.9;null;31.725806;25.727742;21.477419;77.766129;10;1.698925;67.096774;null;
1977-02-28;0;null;null;null;187.3;4.964286;13;98.6;null;31.657143;25.899286;21.328571;75.357143;6;1.595238;61.964286;null;
1977-03-31;0;null;null;null;225.7;4.505376;4;27.3;null;33.887097;26.843226;21.5;70.790323;8;1.698925;52.258065;null;
1977-04-30;0;null;null;null;139.1;5.655556;10;52.5;null;30.783333;25.052;20.57;74.916667;8;1.677778;50.1;null;
1977-05-31;0;null;null;null;172.3;4.709677;11;55.7;null;28.587097;22.07871;16.883871;78.443548;6;1.204301;61.451613;null;
1977-06-30;0;null;null;null;156.5;3.944444;7;12.7;null;28.026667;21.423333;16.763333;80.108333;8;1.133333;55.35;null;
1977-07-31;0;71.7;null;null;170.3;4.086022;14;39.2;null;27.935484;21.418065;16.367742;78.75;8;1.247312;53.483871;null;
